"by",	"pos"
833,	930
956,	925
1055,	920
1206,	915
1335,	910
1498,	905
1656,	900
1835,	895
2074,	890
2286,	885
2503,	880
2757,	875
2987,	870
3182,	865
3422,	860
3587,	855
3735,	850
3876,	845
3962,	840
3978,	835
4000,	830
4025,	825
4017,	820
4019,	815
4000,	810
3987,	805
3945,	800
3859,	795
3784,	790
3677,	785
3528,	780
3348,	775
3145,	770
2946,	765
2711,	760
2504,	755
2294,	750
2086,	745
1860,	740
1664,	735
1508,	730
1371,	725
1230,	720
1104,	715
1001,	710
895,	705
814,	700
