Distance_(pixels),Gray_Value
0,21
1,24
2,26
3,27
4,32
5,37
6,41
7,46
8,50
9,56
10,57
11,55
12,53
13,48
14,41
15,38
16,35
17,30
18,29
19,27
20,27
21,25
22,25
23,28
24,28
25,31
26,34
27,39
28,43
29,47
30,51
31,53
32,58
33,56
34,55
35,50
36,47
37,45
38,41
39,37
40,34
41,30
42,30
43,27
44,28
45,26
46,27
47,27
48,28
49,30
50,32
51,35
52,38
53,44
54,46
55,52
56,56
57,58
58,61
59,59
60,59
61,56
62,53
63,48
64,44
65,41
66,39
67,35
68,31
69,28
70,27
71,26
72,28
73,26
74,25
75,27
76,28
77,28
78,27
79,30
80,31
81,36
82,36
83,41
84,43
85,46
86,50
87,53
88,57
89,57
90,61
91,61
92,59
93,60
94,57
95,57
96,54
97,53
98,51
99,50
100,49
101,45
102,43
103,39
104,39
105,37
106,34
107,34
108,31
109,32
110,31
111,31
112,29
113,29
114,30
115,28
116,30
117,30
118,29
119,28
120,29
121,30
122,30
123,33
124,32
125,32
126,34
127,36
128,38
129,39
130,40
131,40
132,41
133,44
134,44
135,45
136,49
137,51
138,52
139,53
140,55
141,56
142,57
143,58
144,61
145,60
146,61
147,61
148,62
149,63
150,61
151,63
152,62
153,63
154,63
155,62
156,63
157,60
158,64
159,61
160,63
161,61
162,60
163,62
164,61
165,62
166,61
167,61
168,62
169,60
170,62
171,60
172,61
173,61
174,61
175,61
176,61
177,61
178,60
179,62
180,62
181,63
182,62
183,63
184,65
185,63
186,62
187,62
188,63
189,64
190,63
191,65
192,62
193,65
194,65
195,66
196,68
197,66
198,67
199,64
200,65
201,62
202,63
203,64
204,64
205,63
206,62
207,62
208,64
209,63
210,61
211,59
212,60
213,56
214,57
215,53
216,53
217,50
218,50
219,50
220,47
221,46
222,44
223,45
224,45
225,41
226,42
227,37
228,38
229,34
230,35
231,34
232,35
233,32
234,30
235,31
236,29
237,29
238,28
239,28
240,30
241,31
242,34
243,31
244,33
245,34
246,35
247,37
248,37
249,41
250,42
251,44
252,47
253,48
254,51
255,54
256,58
257,57
258,61
259,63
260,66
261,69
262,67
263,69
264,64
265,63
266,61
267,58
268,56
269,51
270,49
271,45
272,43
273,41
274,38
275,37
276,34
277,36
278,31
279,31
280,30
281,31
282,33
283,31
284,32
285,35
286,37
287,39
288,42
289,46
290,49
291,54
292,58
293,61
294,64
295,64
296,66
297,61
298,61
299,57
300,53
301,46
302,41
303,39
304,36
305,35
306,30
307,32
308,29
309,27
310,29
311,30
312,34
313,35
314,40
315,43
316,48
317,53
318,57
319,61
320,63
321,66
322,64
323,61
324,57
325,49
326,45
327,39
328,34
329,30
330,29
331,29
332,27
333,27
334,30
335,32
336,34
337,37
338,44
339,46
340,53
341,56
342,61
343,65
344,63
345,61
346,53
347,48
348,42
349,38
350,35
351,31
352,29
353,28
354,30
