792844.7730956239, 08:46:27
792843.4359805511, 08:46:27
792844.7730956239, 08:46:28
792843.4359805511, 08:46:29
792844.7730956239, 08:46:29
792844.7730956239, 08:46:30
792843.4359805511, 08:46:30
792842.0988654781, 08:46:30
792843.4359805511, 08:46:30
792843.4359805511, 08:46:30
792843.4359805511, 08:46:30
792843.4359805511, 08:46:30
792843.4359805511, 08:46:31
792843.4359805511, 08:46:31
792844.7730956239, 08:46:32
792843.4359805511, 08:46:32
792844.7730956239, 08:46:33
792843.4359805511, 08:46:35
792842.0988654781, 08:46:37
792844.7730956239, 08:46:38
792844.7730956239, 08:46:39
792844.7730956239, 08:46:40
792846.1102106969, 08:46:42
792847.4473257698, 08:46:43
792847.4473257698, 08:46:44
792847.4473257698, 08:46:45
792848.7844408428, 08:46:46
792848.7844408428, 08:46:46
792851.4586709887, 08:46:45
792852.7957860616, 08:46:46
792852.7957860616, 08:46:46
792854.1329011344, 08:46:47
792855.4700162074, 08:46:47
792859.4813614262, 08:46:47
792860.8184764992, 08:46:47
792864.8298217179, 08:46:48
792867.5040518638, 08:46:48
792870.1782820097, 08:46:48
792872.8525121555, 08:46:48
792871.5153970827, 08:46:48
792866.1669367909, 08:46:48
792864.8298217179, 08:46:48
792874.1896272285, 08:46:48
792879.5380875203, 08:46:48
792883.5494, 08:46:48
792891.5721231767, 08:46:48
792899.5948136143, 08:46:48
792907.6175040519, 08:46:49
792915.6401944894, 08:46:49
792923.6629, 08:46:49
792931.6855753646, 08:46:49
792943.7196, 08:46:50
792954.4165316045, 08:46:49
792965.1135, 08:46:50
792978.4846029173, 08:46:50
793002.5526742301, 08:46:50
793007.9011345218, 08:46:50
793019.9351701783, 08:46:50
793029.2949756888, 08:46:50
793039.9918962723, 08:46:50
793049.3517017828, 08:46:51
793061.3857374392, 08:46:51
793082.7795786061, 08:46:51
793094.8136142625, 08:46:50
793117.5445705024, 08:46:50
793132.2528363047, 08:46:50
793144.2868719611, 08:46:51
793168.3549432738, 08:46:51
793197.7714748784, 08:46:51
793220.5024311183, 08:46:51
793252.5931928686, 08:46:51
793291.3695299837, 08:46:51
793348.8654781199, 08:46:51
793397.0016207455, 08:46:50
793429.0923824959, 08:46:50
793470.5429497568, 08:46:50
793502.6337115073, 08:46:50
793537.3987034035, 08:46:50
793561.4667747164, 08:46:50
793588.2091, 08:46:51
793604.2544570502, 08:46:51
792982.4959481361, 08:46:50
792963.7763371151, 08:46:50
792945.0567, 08:46:51
792918.3144246353, 08:46:51
792887.5607779578, 08:46:51
792874.1896272285, 08:46:51
792847.4473257698, 08:46:51
792811.3452188006, 08:46:51
792776.5802269044, 08:46:50
792744.4894651539, 08:46:51
792701.7018, 08:46:51
792668.2739059967, 08:46:51
792621.4748784441, 08:46:51
792589.3841166936, 08:46:51
792551.9448946515, 08:46:51
792510.4943273906, 08:46:51
792471.7179902755, 08:46:51
792435.6158833063, 08:46:51
792402.1880064829, 08:46:52
792362.0745542949, 08:46:52
792317.9497568881, 08:46:52
792277.8363047001, 08:46:52
792232.3743922204, 08:46:52
792206.9692058347, 08:46:52
792190.9238249594, 08:46:52
792150.8103727715, 08:46:52
792124.0680713127, 08:46:53
792466.3695299837, 08:46:53
792482.4149, 08:46:53
792499.7974068071, 08:46:54
792513.1685575364, 08:46:54
792522.5283630469, 08:46:55
792530.5510534846, 08:46:56
792546.5964343598, 08:46:58
792555.9562398703, 08:46:59
792569.3273905996, 08:47:01
792588.0470016208, 08:47:03
792601.4182, 08:47:05
792613.4521880065, 08:47:13
792625.4862236629, 08:47:11
792634.8460291733, 08:47:07
792644.2058, 08:47:07
792653.5656401945, 08:47:09
792664.2626, 08:47:11
792672.2852512156, 08:47:15
792688.3306320907, 08:47:17
792700.3646677472, 08:47:19
792715.0729335494, 08:47:21
792724.4327390599, 08:47:24
792739.1410048621, 08:47:26
792752.5121555915, 08:47:28
792765.8833063209, 08:47:30
792756.5235008104, 08:47:32
792772.5688816855, 08:47:34
792783.2658, 08:47:37
792795.2998379255, 08:47:38
792801.9854132901, 08:47:40
792807.3338735818, 08:47:42
792815.3565640195, 08:47:44
792819.3679092382, 08:47:45
792823.3792544571, 08:47:47
792827.3905996758, 08:47:48
792831.4019448946, 08:47:50
792835.4132901134, 08:47:52
792836.7504051863, 08:47:53
792838.0875202593, 08:47:55
792831.4019448946, 08:47:57
792831.4019448946, 08:47:59
792839.4246353322, 08:48:00
792855.4700162074, 08:48:02
792860.8184764992, 08:48:04
792868.8411669368, 08:48:05
792878.2009724473, 08:48:06
792891.5721231767, 08:48:08
792906.2803889789, 08:48:10
792915.6401944894, 08:48:12
792920.9886547811, 08:48:13
792923.6629, 08:48:18
792927.6742301459, 08:48:15
792929.0113452188, 08:48:17
