794534.5130932898, 09:28:24
794534.7815057284, 09:28:27
794534.9492635025, 09:28:28
794535.1170212766, 09:28:29
794535.251227496, 09:28:31
794535.4189852701, 09:28:33
794535.5867430442, 09:28:35
794535.6873977088, 09:28:36
794535.8551554829, 09:28:37
794536.0564648118, 09:28:40
794536.1571194764, 09:28:42
794536.5261865795, 09:28:45
794536.6939443536, 09:28:47
794537.0294599019, 09:28:51
794537.3314238953, 09:28:55
794537.5662847791, 09:28:58
794537.7004909985, 09:28:59
794537.9353518822, 09:29:01
794538.170212766, 09:29:04
794538.3379705402, 09:29:07
794538.5392798692, 09:29:10
794538.7070376433, 09:29:13
794538.7405891981, 09:29:14
794537.9353518822, 09:29:14
794536.8281505728, 09:29:14
794534.647299509, 09:29:16
794533.0032733225, 09:29:15
794530.6546644846, 09:29:13
794527.6685761048, 09:29:12
794525.5548281507, 09:29:11
794524.8837970541, 09:29:12
794541.7602291326, 09:29:15
794544.3772504092, 09:29:14
794546.558101473, 09:29:15
794548.7725040917, 09:29:15
794550.4500818332, 09:29:16
794551.2217675941, 09:29:15
794551.4901800328, 09:29:24
794548.4369885434, 09:29:20
794546.3567921441, 09:29:27
794544.0081833061, 09:29:27
794541.9279869067, 09:29:27
794538.9083469722, 09:29:23
794535.8887070377, 09:29:24
794534.1104746318, 09:29:24
794532.3993453356, 09:29:23
794530.7888707038, 09:29:23
794528.5409165303, 09:29:23
794527.3666121113, 09:29:23
794519.6497545008, 09:29:25
794518.5425531915, 09:29:26
794516.9991816694, 09:29:26
794515.1202945991, 09:29:26
794513.9124386252, 09:29:26
794513.8453355156, 09:29:26
794514.952536825, 09:29:27
794515.5900163667, 09:29:28
794515.9590834698, 09:29:28
794516.3617021277, 09:29:27
794516.9656301147, 09:29:27
794517.4018003274, 09:29:27
794517.8715220949, 09:29:27
794518.3076923077, 09:29:28
794518.7103109657, 09:29:28
794519.1129296236, 09:29:29
794519.414893617, 09:29:29
794519.9181669395, 09:29:28
794520.3543371522, 09:29:28
794520.6898527006, 09:29:29
794521.0924713585, 09:29:29
794521.5286415713, 09:29:29
794521.7970540099, 09:29:29
794522.166121113, 09:29:30
794522.6358428806, 09:29:31
794522.9042553192, 09:29:31
794523.2397708675, 09:29:32
794523.5752864158, 09:29:33
794523.9779050737, 09:29:34
794524.4140752865, 09:29:35
794524.8166939444, 09:29:37
794525.0851063831, 09:29:39
794525.3535188216, 09:29:40
794525.6219312603, 09:29:41
794525.8232405892, 09:29:42
794525.8567921441, 09:29:43
794525.2528641572, 09:29:45
794524.8502454993, 09:29:45
794524.5818330606, 09:29:45
794524.2463175124, 09:29:46
794523.8772504092, 09:29:47
794523.910801964, 09:29:48
794524.0785597382, 09:29:49
794524.2127659575, 09:29:51
794524.3469721768, 09:29:52
794524.4811783961, 09:29:53
794524.6153846155, 09:29:53
794524.7495908347, 09:29:54
794524.8837970541, 09:29:55
794525.0515548282, 09:29:58
794525.1522094926, 09:29:58
794525.3199672669, 09:30:00
794525.4541734861, 09:30:02
794525.5883797054, 09:30:03
794525.7896890345, 09:30:04
794525.9574468086, 09:30:05
794526.1587561376, 09:30:07
794526.3600654665, 09:30:08
794526.5278232406, 09:30:08
794526.6955810147, 09:30:09
794526.7962356793, 09:30:09
794526.9304418985, 09:30:10
794527.1317512275, 09:30:10
794527.3330605566, 09:30:11
794527.5343698855, 09:30:12
794527.7692307692, 09:30:13
794527.9369885434, 09:30:14
794528.1382978724, 09:30:16
794528.3060556465, 09:30:17
794528.4738134206, 09:30:17
794528.60801964, 09:30:18
794528.8428805238, 09:30:18
794528.9770867431, 09:30:19
794529.1112929625, 09:30:19
794529.2790507366, 09:30:20
794529.4468085107, 09:30:20
794529.6145662848, 09:30:22
794529.8494271686, 09:30:23
794530.0171849427, 09:30:24
794530.2520458265, 09:30:25
794530.4198036008, 09:30:25
794530.6882160393, 09:30:26
794530.8224222587, 09:30:27
794530.956628478, 09:30:28
794531.1579378069, 09:30:29
794531.1914893618, 09:30:30
