"Time[ms]","Channel A[V]"
-0.00639400,0.51332130
-0.00383400,0.33692430
-0.00127400,0.16052740
0.00128600,-0.19104590
0.00384600,-0.36744280
0.00640600,-0.54383980
0.00896600,-0.54383980
0.01152600,-0.54383980
0.01408600,-0.72023680
0.01664600,-0.89602350
0.01920600,-0.89602350
0.02176600,-1.07242000
0.02432600,-1.24881700
0.02688600,-1.42521400
0.02944600,-1.60100100
0.03200600,-1.77739800
0.03456600,-1.77739800
0.03712600,-1.77739800
0.03968600,-1.95379500
0.04224600,-1.95379500
0.04480600,-2.13019200
0.04736600,-2.30597900
0.04992600,-2.48237600
0.05248600,-2.48237600
0.05504600,-2.65877200
0.05760600,-2.83517000
0.06016600,-2.83517000
0.06272600,-2.83517000
0.06528600,-2.83517000
0.06784600,-3.01095600
0.07040600,-3.18735300
0.07296600,-3.18735300
0.07552600,-3.36375000
0.07808600,-3.36375000
0.08064600,-3.54014700
0.08320600,-3.71593400
0.08576600,-3.71593400
0.08832600,-3.71593400
0.09088600,-3.71593400
0.09344600,-3.71593400
0.09600600,-3.89233100
0.09856600,-3.89233100
0.10112600,-4.06872700
0.10368600,-3.89233100
0.10624600,-4.06872700
0.10880600,-4.06872700
0.11136600,-4.06872700
0.11392600,-4.06872700
0.11648600,-4.06872700
0.11904600,-4.06872700
0.12160600,-4.24512500
0.12416600,-4.24512500
0.12672600,-4.24512500
0.12928600,-4.24512500
0.13184600,-4.42091100
0.13440600,-4.24512500
0.13696600,-4.24512500
0.13952600,-4.24512500
0.14208600,-4.06872700
0.14464600,-4.24512500
0.14720600,-4.24512500
0.14976600,-4.24512500
0.15232600,-4.24512500
0.15488600,-4.24512500
0.15744600,-4.24512500
0.16000600,-4.06872700
0.16256600,-4.06872700
0.16512600,-3.89233100
0.16768600,-3.89233100
0.17024600,-3.89233100
0.17280600,-3.89233100
0.17536600,-3.89233100
0.17792600,-3.89233100
0.18048600,-3.71593400
0.18304600,-3.71593400
0.18560600,-3.54014700
0.18816600,-3.54014700
0.19072600,-3.54014700
0.19328600,-3.36375000
0.19584600,-3.36375000
0.19840600,-3.18735300
0.20096600,-3.18735300
0.20352600,-3.18735300
0.20608600,-3.01095600
0.20864600,-2.83517000
0.21120600,-2.83517000
0.21376600,-2.65877200
0.21632600,-2.65877200
0.21888600,-2.65877200
0.22144600,-2.48237600
0.22400600,-2.30597900
0.22656600,-2.30597900
0.22912600,-2.13019200
0.23168600,-1.95379500
0.23424600,-1.95379500
0.23680600,-1.77739800
0.23936600,-1.60100100
0.24192600,-1.60100100
0.24448600,-1.42521400
0.24704600,-1.24881700
