Apr 28, 2026  11:31:08 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   2.25E-009, 
 20.10,   2.16E-009, 
 20.20,   1.72E-009, 
 20.30,   9.65E-010, 
 20.40,   5.09E-010, 
 20.50,   2.85E-010, 
 20.60,   1.35E-010, 
 20.70,   9.64E-012, 
 20.80,  -1.48E-011, 
 20.90,  -1.25E-010, 
 21.00,  -1.12E-010, 
 21.10,  -5.08E-011, 
 21.20,  -6.75E-011, 
 21.30,  -1.44E-010, 
 21.40,  -1.73E-010, 
 21.50,  -1.46E-010, 
 21.60,  -1.20E-010, 
 21.70,  -1.03E-011, 
 21.80,   5.40E-011, 
 21.90,   1.55E-010, 
 22.00,   1.25E-010, 
 22.10,   4.76E-011, 
 22.20,  -6.81E-011, 
 22.30,  -7.71E-011, 
 22.40,  -1.12E-010, 
 22.50,  -1.05E-010, 
 22.60,  -1.48E-010, 
 22.70,  -1.11E-010, 
 22.80,  -8.80E-011, 
 22.90,  -1.20E-010, 
 23.00,  -1.07E-010, 
 23.10,  -1.45E-010, 
 23.20,  -1.04E-010, 
 23.30,  -1.38E-010, 
 23.40,  -7.71E-011, 
 23.50,  -1.29E-011, 
 23.60,  -1.93E-011, 
 23.70,   6.81E-011, 
 23.80,   1.53E-010, 
 23.90,   1.57E-010, 
 24.00,   1.66E-010, 
 24.10,   1.57E-010, 
 24.20,   1.67E-010, 
 24.30,   8.23E-011, 
 24.40,   4.50E-012, 
 24.50,   1.74E-011, 
 24.60,   9.19E-011, 
 24.70,   2.89E-010, 
 24.80,   4.94E-010, 
 24.90,   6.86E-010, 
 25.00,   7.33E-010, 
 25.10,   7.37E-010, 
 25.20,   5.60E-010, 
 25.30,   3.87E-010, 
 25.40,   2.80E-010, 
 25.50,   2.44E-010, 
 25.60,   8.89E-010, 
 25.70,   2.07E-009, 
 25.80,   3.34E-009, 
 25.90,   4.07E-009, 
 26.00,   4.28E-009, 
 26.10,   4.27E-009, 
 26.20,   3.29E-009, 
 26.30,   1.81E-009, 
 26.40,   1.10E-009, 
 26.50,   8.54E-010, 
 26.60,   1.85E-009, 
 26.70,   4.24E-009, 
 26.80,   7.00E-009, 
 26.90,   8.85E-009, 
 27.00,   9.88E-009, 
 27.10,   1.04E-008, 
 27.20,   9.77E-009, 
 27.30,   1.01E-008, 
 27.40,   1.67E-008, 
 27.50,   6.09E-008, 
 27.60,   3.15E-007, 
 27.70,   4.69E-007, 
 27.80,   5.44E-007, 
 27.90,   5.18E-007, 
 28.00,   4.69E-007, 
 28.10,   3.70E-007, 
 28.20,   9.47E-008, 
 28.30,   1.59E-008, 
 28.40,   7.16E-009, 
 28.50,   4.72E-009, 
 28.60,   5.81E-009, 
 28.70,   8.96E-009, 
 28.80,   1.22E-008, 
 28.90,   1.38E-008, 
 29.00,   1.41E-008, 
 29.10,   1.29E-008, 
 29.20,   8.50E-009, 
 29.30,   4.81E-009, 
 29.40,   3.66E-009, 
 29.50,   5.56E-009, 
 29.60,   2.05E-008, 
 29.70,   4.27E-008, 
 29.80,   5.73E-008, 
 29.90,   5.85E-008, 
 30.00,   5.43E-008, 
 30.10,   4.35E-008, 
 30.20,   1.93E-008, 
 30.30,   7.53E-009, 
 30.40,   3.81E-009, 
 30.50,   2.30E-009, 
 30.60,   2.19E-009, 
 30.70,   2.62E-009, 
 30.80,   3.29E-009, 
 30.90,   3.68E-009, 
 31.00,   3.91E-009, 
 31.10,   3.92E-009, 
 31.20,   3.28E-009, 
 31.30,   2.77E-009, 
 31.40,   3.73E-009, 
 31.50,   9.10E-009, 
 31.60,   4.11E-008, 
 31.70,   8.23E-008, 
 31.80,   1.00E-007, 
 31.90,   1.02E-007, 
 32.00,   9.28E-008, 
 32.10,   6.92E-008, 
 32.20,   2.39E-008, 
 32.30,   8.55E-009, 
 32.40,   4.21E-009, 
 32.50,   2.36E-009, 
 32.60,   1.45E-009, 
 32.70,   9.99E-010, 
 32.80,   7.01E-010, 
 32.90,   5.57E-010, 
 33.00,   4.31E-010, 
 33.10,   3.57E-010, 
 33.20,   2.59E-010, 
 33.30,   1.34E-010, 
 33.40,   1.94E-010, 
 33.50,   2.10E-010, 
 33.60,   2.05E-010, 
 33.70,   2.20E-010, 
 33.80,   2.78E-010, 
 33.90,   3.80E-010, 
 34.00,   4.92E-010, 
 34.10,   5.62E-010, 
 34.20,   5.62E-010, 
 34.30,   7.66E-010, 
 34.40,   1.34E-009, 
 34.50,   3.98E-009, 
 34.60,   1.37E-008, 
 34.70,   2.66E-008, 
 34.80,   3.42E-008, 
 34.90,   3.66E-008, 
 35.00,   3.44E-008, 
 35.10,   2.51E-008, 
 35.20,   1.23E-008, 
 35.30,   8.29E-009, 
 35.40,   9.80E-009, 
 35.50,   2.87E-008, 
 35.60,   1.15E-007, 
 35.70,   1.78E-007, 
 35.80,   1.91E-007, 
 35.90,   2.01E-007, 
 36.00,   1.74E-007, 
 36.10,   9.72E-008, 
 36.20,   2.29E-008, 
 36.30,   8.55E-009, 
 36.40,   4.72E-009, 
 36.50,   3.91E-009, 
 36.60,   5.99E-009, 
 36.70,   9.42E-009, 
 36.80,   1.23E-008, 
 36.90,   1.38E-008, 
 37.00,   1.37E-008, 
 37.10,   1.10E-008, 
 37.20,   6.27E-009, 
 37.30,   3.94E-009, 
 37.40,   3.74E-009, 
 37.50,   7.46E-009, 
 37.60,   2.47E-008, 
 37.70,   4.73E-008, 
 37.80,   5.80E-008, 
 37.90,   6.26E-008, 
 38.00,   5.70E-008, 
 38.10,   3.72E-008, 
 38.20,   1.42E-008, 
 38.30,   6.24E-009, 
 38.40,   3.36E-009, 
 38.50,   2.10E-009, 
 38.60,   2.19E-009, 
 38.70,   3.26E-009, 
 38.80,   4.57E-009, 
 38.90,   5.50E-009, 
 39.00,   6.08E-009, 
 39.10,   5.76E-009, 
 39.20,   4.02E-009, 
 39.30,   2.29E-009, 
 39.40,   1.57E-009, 
 39.50,   1.96E-009, 
 39.60,   4.57E-009, 
 39.70,   8.65E-009, 
 39.80,   1.21E-008, 
 39.90,   1.39E-008, 
 40.00,   1.42E-008, 
 40.10,   1.14E-008, 
 40.20,   6.33E-009, 
 40.30,   3.27E-009, 
 40.40,   1.92E-009, 
 40.50,   1.33E-009, 
 40.60,   1.48E-009, 
 40.70,   2.34E-009, 
 40.80,   3.46E-009, 
 40.90,   4.36E-009, 
 41.00,   4.95E-009, 
 41.10,   4.78E-009, 
 41.20,   3.45E-009, 
 41.30,   2.08E-009, 
 41.40,   1.33E-009, 
 41.50,   1.15E-009, 
 41.60,   1.60E-009, 
 41.70,   2.75E-009, 
 41.80,   4.18E-009, 
 41.90,   5.17E-009, 
 42.00,   5.72E-009, 
 42.10,   5.49E-009, 
 42.20,   3.96E-009, 
 42.30,   2.60E-009, 
 42.40,   2.15E-009, 
 42.50,   2.70E-009, 
 42.60,   7.45E-009, 
 42.70,   1.73E-008, 
 42.80,   2.66E-008, 
 42.90,   3.11E-008, 
 43.00,   3.28E-008, 
 43.10,   2.79E-008, 
 43.20,   1.47E-008, 
 43.30,   6.96E-009, 
 43.40,   4.59E-009, 
 43.50,   5.36E-009, 
 43.60,   1.47E-008, 
 43.70,   3.09E-008, 
 43.80,   4.09E-008, 
 43.90,   4.61E-008, 
 44.00,   4.51E-008, 
 44.10,   3.19E-008, 
 44.20,   1.36E-008, 
 44.30,   5.97E-009, 
 44.40,   3.15E-009, 
 44.50,   2.00E-009, 
 44.60,   1.59E-009, 
 44.70,   1.82E-009, 
 44.80,   2.32E-009, 
 44.90,   2.65E-009, 
 45.00,   2.86E-009, 
 45.10,   2.81E-009, 
 45.20,   1.95E-009, 
 45.30,   1.10E-009, 
 45.40,   6.13E-010, 
 45.50,   3.76E-010, 
 45.60,   3.35E-010, 
 45.70,   3.16E-010, 
 45.80,   4.44E-010, 
 45.90,   5.36E-010, 
 46.00,   5.82E-010, 
 46.10,   6.29E-010, 
 46.20,   4.90E-010, 
 46.30,   3.97E-010, 
 46.40,   3.49E-010, 
 46.50,   6.74E-010, 
 46.60,   2.07E-009, 
 46.70,   4.37E-009, 
 46.80,   6.44E-009, 
 46.90,   7.93E-009, 
 47.00,   8.54E-009, 
 47.10,   6.70E-009, 
