V[ml],p [10^5 Pa]
4,8
3.8,8.25
3.6,8.75
3.4,9.25
3.2,9.75
3,10.5
2.8,11.25
2.6,12
2.5,12.5
2.4,13
2.3,13.5
2.2,14.25
2.1,14.75
2,15.5
1.9,16.25
1.8,17
1.7,17.75
1.6,18.75
1.5,20
1.4,21
1.3,22
1.2,23.5
1.1,25
1,26.5
0.9,28.25
0.8,29.75
0.7,31
0.6,31.5
0.5,31.5
0.45,31
0.4,32
0.35,32.5
0.3,37.5
