t (s),U1(V)
0.309000,-0.271902
0.310000,-0.271902
0.311000,-0.277131
0.312000,-0.277131
0.313000,-0.282360
0.314000,-0.287588
0.315000,-0.287588
0.316000,-0.292817
0.317000,-0.292817
0.318000,-0.298046
0.319000,-0.298046
0.320000,-0.303275
0.321000,-0.308504
0.322000,-0.308504
0.323000,-0.313733
0.324000,-0.308504
0.325000,-0.318962
0.326000,-0.318962
0.327000,-0.318962
0.328000,-0.324191
0.329000,-0.324191
0.330000,-0.329420
0.331000,-0.329420
0.332000,-0.334648
0.333000,-0.334648
0.334000,-0.339877
0.335000,-0.339877
0.336000,-0.345106
0.337000,-0.345106
0.338000,-0.350335
0.339000,-0.350335
0.340000,-0.355564
0.341000,-0.360793
0.342000,-0.360793
0.343000,-0.360793
0.344000,-0.360793
0.345000,-0.366022
0.346000,-0.371251
0.347000,-0.371251
0.348000,-0.376479
0.349000,-0.376479
0.350000,-0.376479
0.351000,-0.381708
0.352000,-0.381708
0.353000,-0.386937
0.354000,-0.386937
0.355000,-0.392166
0.356000,-0.392166
0.357000,-0.397395
0.358000,-0.397395
0.359000,-0.402624
0.360000,-0.407853
0.361000,-0.407853
0.362000,-0.407853
0.363000,-0.413082
0.364000,-0.413082
0.365000,-0.413082
0.366000,-0.418311
0.367000,-0.418311
0.368000,-0.418311
0.369000,-0.428768
0.370000,-0.428768
0.371000,-0.428768
0.372000,-0.433997
0.373000,-0.433997
0.374000,-0.433997
0.375000,-0.439226
0.376000,-0.444455
0.377000,-0.444455
0.378000,-0.444455
0.379000,-0.449684
0.380000,-0.449684
0.381000,-0.454913
0.382000,-0.454913
0.383000,-0.454913
0.384000,-0.460142
0.385000,-0.465370
0.386000,-0.465370
0.387000,-0.465370
0.388000,-0.465370
0.389000,-0.470599
0.390000,-0.470599
0.391000,-0.475828
0.392000,-0.475828
0.393000,-0.481057
0.394000,-0.481057
0.395000,-0.486286
0.396000,-0.486286
0.397000,-0.491515
0.398000,-0.491515
0.399000,-0.491515
0.400000,-0.496744
0.401000,-0.496744
0.402000,-0.501973
0.403000,-0.501973
0.404000,-0.507201
0.405000,-0.507201
0.406000,-0.507201
0.407000,-0.512430
0.408000,-0.517659
0.409000,-0.517659
0.410000,-0.517659
0.411000,-0.517659
0.412000,-0.522888
0.413000,-0.522888
0.414000,-0.528117
0.415000,-0.528117
0.416000,-0.533346
0.417000,-0.533346
0.418000,-0.533346
0.419000,-0.538575
0.420000,-0.538575
0.421000,-0.538575
0.422000,-0.543804
0.423000,-0.543804
0.424000,-0.549033
0.425000,-0.549033
0.426000,-0.554261
0.427000,-0.554261
0.428000,-0.554261
0.429000,-0.554261
0.430000,-0.559490
0.431000,-0.559490
0.432000,-0.564719
0.433000,-0.564719
0.434000,-0.564719
0.435000,-0.569948
0.436000,-0.569948
0.437000,-0.569948
0.438000,-0.575177
0.439000,-0.575177
0.440000,-0.580406
0.441000,-0.580406
0.442000,-0.585635
0.443000,-0.585635
0.444000,-0.585635
0.445000,-0.585635
0.446000,-0.590864
0.447000,-0.590864
0.448000,-0.596092
0.449000,-0.596092
0.450000,-0.601321
0.451000,-0.601321
0.452000,-0.601321
0.453000,-0.601321
0.454000,-0.606550
0.455000,-0.606550
0.456000,-0.606550
0.457000,-0.611779
0.458000,-0.611779
0.459000,-0.611779
0.460000,-0.617008
0.461000,-0.617008
0.462000,-0.617008
0.463000,-0.617008
0.464000,-0.622237
0.465000,-0.622237
0.466000,-0.627466
0.467000,-0.627466
0.468000,-0.627466
0.469000,-0.632695
0.470000,-0.632695
0.471000,-0.637924
0.472000,-0.637924
0.473000,-0.637924
0.474000,-0.637924
0.475000,-0.637924
0.476000,-0.643152
0.477000,-0.643152
0.478000,-0.643152
0.479000,-0.648381
0.480000,-0.653610
0.481000,-0.648381
0.482000,-0.653610
0.483000,-0.653610
0.484000,-0.653610
0.485000,-0.653610
0.486000,-0.658839
0.487000,-0.664068
0.488000,-0.664068
0.489000,-0.664068
0.490000,-0.664068
0.491000,-0.669297
0.492000,-0.669297
0.493000,-0.669297
0.494000,-0.669297
0.495000,-0.674526
0.496000,-0.674526
0.497000,-0.679755
0.498000,-0.679755
0.499000,-0.679755
0.500000,-0.679755
0.501000,-0.684983
0.502000,-0.684983
0.503000,-0.684983
0.504000,-0.684983
0.505000,-0.690212
0.506000,-0.690212
0.507000,-0.690212
0.508000,-0.690212
0.509000,-0.690212
0.510000,-0.695441
0.511000,-0.695441
0.512000,-0.695441
0.513000,-0.700670
0.514000,-0.700670
0.515000,-0.700670
0.516000,-0.700670
0.517000,-0.700670
0.518000,-0.705899
0.519000,-0.705899
0.520000,-0.705899
0.521000,-0.711128
0.522000,-0.711128
0.523000,-0.711128
0.524000,-0.716357
0.525000,-0.716357
0.526000,-0.716357
0.527000,-0.721586
0.528000,-0.716357
0.529000,-0.716357
0.530000,-0.716357
0.531000,-0.721586
0.532000,-0.721586
0.533000,-0.726814
0.534000,-0.726814
0.535000,-0.726814
0.536000,-0.726814
0.537000,-0.726814
0.538000,-0.732043
0.539000,-0.732043
0.540000,-0.732043
0.541000,-0.732043
0.542000,-0.732043
0.543000,-0.737272
0.544000,-0.737272
0.545000,-0.737272
0.546000,-0.737272
0.547000,-0.742501
0.548000,-0.742501
0.549000,-0.742501
0.550000,-0.742501
0.551000,-0.742501
0.552000,-0.747730
0.553000,-0.747730
0.554000,-0.742501
0.555000,-0.747730
0.556000,-0.747730
0.557000,-0.747730
0.558000,-0.752959
0.559000,-0.752959
0.560000,-0.752959
0.561000,-0.752959
0.562000,-0.752959
0.563000,-0.758188
0.564000,-0.758188
0.565000,-0.758188
0.566000,-0.758188
0.567000,-0.758188
0.568000,-0.763417
0.569000,-0.763417
0.570000,-0.763417
0.571000,-0.763417
0.572000,-0.763417
0.573000,-0.763417
0.574000,-0.768646
0.575000,-0.768646
0.576000,-0.763417
0.577000,-0.768646
0.578000,-0.768646
0.579000,-0.768646
0.580000,-0.773874
0.581000,-0.773874
0.582000,-0.773874
0.583000,-0.773874
0.584000,-0.773874
0.585000,-0.773874
0.586000,-0.773874
0.587000,-0.773874
0.588000,-0.779103
0.589000,-0.773874
0.590000,-0.779103
0.591000,-0.779103
0.592000,-0.779103
0.593000,-0.779103
0.594000,-0.784332
0.595000,-0.784332
0.596000,-0.779103
0.597000,-0.784332
0.598000,-0.779103
0.599000,-0.784332
0.600000,-0.784332
0.601000,-0.784332
0.602000,-0.784332
0.603000,-0.789561
0.604000,-0.789561
0.605000,-0.784332
0.606000,-0.789561
0.607000,-0.789561
0.608000,-0.789561
0.609000,-0.789561
0.610000,-0.789561
0.611000,-0.789561
0.612000,-0.794790
0.613000,-0.789561
0.614000,-0.794790
0.615000,-0.794790
0.616000,-0.794790
0.617000,-0.794790
0.618000,-0.794790
0.619000,-0.794790
0.620000,-0.794790
0.621000,-0.794790
0.622000,-0.800019
0.623000,-0.794790
0.624000,-0.800019
0.625000,-0.794790
0.626000,-0.794790
0.627000,-0.794790
0.628000,-0.794790
0.629000,-0.800019
0.630000,-0.800019
0.631000,-0.800019
0.632000,-0.800019
0.633000,-0.800019
0.634000,-0.800019
0.635000,-0.800019
0.636000,-0.800019
0.637000,-0.805248
0.638000,-0.800019
0.639000,-0.800019
0.640000,-0.805248
0.641000,-0.800019
0.642000,-0.805248
0.643000,-0.805248
0.644000,-0.805248
0.645000,-0.805248
0.646000,-0.805248
0.647000,-0.805248
0.648000,-0.805248
0.649000,-0.805248
0.650000,-0.805248
0.651000,-0.800019
0.652000,-0.805248
0.653000,-0.800019
0.654000,-0.805248
0.655000,-0.805248
0.656000,-0.805248
0.657000,-0.805248
0.658000,-0.805248
0.659000,-0.800019
0.660000,-0.805248
0.661000,-0.805248
0.662000,-0.810477
0.663000,-0.805248
0.664000,-0.805248
0.665000,-0.805248
0.666000,-0.805248
0.667000,-0.805248
0.668000,-0.810477
0.669000,-0.810477
0.670000,-0.805248
0.671000,-0.805248
0.672000,-0.805248
0.673000,-0.805248
0.674000,-0.805248
0.675000,-0.805248
0.676000,-0.805248
0.677000,-0.805248
0.678000,-0.805248
0.679000,-0.805248
0.680000,-0.805248
0.681000,-0.805248
0.682000,-0.805248
0.683000,-0.805248
0.684000,-0.800019
0.685000,-0.805248
0.686000,-0.800019
0.687000,-0.805248
0.688000,-0.805248
0.689000,-0.800019
0.690000,-0.805248
0.691000,-0.805248
0.692000,-0.805248
0.693000,-0.805248
0.694000,-0.805248
0.695000,-0.805248
0.696000,-0.800019
0.697000,-0.800019
0.698000,-0.800019
0.699000,-0.805248
0.700000,-0.800019
0.701000,-0.805248
0.702000,-0.800019
0.703000,-0.800019
0.704000,-0.805248
0.705000,-0.800019
0.706000,-0.800019
0.707000,-0.800019
0.708000,-0.800019
0.709000,-0.800019
0.710000,-0.800019
0.711000,-0.800019
0.712000,-0.800019
0.713000,-0.800019
0.714000,-0.800019
0.715000,-0.794790
0.716000,-0.794790
0.717000,-0.800019
0.718000,-0.794790
0.719000,-0.794790
0.720000,-0.794790
0.721000,-0.794790
0.722000,-0.794790
0.723000,-0.794790
0.724000,-0.794790
0.725000,-0.794790
0.726000,-0.794790
0.727000,-0.789561
0.728000,-0.789561
0.729000,-0.789561
0.730000,-0.789561
0.731000,-0.789561
0.732000,-0.789561
0.733000,-0.789561
0.734000,-0.789561
0.735000,-0.784332
0.736000,-0.789561
0.737000,-0.789561
0.738000,-0.789561
0.739000,-0.784332
0.740000,-0.789561
0.741000,-0.784332
0.742000,-0.784332
0.743000,-0.784332
0.744000,-0.784332
0.745000,-0.784332
0.746000,-0.784332
0.747000,-0.779103
0.748000,-0.784332
0.749000,-0.779103
0.750000,-0.779103
0.751000,-0.779103
0.752000,-0.779103
0.753000,-0.773874
0.754000,-0.779103
0.755000,-0.779103
0.756000,-0.773874
0.757000,-0.773874
0.758000,-0.773874
0.759000,-0.773874
0.760000,-0.773874
0.761000,-0.773874
0.762000,-0.768646
0.763000,-0.768646
0.764000,-0.768646
0.765000,-0.768646
0.766000,-0.768646
0.767000,-0.763417
0.768000,-0.768646
0.769000,-0.763417
0.770000,-0.763417
0.771000,-0.763417
0.772000,-0.763417
0.773000,-0.763417
0.774000,-0.763417
0.775000,-0.758188
0.776000,-0.758188
0.777000,-0.758188
0.778000,-0.758188
0.779000,-0.758188
0.780000,-0.752959
0.781000,-0.752959
0.782000,-0.752959
0.783000,-0.752959
0.784000,-0.747730
0.785000,-0.747730
0.786000,-0.752959
0.787000,-0.747730
0.788000,-0.747730
0.789000,-0.747730
0.790000,-0.747730
0.791000,-0.747730
0.792000,-0.742501
0.793000,-0.742501
0.794000,-0.742501
0.795000,-0.737272
0.796000,-0.737272
0.797000,-0.742501
0.798000,-0.737272
0.799000,-0.737272
0.800000,-0.737272
0.801000,-0.732043
0.802000,-0.732043
0.803000,-0.732043
0.804000,-0.726814
0.805000,-0.726814
0.806000,-0.726814
0.807000,-0.726814
0.808000,-0.726814
0.809000,-0.726814
0.810000,-0.726814
0.811000,-0.721586
0.812000,-0.726814
0.813000,-0.721586
0.814000,-0.721586
0.815000,-0.716357
0.816000,-0.716357
0.817000,-0.721586
0.818000,-0.716357
0.819000,-0.716357
