"Frequency[kHz]","Channel A[dBu]"

0.00000000,-36.43570000
0.04768372,-43.19559000
0.09536743,-55.75433000
0.14305115,-70.08295000
0.19073486,-67.23950000
0.23841858,-61.67562000
0.28610229,-58.15952000
0.33378601,-70.32125000
0.38146973,-80.02972000
0.42915344,-60.92250000
0.47683716,-60.40949000
0.52452087,-61.10875000
0.57220459,-59.34578000
0.61988831,-55.39697000
0.66757202,-61.04320000
0.71525574,-60.06594000
0.76293945,-52.73305000
0.81062317,-52.00758000
0.85830688,-60.58856000
0.90599060,-55.56763000
0.95367432,-53.40165000
1.00135803,-54.90775000
1.04904175,-54.03850000
1.09672546,-53.57861000
1.14440918,-52.14137000
1.19209290,-50.30116000
1.23977661,-51.32030000
1.28746033,-48.00380000
1.33514404,-49.48040000
1.38282776,-45.54841000
1.43051147,-47.50634000
1.47819519,-43.70181000
1.52587891,-40.73151000
1.57356262,-41.50200000
1.62124634,-36.86893000
1.66893005,-31.31288000
1.71661377,-17.33913000
1.76429749,-7.88375500
1.81198120,-4.95385900
1.85966492,-8.60407100
1.90734863,-18.76759000
1.95503235,-33.06223000
2.00271606,-36.06746000
2.05039978,-40.27839000
2.09808350,-40.91037000
2.14576721,-42.92598000
2.19345093,-42.50378000
2.24113464,-45.24235000
2.28881836,-44.52767000
2.33650208,-44.65683000
2.38418579,-49.00918000
2.43186951,-46.15811000
2.47955322,-46.88525000
2.52723694,-48.27773000
2.57492065,-48.71510000
2.62260437,-48.20743000
2.67028809,-48.73718000
2.71797180,-49.82733000
2.76565552,-50.58761000
2.81333923,-49.02428000
2.86102295,-50.07135000
2.90870667,-50.06647000
2.95639038,-52.18743000
3.00407410,-49.07705000
3.05175781,-51.28651000
3.09944153,-50.39206000
3.14712524,-52.53682000
3.19480896,-51.23277000
3.24249268,-51.24456000
3.29017639,-51.37371000
3.33786011,-50.97231000
3.38554382,-53.83147000
3.43322754,-54.29051000
3.48091125,-47.79803000
3.52859497,-54.00728000
3.57627869,-54.02357000
3.62396240,-49.14949000
3.67164612,-60.03592000
3.71932983,-48.94330000
3.76701355,-51.22950000
3.81469727,-51.62765000
3.86238098,-49.34586000
3.91006470,-60.17239000
3.95774841,-52.10294000
4.00543213,-47.67464000
4.05311584,-53.32084000
4.10079956,-51.36013000
4.14848328,-52.85646000
4.19616699,-51.73090000
