"Frequency[kHz]","Channel A[dBu]"

0.00000000,-25.20551000
0.04768372,-31.40526000
0.09536743,-42.68774000
0.14305115,-57.83863000
0.19073486,-58.97863000
0.23841858,-60.15738000
0.28610229,-51.18022000
0.33378601,-48.51250000
0.38146973,-48.28747000
0.42915344,-49.23267000
0.47683716,-52.65607000
0.52452087,-52.13002000
0.57220459,-51.25711000
0.61988831,-50.34359000
0.66757202,-49.33415000
0.71525574,-50.98491000
0.76293945,-53.29094000
0.81062317,-57.39698000
0.85830688,-50.67871000
0.90599060,-49.79152000
0.95367432,-54.38505000
1.00135803,-58.84106000
1.04904175,-53.59756000
1.09672546,-57.17606000
1.14440918,-55.75481000
1.19209290,-52.27704000
1.23977661,-57.26731000
1.28746033,-68.67773000
1.33514404,-66.52564000
1.38282776,-56.30039000
1.43051147,-51.01868000
1.47819519,-53.72964000
1.52587891,-52.26012000
1.57356262,-52.43313000
1.62124634,-46.75907000
1.66893005,-48.44112000
1.71661377,-33.85712000
1.76429749,-26.36879000
1.81198120,-24.01781000
1.85966492,-27.90298000
1.90734863,-37.72090000
1.95503235,-42.32031000
2.00271606,-62.56284000
2.05039978,-45.00979000
2.09808350,-47.47595000
2.14576721,-45.68015000
2.19345093,-33.57355000
2.24113464,-26.82365000
2.28881836,-24.75369000
2.33650208,-28.39483000
2.38418579,-37.84998000
2.43186951,-50.04104000
2.47955322,-51.01938000
2.52723694,-54.14085000
2.57492065,-63.36348000
2.62260437,-62.47296000
2.67028809,-58.73220000
2.71797180,-62.39809000
2.76565552,-58.10912000
2.81333923,-60.67865000
2.86102295,-61.03020000
2.90870667,-57.13505000
2.95639038,-69.99055000
3.00407410,-60.77518000
3.05175781,-57.43895000
3.09944153,-54.27535000
3.14712524,-62.50059000
3.19480896,-56.09069000
3.24249268,-59.45429000
3.29017639,-56.60677000
3.33786011,-50.69458000
3.38554382,-48.41579000
3.43322754,-49.24209000
3.48091125,-68.20682000
3.52859497,-49.94062000
3.57627869,-49.43953000
3.62396240,-53.74028000
3.67164612,-63.38180000
3.71932983,-58.99651000
3.76701355,-57.28328000
3.81469727,-60.64069000
3.86238098,-61.80324000
3.91006470,-60.88045000
3.95774841,-72.79712000
4.00543213,-63.67345000
4.05311584,-55.16506000
4.10079956,-53.46884000
4.14848328,-55.15620000
4.19616699,-56.77124000
4.24385071,-53.23278000
4.29153442,-49.96171000
4.33921814,-52.02781000
4.38690186,-59.29927000
4.43458557,-59.09427000
4.48226929,-53.86555000
4.52995300,-52.61325000
4.57763672,-54.39607000
4.62532043,-69.21134000
4.67300415,-56.91183000
4.72068787,-53.14753000
4.76837158,-51.45974000
4.81605530,-53.29728000
4.86373901,-56.43578000
4.91142273,-58.74937000
4.95910645,-58.36080000
5.00679016,-58.19250000
5.05447388,-71.30827000
5.10215759,-64.90948000
5.14984131,-55.70551000
5.19752502,-53.50477000
5.24520874,-53.33563000
5.29289246,-54.95128000
5.34057617,-60.72499000
5.38825989,-72.64017000
5.43594360,-57.93216000
5.48362732,-53.49909000
5.53131104,-56.45962000
5.57899475,-70.51163000
5.62667847,-72.99380000
5.67436218,-56.49227000
5.72204590,-52.79352000
5.76972961,-79.60734000
5.81741333,-52.12970000
5.86509705,-50.29029000
5.91278076,-50.37014000
5.96046448,-65.36363000
6.00814819,-53.25095000
6.05583191,-63.19687000
6.10351563,-49.79097000
6.15119934,-48.48743000
6.19888306,-62.70729000
6.24656677,-57.24356000
6.29425049,-61.13377000
6.34193420,-48.98904000
6.38961792,-49.76151000
6.43730164,-60.68246000
6.48498535,-54.93074000
6.53266907,-57.65406000
6.58035278,-59.95043000
6.62803650,-61.92653000
6.67572021,-61.11120000
6.72340393,-58.01313000
6.77108765,-52.43496000
6.81877136,-50.76191000
6.86645508,-51.11421000
6.91413879,-65.18652000
6.96182251,-52.52907000
7.00950623,-50.38961000
7.05718994,-50.48462000
7.10487366,-56.01345000
7.15255737,-55.91286000
7.20024109,-54.37801000
7.24792480,-53.88173000
7.29560852,-58.95175000
7.34329224,-61.06335000
7.39097595,-58.21236000
7.43865967,-58.73684000
7.48634338,-63.80404000
7.53402710,-58.71651000
7.58171082,-56.19697000
7.62939453,-53.52178000
7.67707825,-49.59985000
7.72476196,-49.15691000
7.77244568,-49.07808000
7.82012939,-52.14928000
7.86781311,-55.84016000
7.91549683,-54.22705000
7.96318054,-50.45219000
8.01086426,-52.40299000
8.05854797,-64.46085000
8.10623169,-57.56761000
8.15391541,-51.27220000
8.20159912,-51.05149000
8.24928284,-54.92699000
8.29696655,-56.57242000
8.34465027,-52.05562000
8.39233398,-54.11073000
8.44001770,-56.11326000
8.48770142,-55.15882000
8.53538513,-57.58543000
8.58306885,-58.15865000
8.63075256,-54.29112000
8.67843628,-55.61320000
8.72612000,-68.12212000
8.77380371,-63.57067000
8.82148743,-60.69266000
8.86917114,-55.65115000
8.91685486,-52.70544000
8.96453857,-56.38170000
9.01222229,-64.38480000
9.05990601,-61.32935000
9.10758972,-50.69462000
9.15527344,-49.33645000
9.20295715,-50.28843000
9.25064087,-48.29214000
9.29832458,-47.89225000
9.34600830,-56.16425000
9.39369202,-57.45712000
9.44137573,-50.45078000
9.48905945,-48.07302000
9.53674316,-49.24557000
9.58442688,-55.72084000
9.63211060,-64.06922000
9.67979431,-59.34834000
9.72747803,-54.29608000
9.77516174,-57.38560000
9.82284546,-67.41830000
9.87052917,-64.54234000
9.91821289,-57.60086000
9.96589661,-52.51025000
10.01358032,-56.79617000
10.06126404,-77.11134000
10.10894775,-58.26497000
10.15663147,-55.84207000
10.20431519,-59.90677000
10.25199890,-56.86655000
10.29968262,-53.30084000
10.34736633,-51.34167000
10.39505005,-50.35813000
10.44273376,-50.77420000
10.49041748,-51.46338000
10.53810120,-55.15057000
10.58578491,-60.12486000
10.63346863,-60.03165000
10.68115234,-61.41216000
10.72883606,-57.33968000
10.77651978,-59.63715000
10.82420349,-68.09310000
10.87188721,-57.01906000
10.91957092,-54.68097000
10.96725464,-51.94170000
11.01493835,-51.66895000
11.06262207,-54.93259000
11.11030579,-63.81544000
11.15798950,-60.71068000
11.20567322,-55.36103000
11.25335693,-50.87294000
11.30104065,-49.48671000
11.34872437,-50.97011000
11.39640808,-52.90639000
11.44409180,-51.60062000
11.49177551,-55.75139000
11.53945923,-65.15127000
11.58714294,-60.82157000
11.63482666,-61.26772000
11.68251038,-57.92431000
11.73019409,-57.63851000
11.77787781,-57.78031000
11.82556152,-57.22191000
11.87324524,-72.90488000
11.92092896,-57.82139000
11.96861267,-57.23405000
12.01629639,-55.61380000
12.06398010,-56.87104000
12.11166382,-53.85182000
12.15934753,-48.42636000
12.20703125,-48.29494000
12.25471497,-53.01466000
12.30239868,-61.34605000
12.35008240,-54.39521000
12.39776611,-53.49102000
12.44544983,-56.95816000
12.49313354,-55.94725000
12.54081726,-57.13354000
12.58850098,-59.34649000
12.63618469,-59.52824000
12.68386841,-59.42437000
12.73155212,-64.55451000
12.77923584,-65.13123000
12.82691956,-62.45448000
12.87460327,-62.15670000
12.92228699,-56.72047000
12.96997070,-58.13263000
13.01765442,-59.83414000
13.06533813,-56.72987000
13.11302185,-52.61986000
13.16070557,-49.26438000
13.20838928,-49.72471000
13.25607300,-51.37968000
13.30375671,-51.19362000
13.35144043,-52.84542000
13.39912415,-58.70350000
13.44680786,-64.60021000
13.49449158,-54.06504000
13.54217529,-51.64082000
13.58985901,-52.45803000
13.63754272,-57.39320000
13.68522644,-72.97707000
13.73291016,-61.30068000
13.78059387,-76.75340000
13.82827759,-57.37435000
13.87596130,-60.24686000
13.92364502,-60.05370000
13.97132874,-56.88903000
14.01901245,-57.87204000
14.06669617,-60.13763000
14.11437988,-62.32002000
14.16206360,-57.67812000
14.20974731,-50.14372000
14.25743103,-51.55388000
14.30511475,-57.90868000
14.35279846,-56.88158000
14.40048218,-59.49025000
14.44816589,-55.40905000
14.49584961,-54.61358000
14.54353333,-61.01742000
14.59121704,-73.85208000
14.63890076,-73.46185000
14.68658447,-60.20933000
14.73426819,-55.53592000
14.78195190,-74.25773000
14.82963562,-58.98254000
14.87731934,-57.67762000
14.92500305,-57.07737000
14.97268677,-54.56498000
15.02037048,-51.77842000
15.06805420,-53.99032000
15.11573792,-58.01645000
15.16342163,-70.20588000
15.21110535,-72.30101000
15.25878906,-67.93048000
15.30647278,-59.58747000
15.35415649,-51.07157000
15.40184021,-48.53253000
15.44952393,-50.26208000
15.49720764,-58.43923000
15.54489136,-58.67505000
15.59257507,-54.45022000
15.64025879,-58.84859000
15.68794250,-56.32343000
15.73562622,-52.16118000
15.78330994,-59.14404000
15.83099365,-54.80839000
15.87867737,-49.80692000
15.92636108,-50.76608000
15.97404480,-51.88607000
16.02172852,-51.16319000
16.06941223,-51.60618000
16.11709595,-54.29306000
16.16477966,-58.38459000
16.21246338,-55.52182000
16.26014709,-54.30545000
16.30783081,-55.03268000
16.35551453,-58.17872000
16.40319824,-62.46099000
16.45088196,-71.49297000
16.49856567,-58.35691000
16.54624939,-51.21565000
16.59393311,-50.89505000
16.64161682,-52.33935000
16.68930054,-53.19154000
16.73698425,-54.11267000
16.78466797,-54.17666000
16.83235168,-53.00940000
16.88003540,-54.06519000
16.92771912,-57.61400000
16.97540283,-54.55947000
17.02308655,-58.27909000
17.07077026,-57.08974000
17.11845398,-54.60113000
17.16613770,-56.89774000
17.21382141,-58.56384000
17.26150513,-55.24277000
17.30918884,-54.62444000
17.35687256,-56.81046000
17.40455627,-69.95415000
17.45223999,-52.68383000
17.49992371,-52.31196000
17.54760742,-57.25405000
17.59529114,-53.12621000
17.64297485,-59.90727000
17.69065857,-59.10977000
17.73834229,-51.16021000
17.78602600,-50.00095000
17.83370972,-52.57080000
17.88139343,-55.02628000
17.92907715,-63.33060000
17.97676086,-57.90618000
18.02444458,-56.79784000
