"Frequency[kHz]","Channel A[dBu]"
11.63482666,-53.72422000
11.68251038,-53.42524000
11.73019409,-51.28540000
11.77787781,-52.72832000
11.82556152,-53.47240000
11.87324524,-54.19798000
11.92092896,-65.33157000
11.96861267,-59.32378000
12.01629639,-55.24489000
12.06398010,-54.94168000
12.11166382,-59.79721000
12.15934753,-57.02781000
12.20703125,-61.69962000
12.25471497,-76.19302000
12.30239868,-60.35183000
12.35008240,-55.58841000
12.39776611,-55.67870000
12.44544983,-61.21965000
12.49313354,-57.55437000
12.54081726,-60.68236000
12.58850098,-58.40496000
12.63618469,-52.28989000
12.68386841,-56.44798000
12.73155212,-54.06911000
12.77923584,-53.42648000
12.82691956,-58.52484000
12.87460327,-52.65789000
12.92228699,-51.04199000
12.96997070,-51.16493000
13.01765442,-53.11375000
13.06533813,-55.68629000
13.11302185,-59.12059000
13.16070557,-60.99955000
13.20838928,-58.20633000
13.25607300,-58.04733000
13.30375671,-56.01551000
13.35144043,-61.42435000
13.39912415,-57.87132000
13.44680786,-53.36308000
13.49449158,-55.39991000
13.54217529,-61.68268000
13.58985901,-52.26548000
13.63754272,-51.65077000
13.68522644,-54.46131000
13.73291016,-59.36707000
13.78059387,-55.85126000
13.82827759,-55.12535000
13.87596130,-60.94361000
13.92364502,-62.16850000
13.97132874,-58.50092000
14.01901245,-54.21746000
14.06669617,-51.84013000
14.11437988,-51.35055000
14.16206360,-50.69183000
14.20974731,-50.70890000
14.25743103,-53.13104000
14.30511475,-53.57382000
14.35279846,-51.16453000
14.40048218,-52.93119000
14.44816589,-62.79305000
14.49584961,-58.63976000
14.54353333,-59.67246000
14.59121704,-53.73459000
14.63890076,-48.86074000
14.68658447,-47.85116000
14.73426819,-47.57235000
14.78195190,-46.62985000
14.82963562,-46.23838000
14.87731934,-46.15698000
14.92500305,-47.91966000
14.97268677,-53.57242000
15.02037048,-60.76599000
15.06805420,-67.94894000
15.11573792,-56.54589000
15.16342163,-56.21590000
15.21110535,-65.49368000
15.25878906,-58.09522000
15.30647278,-58.24985000
15.35415649,-69.78635000
15.40184021,-57.94306000
15.44952393,-60.94658000
15.49720764,-61.48141000
15.54489136,-64.78651000
15.59257507,-64.03857000
15.64025879,-61.91286000
15.68794250,-59.75740000
15.73562622,-58.39602000
15.78330994,-59.04173000
15.83099365,-54.72722000
15.87867737,-56.68491000
15.92636108,-58.23601000
15.97404480,-54.93295000
16.02172852,-54.70031000
16.06941223,-58.86259000
16.11709595,-65.79116000
16.16477966,-54.04412000
16.21246338,-48.55549000
16.26014709,-50.02726000
16.30783081,-53.11160000
16.35551453,-51.90978000
16.40319824,-52.48386000
16.45088196,-55.31101000
16.49856567,-55.25468000
16.54624939,-56.02489000
16.59393311,-54.12440000
16.64161682,-52.78629000
16.68930054,-55.31879000
16.73698425,-55.23604000
16.78466797,-55.73700000
16.83235168,-62.86810000
16.88003540,-68.89222000
16.92771912,-60.95068000
16.97540283,-61.99005000
17.02308655,-59.65647000
17.07077026,-64.23537000
17.11845398,-62.24542000
17.16613770,-53.57850000
17.21382141,-52.39272000
17.26150513,-54.71357000
17.30918884,-60.48454000
17.35687256,-61.39034000
17.40455627,-57.01323000
17.45223999,-51.30087000
17.49992371,-50.43019000
17.54760742,-53.83385000
17.59529114,-59.01423000
17.64297485,-51.21739000
17.69065857,-50.40938000
17.73834229,-51.49816000
17.78602600,-58.95432000
17.83370972,-62.38055000
17.88139343,-58.83175000
17.92907715,-55.84066000
17.97676086,-56.81635000
18.02444458,-56.39478000
18.07212830,-51.87812000
18.11981201,-50.86871000
18.16749573,-53.58085000
18.21517944,-57.13276000
18.26286316,-56.16541000
18.31054688,-52.83960000
18.35823059,-52.91711000
18.40591431,-55.11418000
18.45359802,-63.11468000
18.50128174,-56.46122000
18.54896545,-55.40004000
18.59664917,-61.45334000
18.64433289,-71.05208000
18.69201660,-67.15677000
18.73970032,-53.45200000
18.78738403,-48.14172000
18.83506775,-48.25010000
18.88275146,-53.47530000
18.93043518,-57.53146000
18.97811890,-58.30230000
19.02580261,-56.52753000
19.07348633,-56.79615000
19.12117004,-81.96034000
19.16885376,-62.75618000
19.21653748,-63.97230000
19.26422119,-59.63413000
19.31190491,-64.07630000
19.35958862,-62.58305000
19.40727234,-61.01579000
19.45495605,-73.08490000
19.50263977,-59.42696000
19.55032349,-68.17876000
19.59800720,-60.57089000
19.64569092,-55.80835000
19.69337463,-55.88885000
19.74105835,-55.57772000
