"Frequency[kHz]","Channel A[dBu]"

0.00000000,-26.13078000
0.04768372,-32.72446000
0.09536743,-47.27530000
0.14305115,-53.42137000
0.19073486,-45.87551000
0.23841858,-46.19600000
0.28610229,-46.61414000
0.33378601,-46.48514000
0.38146973,-50.90452000
0.42915344,-54.23664000
0.47683716,-53.84900000
0.52452087,-59.53157000
0.57220459,-64.38575000
0.61988831,-54.88554000
0.66757202,-56.52460000
0.71525574,-73.07817000
0.76293945,-57.87270000
0.81062317,-58.11211000
0.85830688,-68.45664000
0.90599060,-59.74203000
0.95367432,-66.37734000
1.00135803,-68.63747000
1.04904175,-59.82373000
1.09672546,-54.89537000
1.14440918,-57.04568000
1.19209290,-54.78471000
1.23977661,-55.67296000
1.28746033,-59.20168000
1.33514404,-57.72721000
1.38282776,-53.00463000
1.43051147,-55.81489000
1.47819519,-54.07570000
1.52587891,-47.76978000
1.57356262,-58.12633000
1.62124634,-48.61428000
1.66893005,-34.88492000
1.71661377,-24.21008000
1.76429749,-12.44880000
1.81198120,-9.02751200
1.85966492,-12.97500000
1.90734863,-25.62194000
1.95503235,-35.44166000
2.00271606,-45.83576000
2.05039978,-57.72701000
2.09808350,-47.34177000
2.14576721,-57.68401000
2.19345093,-55.33702000
2.24113464,-64.09878000
2.28881836,-57.27929000
2.33650208,-63.74914000
2.38418579,-58.20814000
2.43186951,-56.69613000
2.47955322,-55.13308000
2.52723694,-54.77254000
2.57492065,-56.33463000
2.62260437,-52.55581000
2.67028809,-57.30915000
2.71797180,-56.19047000
2.76565552,-51.23122000
2.81333923,-54.95064000
2.86102295,-62.17670000
2.90870667,-50.77604000
2.95639038,-51.28978000
3.00407410,-55.46664000
3.05175781,-52.31884000
3.09944153,-48.25177000
3.14712524,-48.43857000
3.19480896,-50.89834000
3.24249268,-52.14017000
3.29017639,-54.03981000
3.33786011,-56.17130000
3.38554382,-50.17549000
3.43322754,-47.63128000
3.48091125,-48.46569000
3.52859497,-50.53459000
3.57627869,-55.64976000
3.62396240,-56.95723000
3.67164612,-52.88237000
3.71932983,-52.95631000
3.76701355,-50.53898000
3.81469727,-49.77370000
3.86238098,-49.49813000
3.91006470,-47.42930000
3.95774841,-46.62172000
4.00543213,-48.28609000
4.05311584,-50.53995000
4.10079956,-52.90411000
4.14848328,-53.29954000
4.19616699,-51.89782000
4.24385071,-57.36421000
4.29153442,-56.27346000
4.33921814,-55.81815000
4.38690186,-74.51262000
4.43458557,-54.58181000
4.48226929,-51.45907000
4.52995300,-52.67547000
4.57763672,-58.44120000
4.62532043,-55.80566000
4.67300415,-54.99393000
4.72068787,-60.36829000
4.76837158,-67.58134000
4.81605530,-60.24231000
4.86373901,-52.45616000
4.91142273,-50.64125000
4.95910645,-52.87407000
5.00679016,-55.23626000
5.05447388,-53.44990000
5.10215759,-51.48416000
5.14984131,-50.78234000
5.19752502,-53.15700000
5.24520874,-49.99313000
5.29289246,-44.77247000
5.34057617,-44.44990000
5.38825989,-45.43858000
5.43594360,-45.74476000
5.48362732,-44.58330000
5.53131104,-43.86933000
5.57899475,-46.19338000
5.62667847,-53.25415000
5.67436218,-61.04928000
5.72204590,-55.82226000
5.76972961,-49.67820000
5.81741333,-47.98912000
5.86509705,-52.50619000
5.91278076,-62.63413000
5.96046448,-57.14314000
6.00814819,-53.59814000
6.05583191,-52.80274000
6.10351563,-55.06611000
6.15119934,-56.66019000
6.19888306,-57.70035000
6.24656677,-63.00061000
6.29425049,-59.32212000
6.34193420,-62.30786000
6.38961792,-59.57240000
6.43730164,-63.70976000
6.48498535,-52.54467000
6.53266907,-48.60349000
6.58035278,-48.91380000
6.62803650,-53.49223000
6.67572021,-76.16452000
6.72340393,-56.66066000
6.77108765,-56.28313000
6.81877136,-52.96695000
6.86645508,-48.96618000
6.91413879,-48.79570000
6.96182251,-48.31144000
7.00950623,-46.14572000
7.05718994,-45.55579000
7.10487366,-47.03141000
7.15255737,-49.27567000
7.20024109,-49.66690000
7.24792480,-52.18058000
7.29560852,-49.87425000
7.34329224,-48.81927000
7.39097595,-49.90696000
7.43865967,-48.02799000
7.48634338,-45.97751000
7.53402710,-46.95097000
7.58171082,-47.68059000
7.62939453,-46.73508000
7.67707825,-48.16820000
7.72476196,-53.46661000
7.77244568,-64.58203000
7.82012939,-51.12689000
7.86781311,-52.59974000
7.91549683,-55.51609000
7.96318054,-52.14780000
8.01086426,-62.28083000
8.05854797,-60.55890000
8.10623169,-55.83515000
8.15391541,-53.79562000
8.20159912,-56.20094000
8.24928284,-60.43995000
8.29696655,-55.97597000
8.34465027,-54.49117000
8.39233398,-54.93513000
8.44001770,-55.41344000
8.48770142,-59.09205000
8.53538513,-66.00461000
8.58306885,-66.55929000
8.63075256,-58.25504000
8.67843628,-54.09327000
8.72612000,-51.17757000
8.77380371,-48.70136000
8.82148743,-50.82075000
8.86917114,-78.37103000
8.91685486,-53.50137000
8.96453857,-52.56800000
9.01222229,-52.19038000
9.05990601,-52.17314000
9.10758972,-47.54415000
9.15527344,-44.14199000
9.20295715,-45.66266000
9.25064087,-50.45313000
9.29832458,-49.74475000
9.34600830,-48.18192000
9.39369202,-51.85780000
9.44137573,-54.26688000
9.48905945,-66.11118000
9.53674316,-47.32095000
9.58442688,-56.71108000
9.63211060,-44.82634000
9.67979431,-44.45399000
9.72747803,-41.00177000
9.77516174,-42.06260000
9.82284546,-46.35596000
9.87052917,-47.80268000
9.91821289,-50.78765000
9.96589661,-54.92476000
10.01358032,-62.63067000
10.06126404,-55.81844000
10.10894775,-56.97916000
10.15663147,-51.95405000
10.20431519,-57.06127000
10.25199890,-56.73922000
10.29968262,-53.09950000
10.34736633,-60.55045000
10.39505005,-57.18027000
10.44273376,-50.92777000
10.49041748,-48.65703000
10.53810120,-47.11237000
10.58578491,-47.29215000
10.63346863,-48.00391000
10.68115234,-46.10569000
10.72883606,-46.47716000
10.77651978,-51.74911000
10.82420349,-55.89610000
10.87188721,-51.93043000
10.91957092,-53.45642000
10.96725464,-57.74564000
11.01493835,-53.06147000
11.06262207,-49.84223000
11.11030579,-49.30978000
11.15798950,-50.51115000
11.20567322,-53.47619000
11.25335693,-71.02862000
11.30104065,-53.55736000
11.34872437,-51.09879000
11.39640808,-50.47192000
11.44409180,-51.16414000
11.49177551,-50.74100000
11.53945923,-52.17865000
11.58714294,-54.88137000
11.63482666,-65.34300000
11.68251038,-56.59175000
11.73019409,-55.00662000
11.77787781,-59.14264000
11.82556152,-62.77588000
11.87324524,-63.49609000
11.92092896,-61.94844000
11.96861267,-59.86320000
12.01629639,-56.17681000
12.06398010,-59.13306000
12.11166382,-56.10184000
12.15934753,-53.90171000
12.20703125,-51.69872000
12.25471497,-51.28945000
12.30239868,-49.87154000
12.35008240,-49.19944000
12.39776611,-46.00964000
12.44544983,-48.66734000
12.49313354,-55.75036000
12.54081726,-52.38811000
12.58850098,-49.03249000
12.63618469,-52.16193000
12.68386841,-52.74519000
12.73155212,-52.06751000
12.77923584,-61.06100000
12.82691956,-54.43286000
12.87460327,-49.35681000
12.92228699,-50.48101000
12.96997070,-52.41392000
13.01765442,-57.46365000
13.06533813,-57.25127000
13.11302185,-53.58045000
13.16070557,-55.58555000
13.20838928,-53.54976000
13.25607300,-53.27642000
13.30375671,-55.29078000
13.35144043,-57.68134000
13.39912415,-75.09608000
13.44680786,-61.03623000
13.49449158,-63.36509000
13.54217529,-67.48704000
13.58985901,-59.43573000
13.63754272,-54.84900000
13.68522644,-58.90227000
13.73291016,-79.91363000
13.78059387,-61.79531000
13.82827759,-57.79739000
13.87596130,-52.04883000
13.92364502,-48.47622000
13.97132874,-48.68292000
14.01901245,-53.47273000
14.06669617,-54.82689000
14.11437988,-50.46346000
14.16206360,-48.76793000
14.20974731,-47.62386000
14.25743103,-48.12058000
14.30511475,-51.16534000
14.35279846,-51.07925000
14.40048218,-51.19614000
14.44816589,-56.07758000
14.49584961,-76.24221000
14.54353333,-58.29128000
14.59121704,-54.49394000
14.63890076,-52.66216000
14.68658447,-52.41602000
14.73426819,-51.95492000
14.78195190,-52.92875000
14.82963562,-57.34811000
14.87731934,-54.90478000
14.92500305,-52.82831000
14.97268677,-60.14064000
15.02037048,-52.05669000
15.06805420,-49.76810000
15.11573792,-53.01739000
15.16342163,-70.58116000
15.21110535,-71.06718000
15.25878906,-59.42696000
15.30647278,-53.79812000
15.35415649,-55.03703000
15.40184021,-67.08136000
15.44952393,-62.87512000
15.49720764,-64.68707000
15.54489136,-64.16577000
15.59257507,-56.87110000
15.64025879,-58.00274000
15.68794250,-63.06910000
15.73562622,-54.45972000
15.78330994,-49.92309000
15.83099365,-51.40750000
15.87867737,-56.73765000
15.92636108,-57.86065000
15.97404480,-63.69907000
16.02172852,-63.36781000
16.06941223,-55.11560000
16.11709595,-54.11660000
16.16477966,-54.09117000
16.21246338,-54.75617000
16.26014709,-55.57996000
16.30783081,-51.16924000
16.35551453,-51.01822000
16.40319824,-54.53852000
16.45088196,-55.67940000
16.49856567,-57.07090000
16.54624939,-51.60730000
16.59393311,-51.72279000
16.64161682,-67.26352000
16.68930054,-54.91125000
16.73698425,-53.74646000
16.78466797,-56.08321000
16.83235168,-61.92266000
16.88003540,-61.57484000
16.92771912,-56.40054000
16.97540283,-56.90123000
17.02308655,-65.35500000
17.07077026,-58.78170000
17.11845398,-53.37829000
17.16613770,-54.59047000
17.21382141,-52.48917000
17.26150513,-49.66447000
17.30918884,-54.11773000
17.35687256,-66.21794000
17.40455627,-63.69756000
17.45223999,-70.10022000
17.49992371,-57.15554000
17.54760742,-53.99836000
17.59529114,-53.82054000
17.64297485,-57.94565000
17.69065857,-56.42883000
17.73834229,-53.11186000
17.78602600,-50.95167000
17.83370972,-51.31928000
17.88139343,-57.20709000
17.92907715,-55.36873000
17.97676086,-52.82497000
18.02444458,-56.81935000
18.07212830,-59.84502000
18.11981201,-73.21296000
18.16749573,-61.92791000
18.21517944,-64.78236000
18.26286316,-63.19276000
18.31054688,-54.99187000
18.35823059,-52.62446000
18.40591431,-50.86694000
18.45359802,-52.16000000
18.50128174,-59.86748000
18.54896545,-59.17509000
18.59664917,-59.95834000
18.64433289,-65.50436000
18.69201660,-59.97131000
18.73970032,-56.84763000
18.78738403,-65.00777000
18.83506775,-62.58917000
18.88275146,-60.39547000
18.93043518,-52.36598000
18.97811890,-50.96077000
19.02580261,-65.52448000
19.07348633,-53.31034000
19.12117004,-60.22823000
19.16885376,-81.69140000
19.21653748,-69.75191000
19.26422119,-58.34409000
19.31190491,-52.19419000
19.35958862,-51.41997000
19.40727234,-52.03502000
19.45495605,-51.37878000
19.50263977,-53.80176000
19.55032349,-57.06361000
19.59800720,-53.80203000
19.64569092,-55.95850000
19.69337463,-64.87016000
19.74105835,-61.81448000
19.78874207,-65.13957000
19.83642578,-65.89325000
19.88410950,-58.17615000
19.93179321,-58.78882000
19.97947693,-63.58582000
20.02716064,-61.35229000
20.07484436,-56.32988000
20.12252808,-86.10118000
20.17021179,-59.01950000
20.21789551,-57.74548000
20.26557922,-53.62861000
20.31326294,-55.76497000
20.36094666,-60.17529000
20.40863037,-54.92844000
20.45631409,-51.77708000
20.50399780,-52.00652000
20.55168152,-55.43204000
20.59936523,-62.43571000
20.64704895,-69.31649000
20.69473267,-57.61268000
20.74241638,-54.89918000
20.79010010,-60.72030000
20.83778381,-76.13723000
20.88546753,-58.53847000
20.93315125,-59.60816000
20.98083496,-55.93195000
21.02851868,-48.83114000
21.07620239,-48.31154000
21.12388611,-49.26821000
21.17156982,-49.14999000
21.21925354,-49.20760000
21.26693726,-51.93707000
21.31462097,-55.72481000
21.36230469,-74.87022000
21.40998840,-52.64674000
21.45767212,-49.67843000
21.50535583,-51.83402000
21.55303955,-56.52467000
21.60072327,-66.18716000
21.64840698,-54.66378000
21.69609070,-48.70251000
21.74377441,-49.33247000
21.79145813,-52.35889000
21.83914185,-53.92951000
21.88682556,-54.24072000
21.93450928,-53.72641000
21.98219299,-53.99957000
22.02987671,-56.54448000
22.07756042,-59.53765000
22.12524414,-65.34371000
22.17292786,-58.30632000
22.22061157,-63.50575000
22.26829529,-61.10229000
22.31597900,-58.93212000
22.36366272,-65.94854000
22.41134644,-61.12758000
22.45903015,-53.22161000
22.50671387,-52.09671000
22.55439758,-53.23297000
22.60208130,-54.78497000
22.64976501,-79.74007000
22.69744873,-55.02663000
22.74513245,-57.90363000
22.79281616,-57.18121000
22.84049988,-54.80952000
22.88818359,-78.07887000
22.93586731,-57.21688000
22.98355103,-57.04991000
23.03123474,-62.88106000
23.07891846,-69.09165000
23.12660217,-58.35310000
23.17428589,-53.33978000
23.22196960,-53.33720000
23.26965332,-55.29945000
23.31733704,-56.83339000
23.36502075,-56.78230000
23.41270447,-61.16154000
23.46038818,-61.45005000
23.50807190,-53.63437000
23.55575562,-55.46725000
23.60343933,-76.54524000
23.65112305,-64.44938000
23.69880676,-60.89095000
23.74649048,-56.69237000
23.79417419,-56.09123000
23.84185791,-60.62762000
23.88954163,-70.21059000
23.93722534,-65.18637000
23.98490906,-63.15725000
24.03259277,-65.77422000
24.08027649,-77.00473000
24.12796021,-57.98428000
24.17564392,-57.32172000
24.22332764,-55.87370000
24.27101135,-56.99175000
24.31869507,-53.70712000
24.36637878,-55.25275000
24.41406250,-53.00155000
24.46174622,-50.70644000
24.50942993,-52.01877000
24.55711365,-55.59642000
24.60479736,-59.33378000
24.65248108,-56.18884000
24.70016479,-52.92852000
24.74784851,-50.88966000
24.79553223,-53.01278000
24.84321594,-61.36644000
24.89089966,-53.69062000
24.93858337,-54.88284000
24.98626709,-61.91558000
25.03395081,-73.01594000
25.08163452,-62.18341000
25.12931824,-58.06408000
25.17700195,-56.97943000
25.22468567,-61.12950000
25.27236938,-61.95452000
25.32005310,-52.43308000
25.36773682,-49.43045000
25.41542053,-52.44880000
25.46310425,-54.59164000
25.51078796,-56.00277000
25.55847168,-56.14079000
25.60615540,-55.60033000
25.65383911,-59.57029000
25.70152283,-62.85123000
25.74920654,-52.74063000
25.79689026,-51.99478000
25.84457397,-53.47366000
25.89225769,-54.78799000
25.93994141,-58.36040000
25.98762512,-56.15248000
26.03530884,-52.02338000
26.08299255,-55.15675000
26.13067627,-61.25909000
26.17835999,-54.80704000
26.22604370,-54.13774000
26.27372742,-57.09560000
26.32141113,-62.58428000
26.36909485,-59.67223000
26.41677856,-64.75713000
26.46446228,-63.98927000
26.51214600,-75.63304000
26.55982971,-57.79759000
26.60751343,-55.21393000
26.65519714,-62.14291000
26.70288086,-58.23227000
26.75056458,-75.20343000
26.79824829,-56.70157000
26.84593201,-55.63885000
26.89361572,-58.24741000
26.94129944,-55.42867000
26.98898315,-50.62887000
27.03666687,-48.62785000
27.08435059,-49.48956000
27.13203430,-54.14071000
27.17971802,-62.64169000
27.22740173,-58.48583000
27.27508545,-56.77844000
