  550.0000	           -0.013
  551.0000	           -0.009
  552.0000	          -0.0075
  553.0000	          -0.0105
  554.0000	           -0.013
  555.0000	          -0.0035
  556.0000	          -0.0015
  557.0000	           0.0005
  558.0000	           -0.005
  559.0000	          -0.0015
  560.0000	           -0.001
  561.0000	                0
  562.0000	          -0.0055
  563.0000	          -0.0025
  564.0000	          -0.0005
  565.0000	          -0.0025
  566.0000	                0
  567.0000	           -0.001
  568.0000	                0
  569.0000	           -0.001
  570.0000	          -0.0005
  571.0000	          -0.0015
  572.0000	          -0.0005
  573.0000	           0.0005
  574.0000	           -0.005
  575.0000	                0
  576.0000	           -0.006
  577.0000	          -0.0055
  578.0000	           -0.003
  579.0000	           -0.014
  580.0000	          -0.0135
  581.0000	           -0.015
  582.0000	          -0.0185
  583.0000	           -0.015
  584.0000	          -0.0135
  585.0000	          -0.0165
  586.0000	           -0.026
  587.0000	          -0.0235
  588.0000	          -0.0065
  589.0000	          -0.0055
  590.0000	           -0.011
  591.0000	          -0.0105
  592.0000	          -0.0135
  593.0000	          -0.0125
  594.0000	           -0.015
  595.0000	          -0.0115
  596.0000	          -0.0025
  597.0000	           -0.004
  598.0000	          -0.0055
  599.0000	           -0.009
  600.0000	           -0.011
  601.0000	           0.0015
  602.0000	          -0.0035
  603.0000	           -0.008
  604.0000	          -0.0055
  605.0000	           -0.006
  606.0000	          -0.0065
  607.0000	          -0.0075
  608.0000	          -0.0135
  609.0000	          -0.0275
  610.0000	          -0.0775
  611.0000	           -0.128
  612.0000	           -0.085
  613.0000	           -0.039
  614.0000	           -0.029
  615.0000	           -0.026
  616.0000	          -0.0205
  617.0000	          -0.0105
  618.0000	          -0.0115
  619.0000	           -0.016
  620.0000	          -0.0215
  621.0000	          -0.0205
  622.0000	           -0.018
  623.0000	           -0.015
  624.0000	           -0.016
  625.0000	          -0.0135
  626.0000	          -0.0115
  627.0000	          -0.0125
  628.0000	           -0.011
  629.0000	          -0.0065
  630.0000	          -0.0265
  631.0000	          -0.0205
  632.0000	            -0.01
  633.0000	           -0.006
  634.0000	          -0.0025
  635.0000	           -0.004
  636.0000	           -0.001
  637.0000	                0
  638.0000	          -0.0005
  639.0000	                0
  640.0000	                0
  641.0000	          -0.0015
  642.0000	           -0.001
  643.0000	           0.0005
  644.0000	           0.0005
  645.0000	            0.004
  646.0000	          -0.0025
  647.0000	          -0.0015
  648.0000	           -0.003
  649.0000	          -0.0025
  650.0000	                0
  651.0000	                0
  652.0000	           0.0005
  653.0000	            0.003
  654.0000	            0.001
  655.0000	            0.001
  656.0000	                0
  657.0000	            0.003
  658.0000	                0
  659.0000	            0.006
  660.0000	            0.004
  661.0000	           0.0035
  662.0000	                0
  663.0000	            0.003
  664.0000	           0.0055
  665.0000	            0.005
  666.0000	            0.006
  667.0000	           0.0065
  668.0000	           0.0065
  669.0000	            0.009
  670.0000	            0.014
  671.0000	            0.013
  672.0000	           0.0105
  673.0000	            0.009
  674.0000	            0.013
  675.0000	             0.01
  676.0000	            0.016
  677.0000	           0.0165
  678.0000	            0.019
  679.0000	           0.0235
  680.0000	           0.0235
  681.0000	           0.0255
  682.0000	            0.031
  683.0000	            0.031
  684.0000	           0.0335
  685.0000	            0.038
  686.0000	            0.038
  687.0000	            0.045
  688.0000	           0.0425
  689.0000	            0.055
  690.0000	            0.058
  691.0000	            0.061
  692.0000	            0.065
  693.0000	           0.0725
  694.0000	           0.0705
  695.0000	           0.0805
  696.0000	            0.086
  697.0000	           0.0905
  698.0000	           0.1025
  699.0000	           0.1085
  700.0000	           0.1125
  701.0000	           0.1175
  702.0000	           0.1215
  703.0000	           0.1415
  704.0000	            0.145
  705.0000	             0.15
  706.0000	           0.1355
  707.0000	            0.136
  708.0000	           0.1155
  709.0000	           0.0855
  710.0000	           0.0705
  711.0000	            0.056
  712.0000	             0.04
  713.0000	            0.028
  714.0000	            0.025
  715.0000	            0.023
  716.0000	            0.016
  717.0000	            0.013
  718.0000	            0.009
  719.0000	           0.0105
  720.0000	            0.005
  721.0000	           0.0025
  722.0000	           0.0035
  723.0000	            0.004
  724.0000	                0
  725.0000	                0
  726.0000	            0.003
  727.0000	           0.0025
  728.0000	           0.0005
  729.0000	           0.0025
  730.0000	                0
  731.0000	           -0.001
  732.0000	          -0.0005
  733.0000	           0.0025
  734.0000	           0.0005
  735.0000	                0
  736.0000	           0.0015
  737.0000	                0
  738.0000	                0
  739.0000	                0
  740.0000	            0.001
  741.0000	            0.001
  742.0000	                0
  743.0000	          -0.0035
  744.0000	           0.0025
  745.0000	            0.001
  746.0000	                0
  747.0000	                0
  748.0000	                0
  749.0000	            0.001
  750.0000	            0.001
