"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.702350670E-1,-1.572976820E-2,-6.612611562E-2,4.596757516E-2
1.723458480E-1,-1.695149764E-2,-6.612611562E-2,4.718930274E-2
1.744566300E-1,-1.328630932E-2,-6.734783947E-2,4.963276163E-2
1.765674110E-1,-1.328630932E-2,-6.612611562E-2,5.085449293E-2
1.786781920E-1,-1.084284950E-2,-6.612611562E-2,5.451968312E-2
1.807889730E-1,-1.206457894E-2,-6.612611562E-2,5.574141070E-2
1.828997550E-1,-1.206457894E-2,-6.123919412E-2,5.574141070E-2
1.850105360E-1,-8.399390616E-3,-6.001746282E-2,5.940660089E-2
1.871213170E-1,-9.621120058E-3,-5.879573524E-2,6.062832847E-2
1.892320980E-1,-7.177661173E-3,-5.146535859E-2,6.307178736E-2
1.913428800E-1,-7.177661173E-3,-4.902189970E-2,6.429351866E-2
1.934536610E-1,-9.621120058E-3,-4.413498193E-2,6.795870513E-2
1.955644420E-1,-9.621120058E-3,-3.924806044E-2,6.795870513E-2
1.976752230E-1,-9.621120058E-3,-3.558287397E-2,7.040216774E-2
1.997860050E-1,-9.621120058E-3,-3.069595434E-2,7.162389904E-2
2.018967860E-1,-1.328630932E-2,-2.580903657E-2,7.284562290E-2
2.040075670E-1,-1.450803876E-2,-2.092211880E-2,7.528908551E-2
2.061182960E-1,-1.572976820E-2,-1.970038936E-2,7.651081681E-2
2.082290780E-1,-1.328630932E-2,-1.481347065E-2,8.017600328E-2
2.103398590E-1,-1.450803876E-2,-1.603520103E-2,8.139773458E-2
2.124506400E-1,-1.572976820E-2,-1.237001177E-2,8.384118974E-2
2.145614210E-1,-1.450803876E-2,-9.926552884E-3,8.750637621E-2
2.166722030E-1,-1.450803876E-2,-8.704823442E-3,8.994983882E-2
2.187829840E-1,-1.206457894E-2,-7.483093534E-3,8.994983882E-2
2.208937650E-1,-1.206457894E-2,-7.483093534E-3,9.605848789E-2
2.230045460E-1,-1.084284950E-2,-7.483093534E-3,9.728021920E-2
