V[ml],p [10^5 Pa]
4,8.25
3.8,8.75
3.6,9.25
3.4,9.75
3.2,10.25
3,11
2.8,12
2.6,12.75
2.5,13.25
2.4,13.75
2.3,14.25
2.2,15
2.1,15.75
2,16.25
1.9,17.25
1.8,18
1.7,19
1.6,20
1.5,21
1.4,22.25
1.3,23.75
1.2,25.5
1.1,26.75
1,29
0.9,31
0.8,33.5
0.7,35.75
0.6,38
0.5,39.75
0.45,40.5
0.4,41.25
0.35,42.5
0.3,48
