V[ml],p [10^5 Pa]
4,7.5
3.9,7.75
3.8,8
3.6,8.5
3.4,9
3.2,9.5
3,10
2.8,11
2.6,11.5
2.5,12
2.4,12.5
2.3,13
2.2,13.75
2.1,14.5
2,15
1.9,15.75
1.8,16.5
1.7,17.25
1.6,18
1.5,19
1.4,20.25
1.3,21.5
1.2,22.5
1.1,24
1,25.5
0.9,27
0.85,27
0.8,27.25
0.75,27.25
0.7,27.5
0.6,27.75
0.5,28
0.45,28
0.4,28.5
0.35,29
0.3,31.5
