V[ml],p [10^5 Pa]
4,8
3.8,8.5
3.6,9
3.4,9.5
3.2,10
3,10.75
2.8,11.5
2.6,12.5
2.5,12.75
2.4,13.5
2.3,14
2.2,14.5
2.1,15.25
2,16
1.9,16.75
1.8,17.75
1.7,18.5
1.6,19.25
1.5,20.5
1.4,21.75
1.3,23
1.2,24.5
1.1,26
1,27.5
0.9,29.5
0.8,31.5
0.7,33.75
0.6,35.5
0.5,36.25
0.45,36.25
0.4,36.5
0.35,37
0.3,43
