V[ml],p [10^5 Pa]
4,7.5
3.8,8
3.6,8.5
3.4,9
3.2,9.75
3,10.25
2.8,11
2.6,12
2.5,12.25
2.4,13
2.3,13.5
2.2,14
2.1,14.5
2,15.25
1.9,16
1.8,16.75
1.7,17.5
1.6,18.5
1.5,19.5
1.4,20.5
1.3,21.75
1.2,23
1.1,24.5
1,26
0.9,27.5
0.8,29
0.7,29
0.6,29.25
0.5,29.5
0.45,29.5
0.4,30
0.35,30.25
0.3,34
