V[ml],p [10^5 Pa]
4,8.5
3.8,8.75
3.6,9.25
3.4,10
3.2,10.5
3,11.25
2.8,12
2.6,13
2.5,13.5
2.4,14
2.3,14.5
2.2,15.25
2.1,16
2,16.75
1.9,17.5
1.8,18.25
1.7,19.25
1.6,20.25
1.5,21.5
1.4,23
1.3,24.25
1.2,26
1.1,27.5
1,29.5
0.9,31.75
0.8,34
0.7,36.5
0.6,39.25
0.5,41.5
0.45,42.5
0.4,44
0.35,45.5
