"Winkel[alpha]","Intensität[V]"
-90,1.4848
-80,1.4521
-70,1.3994
-60,1.3252
-50,1.2568
-40,1.1855
-30,1.1231
-20,1.0859
-10,1.0702
0,1.0706
10,1.1007
20,1.1536
30,1.2229
40,1.2926
50,1.3657
60,1.4307
70,1.4774
80,1.4959
90,1.4833
