"Winkel[alpha]","Intensität[V]"
-90,1.6566
-80,1.6566
-70,1.6562
-60,1.6007
-50,1.5224
-40,1.4244
-30,1.3479
-20,1.2685
-10,1.2071
0,1.1803
10,1.1791
20,1.2127
30,1.2711
40,1.3534
50,1.4425
60,1.5356
70,1.6109
80,1.6533
90,1.655
