"Winkel[alpha]","Intensität[V]"
-90,0.5028
-80,0.6141
-70,0.7331
-60,0.8367
-50,0.9229
-40,0.9763
-30,0.9922
-20,0.963
-10,0.8997
0,0.7972
10,0.6997
20,0.5629
30,0.4605
40,0.3745
50,0.3244
60,0.3124
70,0.343
80,0.4085
90,0.5048
