"Winkel[alpha]","Intensität[V]"
-90,0.6543
-80,0.6682
-70,0.6806
-60,0.6864
-50,0.6906
-40,0.6911
-30,0.6883
-20,0.6721
-10,0.66
0,0.6465
10,0.6327
20,0.6268
30,0.6193
40,0.6145
50,0.6137
60,0.6172
70,0.6226
80,0.6417
90,0.6536
