"Winkel[alpha]","Intensität[V]"
-90,0.7509
-80,0.7895
-70,0.8108
-60,0.8172
-50,0.8136
-40,0.7857
-30,0.7475
-20,0.7008
-10,0.6505
0,0.6044
10,0.5651
20,0.5405
30,0.5341
40,0.5394
50,0.5682
60,0.6047
70,0.6525
80,0.7035
90,0.7491
