"Winkel[alpha]","Intensität[V]"
-90,0.0016
-80,0.0561
-70,0.1848
-60,0.3705
-50,0.5865
-40,0.8029
-30,1.0125
-20,1.1646
-10,1.2592
0,1.2811
10,1.2233
20,1.0856
30,0.9042
40,0.6855
50,0.4557
60,0.255
70,0.1037
80,0.0122
90,0.0016
