"Winkel[alpha]","Intensität[V]"
-90,0.0016
-80,0.0016
-70,0.0451
-60,0.1355
-50,0.2633
-40,0.4152
-30,0.563
-20,0.6925
-10,0.7857
0,0.8427
10,0.8473
20,0.7991
30,0.7094
40,0.5755
50,0.438
60,0.2864
70,0.1511
80,0.0566
90,0.0016
