"x","y"
1.00000000,0.00169543
2.00000000,0.00167971
3.00000000,0.00170809
4.00000000,0.00164920
5.00000000,0.00169192
6.00000000,0.00176318
7.00000000,0.00174136
8.00000000,0.00171740
9.00000000,0.00178668
10.00000000,0.00180972
11.00000000,0.00172015
12.00000000,0.00174517
13.00000000,0.00183658
14.00000000,0.00180423
15.00000000,0.00177584
16.00000000,0.00177569
17.00000000,0.00175250
18.00000000,0.00178531
19.00000000,0.00184619
20.00000000,0.00178515
21.00000000,0.00181338
22.00000000,0.00177813
23.00000000,0.00178241
24.00000000,0.00179980
25.00000000,0.00186801
26.00000000,0.00183017
27.00000000,0.00180484
28.00000000,0.00185031
29.00000000,0.00185885
30.00000000,0.00173465
31.00000000,0.00183795
32.00000000,0.00181552
33.00000000,0.00175494
34.00000000,0.00176501
35.00000000,0.00179797
36.00000000,0.00179919
37.00000000,0.00165057
38.00000000,0.00182574
39.00000000,0.00176318
40.00000000,0.00172305
41.00000000,0.00179690
42.00000000,0.00173236
43.00000000,0.00167590
44.00000000,0.00170962
45.00000000,0.00182437
46.00000000,0.00174899
47.00000000,0.00160037
48.00000000,0.00169177
49.00000000,0.00169131
50.00000000,0.00164675
51.00000000,0.00165301
52.00000000,0.00163806
53.00000000,0.00166430
54.00000000,0.00169284
55.00000000,0.00160647
56.00000000,0.00168750
57.00000000,0.00161334
58.00000000,0.00156085
59.00000000,0.00167056
60.00000000,0.00162081
61.00000000,0.00169726
62.00000000,0.00156405
63.00000000,0.00164462
64.00000000,0.00161913
65.00000000,0.00172686
66.00000000,0.00157946
67.00000000,0.00164858
68.00000000,0.00167437
69.00000000,0.00156939
70.00000000,0.00164065
71.00000000,0.00161685
72.00000000,0.00167391
73.00000000,0.00161990
74.00000000,0.00164355
75.00000000,0.00167422
76.00000000,0.00165332
77.00000000,0.00159030
78.00000000,0.00163058
79.00000000,0.00160891
80.00000000,0.00165621
81.00000000,0.00160891
82.00000000,0.00163882
83.00000000,0.00168627
84.00000000,0.00170520
85.00000000,0.00170199
86.00000000,0.00173632
87.00000000,0.00166949
88.00000000,0.00175814
89.00000000,0.00172396
90.00000000,0.00174014
91.00000000,0.00172961
92.00000000,0.00175051
93.00000000,0.00177905
94.00000000,0.00169360
95.00000000,0.00163622
96.00000000,0.00170016
97.00000000,0.00176150
98.00000000,0.00179431
99.00000000,0.00170428
100.00000000,0.00174304
101.00000000,0.00172015
102.00000000,0.00171618
103.00000000,0.00170214
104.00000000,0.00161898
105.00000000,0.00163104
106.00000000,0.00171984
107.00000000,0.00169100
108.00000000,0.00173541
109.00000000,0.00168841
110.00000000,0.00159030
111.00000000,0.00173846
112.00000000,0.00168780
113.00000000,0.00163165
114.00000000,0.00169024
115.00000000,0.00163149
116.00000000,0.00158694
117.00000000,0.00168322
118.00000000,0.00171405
119.00000000,0.00166232
120.00000000,0.00165774
121.00000000,0.00158038
122.00000000,0.00157305
123.00000000,0.00163073
124.00000000,0.00157870
125.00000000,0.00160235
126.00000000,0.00155016
127.00000000,0.00160021
128.00000000,0.00155108
129.00000000,0.00160327
130.00000000,0.00159823
131.00000000,0.00164065
132.00000000,0.00155520
133.00000000,0.00162936
134.00000000,0.00171283
135.00000000,0.00163287
136.00000000,0.00159030
137.00000000,0.00164355
138.00000000,0.00163256
139.00000000,0.00146151
140.00000000,0.00160525
141.00000000,0.00153109
142.00000000,0.00161456
143.00000000,0.00155474
144.00000000,0.00160479
145.00000000,0.00156725
146.00000000,0.00156710
147.00000000,0.00163302
