"Freq [Hz]","U_0 [V]","U_R [V]","theta [°]"
10,1.219,1.229,359.8
20,1.237,1.238,0
30,1.246,1.238,0
40,1.237,1.238,359.8
50,1.237,1.238,0.184
60,1.237,1.238,0
70,1.237,1.238,0.344
80,1.237,1.238,0
90,1.246,1.238,0.829
100,1.237,1.238,0
200,1.237,1.238,0.368
300,1.237,1.238,0
400,1.246,1.238,0.246
500,1.237,1.238,0.346
600,1.237,1.238,0.11
700,1.237,1.238,0.538
800,1.237,1.238,0.492
900,1.237,1.238,0.415
1000,1.237,1.238,0.23
2000,1.237,1.238,0.768
3000,1.237,1.238,1.382
4000,1.237,1.229,1.843
5000,1.237,1.238,2.016
6000,1.237,1.238,3.18
7000,1.246,1.229,4.034
8000,1.246,1.22,6.451
9000,1.254,1.211,9.204
10000,1.307,1.158,15.26
20000,1.237,1.229,356.4
30000,1.228,1.229,357.9
40000,1.228,1.22,358.5
50000,1.219,1.22,358.6
60000,1.21,1.22,359.1
70000,1.202,1.211,359.2
80000,1.193,1.184,359.7
90000,1.175,1.184,359.4
100000,1.149,1.158,358.9
