"Freq [Hz]","U_0 [V]","U_R [V]","theta [°]"
10,1.97,0.0359,87.42
20,1.987,0.06507,273.7
30,1.987,0.0938,276.5
40,1.987,0.1219,275.4
50,1.987,0.1506,275.2
60,1.97,0.1757,278.1
70,1.97,0.2032,278.9
80,1.97,0.2317,280
90,1.97,0.2566,280.4
100,1.97,0.2833,280.9
200,1.877,0.5166,289
300,1.781,0.6903,295.5
400,1.693,0.8194,301
500,1.614,0.9174,306.9
600,1.561,0.9885,311.9
700,1.509,1.051,315.9
800,1.465,1.069,319.2
900,1.439,1.104,322.9
1000,1.412,1.122,325.1
2000,1.298,1.211,340.6
3000,1.272,1.229,347.1
4000,1.254,1.229,350.9
5000,1.254,1.247,353.1
6000,1.254,1.238,354.7
7000,1.254,1.247,356.8
8000,1.246,1.238,357.2
9000,1.246,1.247,357.9
10000,1.246,1.247,358.7
20000,1.246,1.238,5.568
30000,1.246,1.238,9.332
40000,1.263,1.22,12.87
50000,1.263,1.22,16.38
60000,1.272,1.193,18.49
70000,1.281,1.176,24.32
80000,1.281,1.167,26.3
90000,1.281,1.122,29.64
100000,1.289,1.095,32.06
