"Freq [Hz]","U_0 [V]","U_R [V]","theta [°]"
10,1.97,0.0359,275.57
20,1.987,0.06462,274.77
30,1.987,0.0929,276.5
40,1.987,0.121,275.3
50,1.987,0.1479,276.5
60,1.987,0.1757,276.3
70,1.97,0.2032,278.8
80,1.97,0.2281,278.8
90,1.97,0.2548,280.4
100,1.97,0.2816,281.1
200,1.877,0.5077,288.5
300,1.781,0.6858,294.7
400,1.693,0.8149,300.8
500,1.623,0.9085,305.9
600,1.561,0.9796,311.7
700,1.5,1.024,315.3
800,1.465,1.069,318.8
900,1.43,1.095,322
1000,1.412,1.122,324.6
2000,1.289,1.211,339.3
3000,1.272,1.229,346
4000,1.254,1.229,348.9
5000,1.246,1.229,351.8
6000,1.246,1.229,352.8
7000,1.246,1.229,353.4
8000,1.246,1.229,354.3
9000,1.237,1.238,354.6
10000,1.237,1.229,355
20000,1.237,1.238,357.7
50000,1.228,1.22,359.1
100000,1.158,1.158,360
