"Frequency[kHz]","Channel[dBu]"
0.00000000,-22.46456000
0.04768372,-29.53474000
0.09536743,-47.64713000
0.14305115,-49.89068000
0.19073486,-49.97088000
0.23841858,-45.09781000
0.28610229,-50.32707000
0.33378601,-56.16045000
0.38146973,-52.38226000
0.42915344,-49.45227000
0.47683716,-48.84382000
0.52452087,-49.55989000
0.57220459,-57.18357000
0.61988831,-56.80143000
0.66757202,-52.99969000
0.71525574,-52.75053000
0.76293945,-50.56881000
0.81062317,-56.62511000
0.85830688,-70.30880000
0.90599060,-59.87345000
0.95367432,-68.14407000
1.00135803,-53.91698000
1.04904175,-59.89845000
1.09672546,-50.59261000
1.14440918,-57.38017000
1.19209290,-54.23284000
1.23977661,-37.33807000
1.28746033,-26.73777000
1.33514404,-12.49074000
1.38282776,-6.57743500
1.43051147,-8.24521300
1.47819519,-17.88061000
1.52587891,-31.70021000
1.57356262,-44.58137000
1.62124634,-51.78324000
1.66893005,-44.73061000
1.71661377,-36.70920000
1.76429749,-29.26010000
1.81198120,-25.77023000
1.85966492,-29.68936000
1.90734863,-41.08337000
1.95503235,-54.93450000
2.00271606,-57.65511000
2.05039978,-48.52343000
2.09808350,-48.01477000
2.14576721,-57.89487000
2.19345093,-60.18988000
2.24113464,-56.52810000
2.28881836,-56.64133000
2.33650208,-52.53342000
2.38418579,-49.33106000
2.43186951,-48.43420000
2.47955322,-48.56583000
2.52723694,-45.48900000
2.57492065,-44.98876000
2.62260437,-51.13977000
2.67028809,-52.42265000
2.71797180,-51.14014000
2.76565552,-47.00444000
2.81333923,-48.41048000
2.86102295,-60.78634000
2.90870667,-56.81826000
2.95639038,-62.59385000
3.00407410,-49.62852000
3.05175781,-49.55338000
3.09944153,-47.67103000
3.14712524,-47.31292000
3.19480896,-50.49199000
3.24249268,-56.88316000
3.29017639,-60.09860000
3.33786011,-53.55629000
3.38554382,-52.16021000
3.43322754,-54.61870000
3.48091125,-55.07795000
3.52859497,-59.07701000
3.57627869,-59.07486000
3.62396240,-64.12198000
3.67164612,-55.05565000
3.71932983,-52.63797000
3.76701355,-51.91113000
3.81469727,-52.63060000
3.86238098,-54.78802000
3.91006470,-57.31353000
3.95774841,-58.40052000
