"Frequency[kHz]","Channel[dBu]"
0.00000000,-21.80158000
0.04768372,-28.69572000
0.09536743,-42.91206000
0.14305115,-48.01838000
0.19073486,-58.68606000
0.23841858,-59.25366000
0.28610229,-51.11454000
0.33378601,-48.24017000
0.38146973,-56.95618000
0.42915344,-52.26836000
0.47683716,-48.34880000
0.52452087,-38.19964000
0.57220459,-23.19901000
0.61988831,-15.83080000
0.66757202,-16.18701000
0.71525574,-24.68300000
0.76293945,-54.41038000
0.81062317,-45.94505000
0.85830688,-69.48100000
0.90599060,-60.78190000
0.95367432,-50.48077000
1.00135803,-45.79008000
1.04904175,-46.24975000
1.09672546,-55.35221000
1.14440918,-53.79765000
1.19209290,-48.88395000
1.23977661,-47.90890000
1.28746033,-43.72649000
1.33514404,-41.04386000
1.38282776,-43.57128000
1.43051147,-45.46136000
1.47819519,-46.59292000
1.52587891,-49.50935000
1.57356262,-53.70475000
1.62124634,-49.65832000
1.66893005,-45.68602000
1.71661377,-39.60151000
1.76429749,-26.89528000
1.81198120,-24.03747000
1.85966492,-27.85538000
1.90734863,-38.79005000
1.95503235,-47.53679000
2.00271606,-46.59840000
2.05039978,-49.16211000
2.09808350,-48.55507000
2.14576721,-45.99878000
2.19345093,-46.60332000
2.24113464,-46.37613000
2.28881836,-45.43403000
2.33650208,-47.17547000
2.38418579,-46.83597000
2.43186951,-45.21987000
2.47955322,-46.16827000
2.52723694,-48.40970000
2.57492065,-50.93561000
2.62260437,-57.18227000
2.67028809,-55.78492000
2.71797180,-50.78888000
2.76565552,-51.30236000
2.81333923,-55.37133000
2.86102295,-53.37778000
2.90870667,-47.38273000
2.95639038,-45.64752000
3.00407410,-46.38322000
3.05175781,-48.59045000
3.09944153,-49.86470000
3.14712524,-54.74140000
3.19480896,-51.23460000
3.24249268,-48.05754000
3.29017639,-49.82094000
3.33786011,-51.17498000
3.38554382,-56.90611000
3.43322754,-59.06323000
3.48091125,-59.39336000
3.52859497,-55.06576000
3.57627869,-53.40527000
3.62396240,-53.32976000
3.67164612,-57.25229000
3.71932983,-50.35715000
3.76701355,-46.17506000
3.81469727,-47.66010000
3.86238098,-51.61523000
3.91006470,-53.95049000
3.95774841,-54.23779000
4.00543213,-52.21881000
4.05311584,-49.36113000
4.10079956,-51.51501000
4.14848328,-55.33525000
4.19616699,-59.08466000
4.24385071,-53.54330000
4.29153442,-64.98443000
4.33921814,-60.16085000
4.38690186,-55.66061000
4.43458557,-59.90615000
4.48226929,-52.95618000
4.52995300,-52.93651000
4.57763672,-51.46028000
4.62532043,-50.26665000
4.67300415,-52.14908000
4.72068787,-51.32253000
4.76837158,-52.05999000
4.81605530,-54.32085000
4.86373901,-52.28305000
4.91142273,-48.93198000
4.95910645,-47.57552000
5.00679016,-49.65808000
5.05447388,-62.56831000
5.10215759,-55.64408000
5.14984131,-53.88486000
5.19752502,-59.09778000
5.24520874,-63.10546000
5.29289246,-60.65805000
5.34057617,-57.63314000
5.38825989,-57.32334000
5.43594360,-57.78982000
5.48362732,-56.91980000
5.53131104,-57.42199000
5.57899475,-53.67985000
5.62667847,-50.94199000
5.67436218,-55.86987000
5.72204590,-61.03360000
5.76972961,-55.54211000
5.81741333,-55.00137000
5.86509705,-58.67413000
5.91278076,-53.88304000
5.96046448,-53.91438000
6.00814819,-56.38333000
6.05583191,-51.46069000
6.10351563,-50.42080000
6.15119934,-48.87772000
6.19888306,-48.17786000
6.24656677,-50.43392000
6.29425049,-54.39046000
6.34193420,-55.25553000
6.38961792,-52.93293000
6.43730164,-55.50387000
6.48498535,-72.40455000
6.53266907,-60.21631000
6.58035278,-51.13412000
6.62803650,-50.25967000
6.67572021,-58.35834000
6.72340393,-64.13960000
6.77108765,-59.57199000
6.81877136,-55.13414000
6.86645508,-57.93587000
6.91413879,-66.65679000
6.96182251,-57.69972000
7.00950623,-63.55448000
7.05718994,-53.33553000
7.10487366,-54.44016000
7.15255737,-63.47530000
7.20024109,-57.73046000
7.24792480,-60.14851000
7.29560852,-57.43985000
7.34329224,-55.86064000
7.39097595,-58.89090000
7.43865967,-53.86982000
7.48634338,-50.22080000
7.53402710,-52.50201000
7.58171082,-63.38487000
7.62939453,-56.77082000
7.67707825,-61.04055000
7.72476196,-61.72675000
7.77244568,-57.19746000
7.82012939,-62.65064000
7.86781311,-60.53147000
7.91549683,-60.64278000
7.96318054,-60.33167000
8.01086426,-61.83657000
8.05854797,-62.27261000
8.10623169,-54.72470000
8.15391541,-52.72972000
8.20159912,-52.53067000
8.24928284,-57.27159000
8.29696655,-56.65049000
8.34465027,-53.55759000
8.39233398,-57.31289000
8.44001770,-55.89151000
8.48770142,-56.04782000
8.53538513,-62.70207000
8.58306885,-52.42720000
8.63075256,-51.54478000
8.67843628,-54.61420000
8.72612000,-59.54615000
8.77380371,-64.93999000
8.82148743,-56.92746000
8.86917114,-53.41251000
8.91685486,-53.21750000
8.96453857,-50.67853000
9.01222229,-58.81843000
9.05990601,-58.41453000
9.10758972,-70.22176000
9.15527344,-58.34179000
9.20295715,-58.97398000
9.25064087,-55.34579000
9.29832458,-57.83271000
9.34600830,-74.98122000
9.39369202,-59.28484000
9.44137573,-58.91293000
9.48905945,-71.79511000
9.53674316,-68.04816000
9.58442688,-56.49829000
9.63211060,-50.76443000
9.67979431,-52.10562000
9.72747803,-60.96115000
9.77516174,-54.52626000
9.82284546,-53.49053000
9.87052917,-60.75053000
9.91821289,-61.39576000
9.96589661,-55.18425000
10.01358032,-59.16142000
10.06126404,-60.66763000
10.10894775,-55.06963000
10.15663147,-54.25956000
10.20431519,-61.26200000
10.25199890,-67.87834000
10.29968262,-72.36655000
10.34736633,-60.37733000
10.39505005,-65.84598000
10.44273376,-65.76443000
10.49041748,-58.00116000
10.53810120,-60.17058000
10.58578491,-59.26977000
10.63346863,-54.79540000
10.68115234,-62.83379000
10.72883606,-54.88094000
10.77651978,-55.38272000
10.82420349,-61.09529000
10.87188721,-68.81879000
10.91957092,-63.53210000
10.96725464,-56.28152000
11.01493835,-59.09757000
11.06262207,-60.70930000
11.11030579,-59.50613000
11.15798950,-60.15707000
11.20567322,-66.20500000
11.25335693,-69.38789000
11.30104065,-54.49286000
11.34872437,-52.03743000
11.39640808,-59.84400000
11.44409180,-49.33420000
11.49177551,-48.68859000
11.53945923,-60.38007000
11.58714294,-54.89074000
11.63482666,-54.89367000
11.68251038,-61.13863000
11.73019409,-61.20538000
11.77787781,-65.70536000
11.82556152,-61.35374000
11.87324524,-55.14129000
11.92092896,-54.90529000
11.96861267,-55.84713000
12.01629639,-55.34729000
12.06398010,-59.99681000
12.11166382,-69.46722000
12.15934753,-65.43691000
12.20703125,-53.52570000
12.25471497,-50.68062000
12.30239868,-54.73621000
12.35008240,-53.71020000
12.39776611,-51.72269000
12.44544983,-50.34649000
12.49313354,-53.52964000
12.54081726,-65.52240000
12.58850098,-66.39153000
12.63618469,-55.57468000
12.68386841,-57.45707000
12.73155212,-59.67310000
12.77923584,-53.38044000
12.82691956,-51.72030000
12.87460327,-51.13873000
12.92228699,-51.42787000
12.96997070,-52.20287000
13.01765442,-55.91112000
13.06533813,-60.59763000
13.11302185,-61.68447000
13.16070557,-59.05841000
13.20838928,-58.36250000
13.25607300,-63.04028000
13.30375671,-65.61021000
13.35144043,-71.80482000
13.39912415,-61.23981000
13.44680786,-61.13419000
13.49449158,-60.90624000
13.54217529,-55.46307000
13.58985901,-53.51564000
13.63754272,-55.97137000
13.68522644,-58.63915000
13.73291016,-54.65437000
13.78059387,-52.80521000
13.82827759,-59.35886000
13.87596130,-59.25154000
13.92364502,-58.35175000
13.97132874,-56.47894000
14.01901245,-55.35509000
14.06669617,-54.38461000
14.11437988,-52.71505000
14.16206360,-54.66633000
14.20974731,-62.89059000
14.25743103,-63.75597000
14.30511475,-64.09542000
14.35279846,-59.21995000
14.40048218,-54.44641000
14.44816589,-50.18140000
14.49584961,-47.47246000
14.54353333,-49.30015000
14.59121704,-51.67829000
14.63890076,-54.08669000
14.68658447,-58.10081000
14.73426819,-58.82050000
14.78195190,-51.18822000
14.82963562,-51.37930000
14.87731934,-57.88953000
14.92500305,-58.18340000
14.97268677,-57.16116000
15.02037048,-53.54943000
15.06805420,-56.83140000
15.11573792,-58.78918000
15.16342163,-52.41974000
15.21110535,-51.89365000
15.25878906,-54.10952000
15.30647278,-57.37052000
15.35415649,-57.67516000
15.40184021,-57.28444000
15.44952393,-52.81524000
15.49720764,-52.39195000
15.54489136,-61.84399000
15.59257507,-62.04946000
15.64025879,-65.66407000
15.68794250,-53.98217000
15.73562622,-51.71499000
15.78330994,-53.43052000
15.83099365,-64.08504000
15.87867737,-56.37607000
15.92636108,-54.51494000
15.97404480,-56.33656000
16.02172852,-55.38298000
16.06941223,-53.23837000
16.11709595,-53.45652000
16.16477966,-57.09061000
16.21246338,-58.96832000
16.26014709,-56.29721000
16.30783081,-57.28996000
16.35551453,-55.60059000
16.40319824,-54.24249000
16.45088196,-60.61739000
16.49856567,-82.29667000
16.54624939,-57.27584000
16.59393311,-53.44959000
16.64161682,-54.02798000
16.68930054,-56.02746000
16.73698425,-57.10159000
16.78466797,-61.20828000
16.83235168,-67.56529000
16.88003540,-70.24033000
16.92771912,-58.61065000
16.97540283,-55.66085000
17.02308655,-54.47408000
17.07077026,-54.89445000
17.11845398,-56.16852000
