Frequency;Channel A
(kHz);(dBu)

0,00000000;-22,91332000
0,04768372;-30,13459000
0,09536743;-48,72429000
0,14305115;-53,91132000
0,19073486;-64,57172000
0,23841858;-53,48221000
0,28610229;-48,83224000
0,33378601;-47,03868000
0,38146973;-47,98746000
0,42915344;-50,89648000
0,47683716;-50,75191000
0,52452087;-47,40849000
0,57220459;-50,88823000
0,61988831;-55,63797000
0,66757202;-54,47075000
0,71525574;-56,09455000
0,76293945;-69,80882000
0,81062317;-56,12747000
0,85830688;-55,34525000
0,90599060;-56,37573000
0,95367432;-47,75553000
1,00135803;-57,62327000
1,04904175;-36,67128000
1,09672546;-25,08880000
1,14440918;-11,58669000
1,19209290;-7,17164600
1,23977661;-10,50385000
1,28746033;-22,48182000
1,33514404;-35,61177000
1,38282776;-49,04960000
1,43051147;-45,24582000
1,47819519;-57,94025000
1,52587891;-68,00078000
1,57356262;-50,42839000
1,62124634;-54,49587000
1,66893005;-45,60303000
1,71661377;-35,71221000
1,76429749;-27,40639000
1,81198120;-24,18732000
1,85966492;-27,72066000
1,90734863;-37,47711000
1,95503235;-46,74898000
2,00271606;-51,66719000
2,05039978;-51,77674000
2,09808350;-47,98160000
2,14576721;-46,09429000
2,19345093;-44,61700000
2,24113464;-51,21254000
2,28881836;-52,07102000
2,33650208;-60,05236000
2,38418579;-53,69962000
2,43186951;-52,09625000
2,47955322;-49,44131000
2,52723694;-49,48943000
2,57492065;-50,70224000
2,62260437;-50,29688000
2,67028809;-46,08212000
2,71797180;-44,70350000
2,76565552;-46,39168000
2,81333923;-50,00101000
2,86102295;-53,13191000
2,90870667;-52,73281000
2,95639038;-58,16866000
3,00407410;-56,06751000
3,05175781;-53,29919000
3,09944153;-61,58347000
3,14712524;-54,16107000
3,19480896;-47,43540000
3,24249268;-49,44098000
3,29017639;-61,61773000
3,33786011;-54,91254000
3,38554382;-48,29695000
3,43322754;-45,24603000
3,48091125;-44,21984000
3,52859497;-43,33498000
3,57627869;-43,15659000
3,62396240;-43,17883000
3,67164612;-44,08934000
3,71932983;-45,30152000
3,76701355;-45,32849000
3,81469727;-45,59393000
3,86238098;-45,58105000
3,91006470;-46,65431000
3,95774841;-49,51975000
4,00543213;-56,57507000
4,05311584;-52,65931000
4,10079956;-49,46957000
4,14848328;-51,65578000
4,19616699;-53,64732000
4,24385071;-53,22729000
4,29153442;-50,85910000
4,33921814;-48,06238000
4,38690186;-47,36906000
4,43458557;-49,28120000
4,48226929;-48,74126000
4,52995300;-45,53200000
4,57763672;-43,60275000
4,62532043;-45,51395000
4,67300415;-51,06564000
4,72068787;-53,53558000
4,76837158;-53,80017000
4,81605530;-50,53693000
4,86373901;-47,96607000
4,91142273;-49,38560000
4,95910645;-48,79190000
5,00679016;-47,59609000
5,05447388;-45,30636000
5,10215759;-45,70314000
5,14984131;-52,71472000
5,19752502;-63,62095000
5,24520874;-56,41779000
5,29289246;-54,64671000
5,34057617;-57,77037000
5,38825989;-61,84302000
5,43594360;-62,99984000
5,48362732;-61,74931000
5,53131104;-50,62779000
5,57899475;-48,31231000
5,62667847;-52,97975000
5,67436218;-57,29728000
5,72204590;-50,55619000
5,76972961;-47,46778000
5,81741333;-52,28954000
5,86509705;-56,64522000
5,91278076;-49,46389000
5,96046448;-47,88971000
6,00814819;-46,86763000
6,05583191;-51,01197000
6,10351563;-69,20795000
6,15119934;-58,29245000
6,19888306;-51,21167000
6,24656677;-48,84802000
6,29425049;-50,66366000
