"Frequency[kHz]","Channel[dBu]"
11.63482666,-52.23074000
11.68251038,-53.14985000
11.73019409,-68.24179000
11.77787781,-59.63143000
11.82556152,-58.18985000
11.87324524,-53.17874000
11.92092896,-56.46494000
11.96861267,-55.11628000
12.01629639,-55.92055000
12.06398010,-57.83494000
12.11166382,-54.16905000
12.15934753,-56.05331000
12.20703125,-60.58473000
12.25471497,-61.05576000
12.30239868,-54.27873000
12.35008240,-50.77091000
12.39776611,-55.96547000
12.44544983,-70.09933000
12.49313354,-62.47905000
12.54081726,-64.23511000
12.58850098,-56.57895000
12.63618469,-51.74354000
12.68386841,-52.09381000
12.73155212,-60.52100000
12.77923584,-60.91121000
12.82691956,-57.15730000
12.87460327,-58.19901000
12.92228699,-53.63699000
12.96997070,-49.72343000
13.01765442,-48.53793000
13.06533813,-50.07339000
13.11302185,-54.88385000
13.16070557,-54.20514000
13.20838928,-52.75869000
13.25607300,-54.53251000
13.30375671,-62.71635000
13.35144043,-61.46436000
13.39912415,-57.69899000
13.44680786,-59.38053000
13.49449158,-61.57110000
13.54217529,-52.14115000
13.58985901,-51.62260000
13.63754272,-57.97247000
13.68522644,-69.06992000
13.73291016,-63.84213000
13.78059387,-54.79962000
13.82827759,-52.12418000
13.87596130,-56.28278000
13.92364502,-68.30048000
13.97132874,-58.61065000
14.01901245,-56.93669000
14.06669617,-54.43856000
14.11437988,-52.65755000
14.16206360,-55.58158000
14.20974731,-68.76349000
14.25743103,-59.21185000
14.30511475,-54.95094000
14.35279846,-52.48087000
14.40048218,-51.32743000
14.44816589,-56.37492000
14.49584961,-58.29032000
14.54353333,-54.03370000
14.59121704,-54.77063000
14.63890076,-53.06498000
14.68658447,-52.17720000
14.73426819,-55.65372000
14.78195190,-54.93918000
14.82963562,-57.25322000
14.87731934,-61.11490000
14.92500305,-60.36969000
14.97268677,-58.34138000
15.02037048,-56.04954000
15.06805420,-51.69721000
15.11573792,-53.77173000
15.16342163,-59.97654000
15.21110535,-57.80174000
15.25878906,-53.66233000
15.30647278,-53.58936000
15.35415649,-54.92027000
15.40184021,-52.39612000
15.44952393,-51.53949000
15.49720764,-59.14795000
15.54489136,-58.71972000
15.59257507,-53.33649000
15.64025879,-53.67614000
15.68794250,-56.87157000
15.73562622,-57.05961000
15.78330994,-49.69822000
15.83099365,-50.14457000
15.87867737,-64.61773000
15.92636108,-57.74944000
15.97404480,-56.12139000
16.02172852,-58.16797000
16.06941223,-59.91047000
16.11709595,-54.84424000
16.16477966,-57.34375000
16.21246338,-57.86185000
16.26014709,-53.74157000
16.30783081,-58.02704000
16.35551453,-64.19740000
16.40319824,-56.54478000
16.45088196,-67.28211000
16.49856567,-55.36667000
16.54624939,-52.25942000
16.59393311,-53.54658000
16.64161682,-58.47357000
16.68930054,-58.80743000
16.73698425,-62.28695000
16.78466797,-63.48420000
16.83235168,-61.05363000
16.88003540,-61.25464000
16.92771912,-54.48983000
16.97540283,-51.74823000
17.02308655,-53.51851000
17.07077026,-56.41946000
17.11845398,-48.94436000
17.16613770,-52.50918000
17.21382141,-58.29663000
17.26150513,-51.40984000
17.30918884,-53.31768000
17.35687256,-57.39651000
17.40455627,-55.39213000
17.45223999,-59.39560000
17.49992371,-63.81672000
17.54760742,-65.08951000
17.59529114,-55.21713000
17.64297485,-52.87650000
17.69065857,-52.29323000
17.73834229,-53.94305000
17.78602600,-55.21078000
17.83370972,-52.06848000
17.88139343,-54.49328000
17.92907715,-57.06091000
17.97676086,-58.82733000
18.02444458,-57.87694000
18.07212830,-65.61428000
18.11981201,-57.89663000
18.16749573,-60.96502000
18.21517944,-54.54876000
18.26286316,-52.34262000
18.31054688,-54.45713000
18.35823059,-56.05140000
18.40591431,-59.87035000
18.45359802,-69.84924000
18.50128174,-61.06610000
18.54896545,-51.29382000
18.59664917,-48.86184000
18.64433289,-52.08014000
18.69201660,-57.84246000
18.73970032,-57.90768000
18.78738403,-58.29237000
18.83506775,-67.24511000
18.88275146,-61.97214000
18.93043518,-62.50715000
18.97811890,-57.33814000
19.02580261,-68.38597000
19.07348633,-55.04631000
19.12117004,-54.29375000
19.16885376,-54.68857000
19.21653748,-69.46222000
19.26422119,-53.87526000
