Frequency;Channel A
(kHz);(dBu)

11,63482666;-59,27998000
11,68251038;-64,55563000
11,73019409;-55,92228000
11,77787781;-54,45244000
11,82556152;-63,00130000
11,87324524;-61,04071000
11,92092896;-61,32418000
11,96861267;-52,21726000
12,01629639;-52,97512000
12,06398010;-54,67705000
12,11166382;-56,80656000
12,15934753;-73,16087000
12,20703125;-54,16515000
12,25471497;-51,71040000
12,30239868;-53,46451000
12,35008240;-53,64223000
12,39776611;-55,13970000
12,44544983;-59,80939000
12,49313354;-57,87855000
12,54081726;-63,63472000
12,58850098;-60,00509000
12,63618469;-51,92757000
12,68386841;-52,63203000
12,73155212;-60,52955000
12,77923584;-81,16803000
12,82691956;-75,98218000
12,87460327;-56,35844000
12,92228699;-50,76588000
12,96997070;-49,19558000
13,01765442;-51,02132000
13,06533813;-59,22959000
13,11302185;-53,85647000
13,16070557;-53,22693000
13,20838928;-54,75472000
13,25607300;-62,67230000
13,30375671;-70,60838000
13,35144043;-64,56274000
13,39912415;-59,04145000
13,44680786;-55,48172000
13,49449158;-57,40337000
13,54217529;-60,78242000
13,58985901;-61,35807000
13,63754272;-59,99405000
13,68522644;-54,83628000
13,73291016;-52,64103000
13,78059387;-55,52819000
13,82827759;-61,36386000
13,87596130;-58,18705000
13,92364502;-52,59886000
13,97132874;-51,45890000
14,01901245;-50,45740000
14,06669617;-53,50862000
14,11437988;-56,47703000
14,16206360;-57,21455000
14,20974731;-64,37650000
14,25743103;-61,96579000
14,30511475;-60,93380000
14,35279846;-65,17349000
14,40048218;-59,11622000
14,44816589;-56,65966000
14,49584961;-54,65251000
14,54353333;-53,15401000
14,59121704;-53,10234000
14,63890076;-51,05610000
14,68658447;-52,02475000
14,73426819;-56,65586000
14,78195190;-62,69466000
14,82963562;-64,99473000
14,87731934;-62,01031000
14,92500305;-53,13987000
14,97268677;-54,68107000
15,02037048;-68,65145000
15,06805420;-58,35184000
15,11573792;-56,88434000
15,16342163;-67,54613000
15,21110535;-67,19548000
15,25878906;-70,07980000
15,30647278;-62,48370000
15,35415649;-59,07306000
15,40184021;-56,77360000
15,44952393;-66,21181000
15,49720764;-61,82918000
15,54489136;-53,60641000
15,59257507;-53,09234000
15,64025879;-55,86521000
15,68794250;-54,46614000
15,73562622;-54,42912000
15,78330994;-56,44915000
15,83099365;-57,65017000
15,87867737;-63,60159000
15,92636108;-58,87798000
15,97404480;-52,72782000
16,02172852;-52,21663000
16,06941223;-52,05326000
16,11709595;-51,27570000
16,16477966;-52,36121000
16,21246338;-52,59983000
16,26014709;-53,09631000
16,30783081;-58,52340000
16,35551453;-58,65208000
16,40319824;-60,17669000
16,45088196;-57,49180000
16,49856567;-53,91119000
16,54624939;-51,41405000
16,59393311;-51,68314000
16,64161682;-52,64534000
16,68930054;-52,41355000
16,73698425;-52,34601000
16,78466797;-53,86158000
16,83235168;-61,28795000
16,88003540;-61,30938000
16,92771912;-58,59997000
16,97540283;-57,93989000
17,02308655;-52,99639000
17,07077026;-55,58944000
17,11845398;-64,34338000
17,16613770;-67,99043000
17,21382141;-64,02305000
17,26150513;-68,22533000
17,30918884;-72,22652000
17,35687256;-54,93779000
17,40455627;-53,05225000
17,45223999;-58,65250000
17,49992371;-55,42860000
17,54760742;-55,13153000
17,59529114;-58,19070000
17,64297485;-56,32184000
17,69065857;-60,17598000
17,73834229;-58,36855000
17,78602600;-53,04646000
17,83370972;-56,25066000
17,88139343;-56,72738000
17,92907715;-54,08947000
17,97676086;-52,22361000
18,02444458;-52,48534000
18,07212830;-57,77934000
18,11981201;-60,04009000
18,16749573;-57,01906000
18,21517944;-56,37134000
18,26286316;-55,68582000
18,31054688;-52,71219000
18,35823059;-52,42638000
18,40591431;-53,92019000
18,45359802;-54,58933000
18,50128174;-59,37485000
18,54896545;-59,68011000
18,59664917;-56,18015000
18,64433289;-57,67748000
18,69201660;-63,95183000
18,73970032;-63,20509000
18,78738403;-61,07668000
18,83506775;-59,07234000
18,88275146;-52,14730000
18,93043518;-54,24059000
18,97811890;-57,20470000
19,02580261;-55,54898000
19,07348633;-57,41510000
19,12117004;-69,54741000
19,16885376;-66,27234000
19,21653748;-63,77369000
19,26422119;-56,94147000
19,31190491;-55,50906000
19,35958862;-55,71070000
19,40727234;-58,18859000
19,45495605;-58,60805000
19,50263977;-57,47040000
19,55032349;-56,60507000
19,59800720;-64,27872000
19,64569092;-61,01246000
19,69337463;-59,27561000
19,74105835;-60,14725000
19,78874207;-56,14575000
19,83642578;-52,58777000
19,88410950;-49,32876000
19,93179321;-51,28722000
19,97947693;-54,15283000
20,02716064;-51,77425000
20,07484436;-58,56924000
20,12252808;-53,28816000
20,17021179;-50,53890000
20,21789551;-49,38867000
20,26557922;-48,67573000
20,31326294;-51,76741000
20,36094666;-52,46998000
20,40863037;-53,35934000
20,45631409;-54,99229000
20,50399780;-53,62484000
20,55168152;-53,18997000
20,59936523;-52,49859000
20,64704895;-54,29052000
20,69473267;-55,43812000
20,74241638;-59,94379000
20,79010010;-65,92166000
20,83778381;-55,77042000
20,88546753;-59,02225000
20,93315125;-64,22824000
20,98083496;-53,73176000
21,02851868;-53,22182000
21,07620239;-55,46421000
21,12388611;-59,86374000
21,17156982;-61,19236000
21,21925354;-60,58452000
21,26693726;-64,45227000
21,31462097;-63,22170000
21,36230469;-76,89473000
21,40998840;-60,58212000
21,45767212;-55,19785000
21,50535583;-56,81729000
21,55303955;-64,18582000
21,60072327;-53,51049000
21,64840698;-53,28630000
21,69609070;-60,20250000
21,74377441;-69,15048000
21,79145813;-56,25557000
21,83914185;-51,19174000
21,88682556;-47,48237000
21,93450928;-47,61995000
21,98219299;-51,42195000
22,02987671;-66,83408000
22,07756042;-56,36108000
22,12524414;-69,57448000
22,17292786;-52,85593000
22,22061157;-54,33747000
22,26829529;-74,80752000
22,31597900;-54,36707000
22,36366272;-52,84525000
22,41134644;-53,68465000
22,45903015;-51,79504000
22,50671387;-56,27694000
22,55439758;-57,48846000
22,60208130;-57,56045000
22,64976501;-54,48719000
22,69744873;-54,18179000
22,74513245;-55,23519000
22,79281616;-56,81040000
22,84049988;-55,07006000
22,88818359;-66,45919000
22,93586731;-68,14783000
22,98355103;-61,47476000
23,03123474;-55,78163000
23,07891846;-49,93290000
23,12660217;-48,23495000
23,17428589;-49,13333000
23,22196960;-52,19088000
23,26965332;-59,85381000
23,31733704;-69,85281000
23,36502075;-66,38859000
23,41270447;-68,60052000
23,46038818;-64,26602000
23,50807190;-55,53746000
23,55575562;-55,19660000
23,60343933;-53,00129000
23,65112305;-52,92587000
23,69880676;-54,32774000
23,74649048;-54,05497000
23,79417419;-57,03191000
23,84185791;-67,66284000
23,88954163;-54,41161000
23,93722534;-52,27826000
23,98490906;-51,45936000
24,03259277;-57,15796000
24,08027649;-70,15948000
24,12796021;-72,04066000
24,17564392;-60,96178000
24,22332764;-56,79725000
24,27101135;-59,55608000
24,31869507;-60,68171000
24,36637878;-56,99882000
24,41406250;-60,28414000
24,46174622;-57,25053000
24,50942993;-57,72836000
24,55711365;-65,55352000
24,60479736;-60,70390000
24,65248108;-58,22275000
24,70016479;-57,27144000
24,74784851;-62,06438000
24,79553223;-61,43102000
24,84321594;-60,31018000
24,89089966;-55,91483000
24,93858337;-60,98017000
24,98626709;-60,32242000
