"Frequency[kHz]","Channel[dBu]"
0.00000000,-21.59543000
0.04768372,-28.80482000
0.09536743,-46.13963000
0.14305115,-49.56660000
0.19073486,-46.27164000
0.23841858,-46.13686000
0.28610229,-46.54005000
0.33378601,-50.88890000
0.38146973,-57.44629000
0.42915344,-55.24962000
0.47683716,-56.24054000
0.52452087,-48.76557000
0.57220459,-46.98183000
0.61988831,-46.57330000
0.66757202,-51.39481000
0.71525574,-49.96458000
0.76293945,-57.43504000
0.81062317,-41.50753000
0.85830688,-28.82581000
0.90599060,-14.24645000
0.95367432,-9.51980800
1.00135803,-12.76623000
1.04904175,-25.34375000
1.09672546,-41.05387000
1.14440918,-53.69209000
1.19209290,-49.29999000
1.23977661,-74.99261000
1.28746033,-53.50611000
1.33514404,-49.78123000
1.38282776,-47.13693000
1.43051147,-52.66457000
1.47819519,-62.82346000
1.52587891,-55.95062000
1.57356262,-55.01512000
1.62124634,-51.02634000
1.66893005,-42.99327000
1.71661377,-41.43047000
1.76429749,-26.57841000
1.81198120,-23.66321000
1.85966492,-28.46351000
1.90734863,-36.80332000
1.95503235,-45.58924000
2.00271606,-53.00823000
2.05039978,-47.83220000
2.09808350,-46.03938000
2.14576721,-50.78587000
2.19345093,-55.32654000
2.24113464,-65.46603000
2.28881836,-51.13799000
2.33650208,-49.66139000
2.38418579,-53.24642000
2.43186951,-52.67559000
2.47955322,-50.32993000
2.52723694,-53.10203000
2.57492065,-52.26455000
2.62260437,-51.50602000
2.67028809,-55.70562000
2.71797180,-50.86267000
2.76565552,-46.66157000
2.81333923,-43.81375000
2.86102295,-42.24509000
2.90870667,-42.75075000
2.95639038,-43.79111000
3.00407410,-44.93901000
3.05175781,-48.19557000
3.09944153,-50.93095000
3.14712524,-50.30001000
3.19480896,-50.51060000
3.24249268,-50.39427000
3.29017639,-48.25451000
3.33786011,-47.84748000
3.38554382,-47.84664000
3.43322754,-50.52420000
3.48091125,-58.12862000
3.52859497,-61.01624000
3.57627869,-52.73291000
3.62396240,-49.63913000
3.67164612,-52.04515000
3.71932983,-52.45186000
3.76701355,-54.43129000
3.81469727,-48.56741000
3.86238098,-46.78581000
3.91006470,-48.93215000
3.95774841,-48.65799000
4.00543213,-45.92031000
4.05311584,-49.10280000
4.10079956,-53.95256000
4.14848328,-54.01578000
4.19616699,-52.88679000
4.24385071,-59.55472000
4.29153442,-56.39652000
4.33921814,-54.82569000
4.38690186,-65.38573000
4.43458557,-57.80842000
4.48226929,-51.84781000
4.52995300,-53.96805000
4.57763672,-58.22159000
