"Frequency[kHz]","Channel[dBu]"
0.00000000,-27.48734000
0.04768372,-34.37656000
0.09536743,-52.94950000
0.14305115,-46.54807000
0.19073486,-45.50999000
0.23841858,-48.01265000
0.28610229,-47.00542000
0.33378601,-46.95252000
0.38146973,-46.73784000
0.42915344,-46.39664000
0.47683716,-45.10666000
0.52452087,-44.44117000
0.57220459,-49.57734000
0.61988831,-62.71862000
0.66757202,-23.47984000
0.71525574,-13.97548000
0.76293945,-12.93353000
0.81062317,-19.79165000
0.85830688,-39.54091000
0.90599060,-47.85234000
0.95367432,-62.22728000
1.00135803,-53.74279000
1.04904175,-52.08642000
1.09672546,-48.34763000
1.14440918,-53.25388000
1.19209290,-55.77365000
1.23977661,-53.29340000
1.28746033,-57.12236000
1.33514404,-49.37231000
1.38282776,-48.72388000
1.43051147,-50.73310000
1.47819519,-49.70477000
1.52587891,-51.01796000
1.57356262,-48.04089000
1.62124634,-48.94790000
1.66893005,-53.89281000
1.71661377,-36.81488000
1.76429749,-26.44720000
1.81198120,-23.63323000
1.85966492,-27.97615000
1.90734863,-40.02586000
1.95503235,-59.90918000
2.00271606,-45.27075000
2.05039978,-46.68870000
2.09808350,-49.41030000
2.14576721,-47.15836000
2.19345093,-43.73990000
2.24113464,-46.40297000
2.28881836,-50.85010000
2.33650208,-55.22099000
2.38418579,-46.60495000
2.43186951,-45.70337000
2.47955322,-50.08345000
2.52723694,-61.74405000
2.57492065,-51.60257000
2.62260437,-50.04183000
2.67028809,-46.88349000
2.71797180,-47.52958000
2.76565552,-52.95849000
2.81333923,-58.59790000
2.86102295,-56.42280000
2.90870667,-53.65413000
2.95639038,-64.07260000
3.00407410,-48.74189000
3.05175781,-44.37368000
3.09944153,-43.00864000
3.14712524,-47.79530000
3.19480896,-52.73445000
3.24249268,-44.62366000
3.29017639,-43.96088000
3.33786011,-45.43382000
3.38554382,-48.22228000
3.43322754,-65.22895000
3.48091125,-45.81682000
3.52859497,-45.35751000
3.57627869,-50.89712000
3.62396240,-59.01260000
3.67164612,-56.78596000
3.71932983,-50.68039000
3.76701355,-48.29459000
3.81469727,-45.57595000
3.86238098,-43.83192000
3.91006470,-45.29335000
3.95774841,-49.55209000
4.00543213,-53.22418000
4.05311584,-56.54060000
4.10079956,-59.78283000
4.14848328,-64.25410000
4.19616699,-63.01075000
4.24385071,-56.49144000
4.29153442,-51.74293000
4.33921814,-50.60285000
4.38690186,-50.17324000
4.43458557,-54.35646000
4.48226929,-72.83614000
4.52995300,-59.83664000
4.57763672,-60.23456000
4.62532043,-52.75958000
4.67300415,-51.37507000
4.72068787,-50.16388000
4.76837158,-53.41902000
4.81605530,-62.77940000
4.86373901,-56.12387000
4.91142273,-60.85617000
4.95910645,-67.36449000
5.00679016,-60.26167000
5.05447388,-56.83997000
5.10215759,-52.92428000
5.14984131,-51.65921000
5.19752502,-49.11467000
5.24520874,-47.96827000
5.29289246,-54.90378000
5.34057617,-51.96660000
5.38825989,-48.05795000
5.43594360,-51.09211000
5.48362732,-55.95595000
5.53131104,-52.43167000
5.57899475,-49.05548000
5.62667847,-50.48262000
5.67436218,-59.34674000
5.72204590,-55.80654000
5.76972961,-53.46608000
5.81741333,-48.59872000
5.86509705,-49.79346000
5.91278076,-55.50665000
5.96046448,-48.57769000
6.00814819,-45.49045000
6.05583191,-45.95416000
6.10351563,-49.82180000
6.15119934,-52.97997000
6.19888306,-55.00239000
6.24656677,-53.30515000
6.29425049,-55.47114000
6.34193420,-54.19501000
6.38961792,-51.75824000
6.43730164,-53.47229000
6.48498535,-56.21724000
6.53266907,-65.22807000
6.58035278,-60.34286000
6.62803650,-57.69705000
6.67572021,-59.01848000
6.72340393,-59.10373000
6.77108765,-58.83541000
6.81877136,-58.29134000
6.86645508,-55.77484000
6.91413879,-71.05126000
6.96182251,-54.45988000
7.00950623,-51.32339000
7.05718994,-50.04353000
7.10487366,-50.68477000
7.15255737,-53.95617000
7.20024109,-58.47534000
7.24792480,-59.34732000
7.29560852,-53.88857000
7.34329224,-55.90727000
7.39097595,-58.17123000
7.43865967,-55.98781000
7.48634338,-51.70317000
7.53402710,-51.93984000
7.58171082,-56.75469000
7.62939453,-60.05893000
7.67707825,-59.34155000
7.72476196,-57.26696000
7.77244568,-57.32347000
7.82012939,-55.35164000
7.86781311,-57.91156000
7.91549683,-69.78573000
7.96318054,-58.96255000
