"Frequency[kHz]","Channel[dBu]"
0.00000000,-22.75135000
0.04768372,-30.08925000
0.09536743,-46.43992000
0.14305115,-49.09742000
0.19073486,-45.48705000
0.23841858,-54.79300000
0.28610229,-47.04939000
0.33378601,-44.50333000
0.38146973,-45.69342000
0.42915344,-49.45519000
0.47683716,-58.19752000
0.52452087,-57.05789000
0.57220459,-50.50042000
0.61988831,-49.14240000
0.66757202,-52.52412000
0.71525574,-55.89182000
0.76293945,-53.18463000
0.81062317,-52.97087000
0.85830688,-50.42163000
0.90599060,-49.69122000
0.95367432,-49.04743000
1.00135803,-50.78995000
1.04904175,-59.80164000
1.09672546,-56.34815000
1.14440918,-56.92344000
1.19209290,-55.02039000
1.23977661,-48.02096000
1.28746033,-54.44794000
1.33514404,-34.20028000
1.38282776,-20.82652000
1.43051147,-9.37836500
1.47819519,-5.56161300
1.52587891,-9.17628800
1.57356262,-20.62756000
1.62124634,-33.52700000
1.66893005,-51.69090000
1.71661377,-40.04414000
1.76429749,-30.39194000
1.81198120,-26.75612000
1.85966492,-30.38241000
1.90734863,-39.66412000
1.95503235,-54.96006000
2.00271606,-56.23446000
2.05039978,-50.27311000
2.09808350,-49.27461000
2.14576721,-49.81387000
2.19345093,-53.34259000
2.24113464,-56.49666000
2.28881836,-53.23000000
2.33650208,-55.17131000
2.38418579,-48.24392000
2.43186951,-48.69134000
2.47955322,-61.72439000
2.52723694,-57.48400000
2.57492065,-49.68834000
2.62260437,-45.19271000
2.67028809,-45.46249000
2.71797180,-52.34296000
2.76565552,-54.73978000
2.81333923,-51.84270000
2.86102295,-49.07684000
2.90870667,-47.02318000
2.95639038,-48.65960000
3.00407410,-48.91061000
3.05175781,-46.15944000
3.09944153,-49.63097000
3.14712524,-58.27075000
3.19480896,-49.68836000
3.24249268,-46.95741000
3.29017639,-45.90620000
3.33786011,-48.74319000
3.38554382,-53.50103000
3.43322754,-51.39762000
3.48091125,-48.70456000
3.52859497,-48.55093000
3.57627869,-52.11562000
3.62396240,-56.00174000
3.67164612,-65.96252000
3.71932983,-54.26631000
3.76701355,-49.06384000
3.81469727,-49.07503000
3.86238098,-51.51020000
3.91006470,-53.68243000
3.95774841,-60.94433000
4.00543213,-62.91180000
4.05311584,-52.68238000
4.10079956,-50.70504000
4.14848328,-52.49651000
4.19616699,-50.85381000
4.24385071,-47.44343000
4.29153442,-44.47977000
4.33921814,-43.42943000
4.38690186,-42.99856000
4.43458557,-42.81493000
4.48226929,-43.83250000
4.52995300,-45.46381000
4.57763672,-46.80843000
4.62532043,-52.83102000
4.67300415,-65.93105000
4.72068787,-59.73783000
4.76837158,-59.25417000
4.81605530,-53.47224000
4.86373901,-52.25646000
4.91142273,-55.37392000
4.95910645,-54.04343000
5.00679016,-53.45006000
5.05447388,-53.08002000
5.10215759,-52.50482000
5.14984131,-53.69464000
5.19752502,-55.66513000
5.24520874,-57.50371000
5.29289246,-58.59549000
5.34057617,-56.78471000
5.38825989,-59.25072000
5.43594360,-62.74285000
5.48362732,-57.41249000
5.53131104,-49.15829000
5.57899475,-47.68791000
5.62667847,-47.87964000
5.67436218,-50.62275000
5.72204590,-53.49266000
5.76972961,-57.93588000
5.81741333,-54.05967000
5.86509705,-55.63956000
5.91278076,-76.05100000
5.96046448,-65.70177000
6.00814819,-58.13712000
6.05583191,-49.93486000
6.10351563,-49.88403000
6.15119934,-51.71115000
6.19888306,-48.10474000
6.24656677,-50.15694000
6.29425049,-55.82647000
6.34193420,-54.74329000
6.38961792,-50.08046000
6.43730164,-47.47259000
6.48498535,-48.26863000
6.53266907,-50.69048000
6.58035278,-49.15553000
6.62803650,-50.03666000
6.67572021,-53.35152000
6.72340393,-61.02724000
6.77108765,-56.03974000
6.81877136,-51.90195000
6.86645508,-51.53057000
6.91413879,-51.52901000
6.96182251,-54.66039000
7.00950623,-68.37714000
7.05718994,-56.17069000
7.10487366,-57.50077000
7.15255737,-61.89559000
7.20024109,-63.72663000
7.24792480,-51.12516000
7.29560852,-51.78582000
7.34329224,-59.83267000
7.39097595,-53.01327000
7.43865967,-51.08446000
7.48634338,-50.79268000
7.53402710,-52.87787000
7.58171082,-57.66700000
7.62939453,-60.78365000
7.67707825,-58.00090000
7.72476196,-60.67247000
7.77244568,-55.35394000
7.82012939,-51.96514000
7.86781311,-60.18872000
7.91549683,-55.44930000
7.96318054,-53.06073000
8.01086426,-52.84889000
8.05854797,-51.54250000
8.10623169,-52.49053000
8.15391541,-55.16136000
8.20159912,-56.30879000
8.24928284,-55.79485000
8.29696655,-58.66438000
8.34465027,-50.71301000
8.39233398,-49.09367000
8.44001770,-51.73717000
8.48770142,-51.89952000
8.53538513,-48.98857000
8.58306885,-48.27963000
8.63075256,-48.56071000
8.67843628,-49.11906000
8.72612000,-51.08802000
8.77380371,-60.35782000
8.82148743,-53.96608000
8.86917114,-50.40958000
8.91685486,-53.01058000
8.96453857,-50.72142000
9.01222229,-51.39950000
9.05990601,-57.61570000
9.10758972,-53.13051000
9.15527344,-47.80928000
9.20295715,-47.38283000
9.25064087,-48.56564000
9.29832458,-48.93471000
9.34600830,-48.41191000
9.39369202,-48.48991000
9.44137573,-53.68963000
9.48905945,-68.69109000
9.53674316,-63.15672000
9.58442688,-71.81651000
9.63211060,-55.62232000
9.67979431,-52.55439000
9.72747803,-55.20554000
9.77516174,-57.38144000
9.82284546,-58.16272000
9.87052917,-55.63538000
9.91821289,-49.54625000
9.96589661,-49.77975000
10.01358032,-55.71617000
10.06126404,-55.75888000
10.10894775,-53.42918000
10.15663147,-51.02148000
10.20431519,-47.85619000
10.25199890,-49.08836000
10.29968262,-57.88367000
10.34736633,-61.94954000
10.39505005,-54.37590000
10.44273376,-48.88987000
10.49041748,-49.09446000
10.53810120,-53.07728000
10.58578491,-55.84351000
10.63346863,-50.01243000
10.68115234,-49.61138000
10.72883606,-52.68166000
10.77651978,-56.51678000
10.82420349,-57.12814000
10.87188721,-58.82305000
10.91957092,-64.69510000
10.96725464,-55.70271000
11.01493835,-55.07496000
11.06262207,-58.39972000
11.11030579,-49.78670000
11.15798950,-49.90849000
11.20567322,-54.13581000
11.25335693,-58.88347000
11.30104065,-63.00979000
11.34872437,-68.22163000
11.39640808,-66.67372000
11.44409180,-57.74334000
11.49177551,-57.59122000
11.53945923,-53.10690000
11.58714294,-50.68770000
11.63482666,-50.39783000
11.68251038,-49.57610000
11.73019409,-49.70402000
11.77787781,-52.11220000
11.82556152,-58.18343000
11.87324524,-60.42434000
11.92092896,-51.96597000
11.96861267,-50.84748000
12.01629639,-52.12948000
12.06398010,-50.32917000
12.11166382,-51.12088000
12.15934753,-50.97357000
12.20703125,-48.91590000
12.25471497,-50.81086000
12.30239868,-52.63374000
12.35008240,-51.93221000
12.39776611,-53.73617000
12.44544983,-66.20540000
12.49313354,-56.61395000
12.54081726,-50.74602000
12.58850098,-49.54713000
12.63618469,-51.41354000
12.68386841,-57.68111000
12.73155212,-63.65597000
12.77923584,-62.06797000
12.82691956,-58.94657000
12.87460327,-58.64346000
12.92228699,-47.40334000
12.96997070,-45.34687000
13.01765442,-48.33775000
13.06533813,-58.09183000
13.11302185,-59.40470000
13.16070557,-57.26675000
13.20838928,-61.56826000
13.25607300,-49.91070000
13.30375671,-48.09692000
13.35144043,-49.71405000
13.39912415,-48.43467000
13.44680786,-48.24201000
13.49449158,-50.67923000
13.54217529,-50.56200000
13.58985901,-52.26391000
13.63754272,-56.33839000
13.68522644,-64.34740000
13.73291016,-56.93136000
13.78059387,-52.92116000
13.82827759,-52.91801000
13.87596130,-55.06046000
13.92364502,-59.79351000
13.97132874,-64.51930000
14.01901245,-70.23895000
14.06669617,-58.00137000
14.11437988,-49.30638000
14.16206360,-47.39790000
14.20974731,-47.20436000
14.25743103,-47.88341000
14.30511475,-49.95512000
14.35279846,-51.50945000
14.40048218,-54.45475000
14.44816589,-58.88481000
14.49584961,-49.70528000
14.54353333,-47.02763000
14.59121704,-47.63317000
14.63890076,-48.00406000
14.68658447,-48.42271000
14.73426819,-50.93213000
14.78195190,-62.45050000
14.82963562,-53.15355000
14.87731934,-50.97344000
14.92500305,-57.03662000
14.97268677,-61.48743000
15.02037048,-53.45343000
15.06805420,-54.34881000
15.11573792,-63.61853000
15.16342163,-65.30488000
15.21110535,-63.71729000
15.25878906,-61.57251000
15.30647278,-56.90395000
15.35415649,-56.50723000
15.40184021,-66.90746000
15.44952393,-56.49147000
15.49720764,-54.56541000
15.54489136,-56.30150000
15.59257507,-54.80089000
15.64025879,-59.42699000
15.68794250,-79.02753000
15.73562622,-65.76566000
15.78330994,-56.45750000
15.83099365,-54.14736000
15.87867737,-63.64056000
15.92636108,-55.69057000
15.97404480,-56.71765000
16.02172852,-67.20612000
16.06941223,-53.22285000
16.11709595,-53.65265000
