s[mm],B[mT]
-24,215
-22,248
-20,289
-18,337
-16,404
-14,475
-12,572
-10,664
-8,729
-6,765
-4,778
-2,774
0,771
2,774
4,779
6,773
8,743
10,689
12,596
14,506
16,422
18,361
20,307
22,263
24,228
