"I (A)","s(I) (A)","U (V)","s(U) (V)"
5.856200E-3,NaN,705.817103E-3,NaN
5.905500E-3,NaN,706.296530E-3,NaN
5.954800E-3,NaN,706.672544E-3,NaN
6.003900E-3,NaN,707.143417E-3,NaN
6.052500E-3,NaN,707.701790E-3,NaN
6.101600E-3,NaN,708.079235E-3,NaN
6.151000E-3,NaN,708.639012E-3,NaN
6.199500E-3,NaN,709.000598E-3,NaN
6.248600E-3,NaN,709.442522E-3,NaN
6.298000E-3,NaN,709.980859E-3,NaN
6.346500E-3,NaN,710.433445E-3,NaN
6.395600E-3,NaN,710.778378E-3,NaN
