"I (A)","s(I) (A)","U (V)","s(U) (V)"
4.580100E-3,NaN,1.994721E+0,NaN
4.628400E-3,NaN,1.995966E+0,NaN
4.677000E-3,NaN,1.997310E+0,NaN
4.725300E-3,NaN,1.998542E+0,NaN
4.773100E-3,NaN,1.999857E+0,NaN
4.821300E-3,NaN,2.001220E+0,NaN
4.869800E-3,NaN,2.002382E+0,NaN
4.917600E-3,NaN,2.003676E+0,NaN
4.966100E-3,NaN,2.004889E+0,NaN
5.014500E-3,NaN,2.006165E+0,NaN
5.062400E-3,NaN,2.007425E+0,NaN
5.110900E-3,NaN,2.008577E+0,NaN
5.159400E-3,NaN,2.009789E+0,NaN
5.207800E-3,NaN,2.010974E+0,NaN
5.255800E-3,NaN,2.012174E+0,NaN
5.304300E-3,NaN,2.013433E+0,NaN
5.352800E-3,NaN,2.014566E+0,NaN
5.400600E-3,NaN,2.015712E+0,NaN
