Apr 28, 2026  10:14:31 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.10,   5.98E-009, 
 20.20,   5.54E-009, 
 20.30,   4.14E-009, 
 20.40,   2.15E-009, 
 20.50,   1.31E-009, 
 20.60,   6.98E-010, 
 20.70,   5.91E-010, 
 20.80,   6.67E-010, 
 20.90,   3.44E-010, 
 21.00,   2.51E-010, 
 21.10,   3.40E-010, 
 21.20,   1.19E-010, 
 21.30,   1.46E-010, 
 21.40,   2.06E-010, 
 21.50,   1.75E-010, 
 21.60,  -2.06E-011, 
 21.70,   3.26E-010, 
 21.80,   9.75E-010, 
 21.90,   8.43E-010, 
 22.00,   1.00E-009, 
 22.10,   1.35E-009, 
 22.20,   1.05E-009, 
 22.30,   4.87E-010, 
 22.40,   2.04E-010, 
 22.50,   3.11E-010, 
 22.60,   5.72E-011, 
 22.70,   1.06E-010, 
 22.80,  -6.56E-011, 
 22.90,  -1.93E-011, 
 23.00,  -2.80E-010, 
 23.10,  -1.67E-010, 
 23.20,  -2.53E-010, 
 23.30,  -9.90E-011, 
 23.40,  -2.89E-011, 
 23.50,  -1.66E-010, 
 23.60,  -9.77E-011, 
 23.70,   3.03E-010, 
 23.80,   8.02E-010, 
 23.90,   9.28E-010, 
 24.00,   9.42E-010, 
 24.10,   1.18E-009, 
 24.20,   1.24E-009, 
 24.30,   5.82E-010, 
 24.40,   4.33E-010, 
 24.50,   4.16E-010, 
 24.60,   6.84E-010, 
 24.70,   1.74E-009, 
 24.80,   3.06E-009, 
 24.90,   4.22E-009, 
 25.00,   4.33E-009, 
 25.10,   4.68E-009, 
 25.20,   4.46E-009, 
 25.30,   2.99E-009, 
 25.40,   1.52E-009, 
 25.50,   1.43E-009, 
 25.60,   2.86E-009, 
 25.70,   8.99E-009, 
 25.80,   1.62E-008, 
 25.90,   2.22E-008, 
 26.00,   2.41E-008, 
 26.10,   2.46E-008, 
 26.20,   2.31E-008, 
 26.30,   1.49E-008, 
 26.40,   6.59E-009, 
 26.50,   4.12E-009, 
 26.60,   5.14E-009, 
 26.70,   1.50E-008, 
 26.80,   2.89E-008, 
 26.90,   4.03E-008, 
 27.00,   4.37E-008, 
 27.10,   4.49E-008, 
 27.20,   4.38E-008, 
 27.30,   3.24E-008, 
 27.40,   2.39E-008, 
 27.50,   3.83E-008, 
 27.60,   1.78E-007, 
 27.70,   5.76E-007, 
 27.80,   7.94E-007, 
 27.90,   8.59E-007, 
 28.00,   8.38E-007, 
 28.10,   7.63E-007, 
 28.20,   6.38E-007, 
 28.30,   1.48E-007, 
 28.40,   3.25E-008, 
 28.50,   1.59E-008, 
 28.60,   1.72E-008, 
 28.70,   3.84E-008, 
 28.80,   6.35E-008, 
 28.90,   8.06E-008, 
 29.00,   8.31E-008, 
 29.10,   8.08E-008, 
 29.20,   7.24E-008, 
 29.30,   3.72E-008, 
 29.40,   1.58E-008, 
 29.50,   1.14E-008, 
 29.60,   2.23E-008, 
 29.70,   6.37E-008, 
 29.80,   1.07E-007, 
 29.90,   1.28E-007, 
 30.00,   1.29E-007, 
 30.10,   1.21E-007, 
 30.20,   1.05E-007, 
 30.30,   4.41E-008, 
 30.40,   1.57E-008, 
 30.50,   7.92E-009, 
 30.60,   5.77E-009, 
 30.70,   7.81E-009, 
 30.80,   1.15E-008, 
 30.90,   1.48E-008, 
 31.00,   1.60E-008, 
 31.10,   1.65E-008, 
 31.20,   1.61E-008, 
 31.30,   1.14E-008, 
 31.40,   7.55E-009, 
 31.50,   9.32E-009, 
 31.60,   2.88E-008, 
 31.70,   8.66E-008, 
 31.80,   1.41E-007, 
 31.90,   1.62E-007, 
 32.00,   1.65E-007, 
