"by",	"pos"
1030,	930
1161,	925
1313,	920
1473,	915
1644,	910
1835,	905
2024,	900
2277,	895
2525,	890
2816,	885
3076,	880
3369,	875
3594,	870
3980,	865
4267,	860
4473,	855
4678,	850
4836,	845
4929,	840
4963,	835
4952,	830
4884,	825
4784,	820
4602,	815
4459,	810
4164,	805
3915,	800
3637,	795
3447,	790
3180,	785
2906,	780
2572,	775
2278,	770
2070,	765
1860,	760
1657,	755
1493,	750
1335,	745
1204,	740
1128,	735
969,	730
867,	725
785,	720
704,	715
646,	710
581,	705
532,	700
