Frequency;Channel A
(kHz);(dBu)

11,63482666;-62,50844000
11,68251038;-59,38641000
11,73019409;-59,18030000
11,77787781;-75,17954000
11,82556152;-59,37853000
11,87324524;-58,52750000
11,92092896;-65,57003000
11,96861267;-63,58887000
12,01629639;-76,45450000
12,06398010;-56,16875000
12,11166382;-50,23218000
12,15934753;-50,83714000
12,20703125;-54,82215000
12,25471497;-57,12871000
12,30239868;-51,70826000
12,35008240;-53,12757000
12,39776611;-64,21680000
12,44544983;-54,05624000
12,49313354;-53,95735000
12,54081726;-57,66508000
12,58850098;-54,07053000
12,63618469;-52,08278000
12,68386841;-51,91851000
12,73155212;-51,42243000
12,77923584;-56,12996000
12,82691956;-55,12822000
12,87460327;-52,16378000
12,92228699;-51,07055000
12,96997070;-51,04481000
13,01765442;-54,45556000
13,06533813;-52,36388000
13,11302185;-48,73082000
13,16070557;-50,50657000
13,20838928;-55,42423000
13,25607300;-61,72943000
13,30375671;-57,57864000
13,35144043;-56,44934000
13,39912415;-57,56681000
13,44680786;-54,94126000
13,49449158;-53,45400000
13,54217529;-59,08665000
13,58985901;-65,30664000
13,63754272;-56,28571000
13,68522644;-55,31978000
13,73291016;-64,05514000
13,78059387;-63,98013000
13,82827759;-54,04267000
13,87596130;-51,10212000
13,92364502;-51,27265000
13,97132874;-53,11211000
14,01901245;-50,66431000
14,06669617;-46,89262000
14,11437988;-45,49960000
14,16206360;-47,02306000
14,20974731;-50,16792000
14,25743103;-51,32295000
14,30511475;-52,71306000
14,35279846;-55,65948000
14,40048218;-59,92019000
14,44816589;-67,70802000
14,49584961;-57,02395000
14,54353333;-50,93819000
14,59121704;-49,56827000
14,63890076;-50,39707000
14,68658447;-51,17727000
14,73426819;-51,75206000
14,78195190;-55,84727000
14,82963562;-57,44548000
14,87731934;-63,62143000
14,92500305;-51,27235000
14,97268677;-50,23993000
15,02037048;-52,45523000
15,06805420;-57,53254000
15,11573792;-60,87590000
15,16342163;-59,37760000
15,21110535;-67,17754000
15,25878906;-58,62061000
15,30647278;-59,70814000
15,35415649;-81,61431000
15,40184021;-58,29511000
15,44952393;-54,98664000
15,49720764;-56,90903000
15,54489136;-58,57564000
15,59257507;-53,19404000
15,64025879;-49,98884000
15,68794250;-51,65596000
15,73562622;-63,82065000
15,78330994;-57,86575000
15,83099365;-54,44437000
15,87867737;-57,84466000
15,92636108;-67,99030000
15,97404480;-64,59508000
16,02172852;-53,57516000
16,06941223;-51,16135000
16,11709595;-54,82422000
16,16477966;-59,32215000
16,21246338;-60,05439000
16,26014709;-52,93988000
16,30783081;-55,22941000
16,35551453;-59,32459000
16,40319824;-56,54818000
16,45088196;-56,29474000
16,49856567;-53,05397000
16,54624939;-52,86221000
16,59393311;-49,58140000
16,64161682;-49,96112000
16,68930054;-54,44659000
16,73698425;-62,43018000
16,78466797;-56,60802000
16,83235168;-53,93605000
16,88003540;-56,27705000
16,92771912;-62,95446000
16,97540283;-59,52415000
17,02308655;-56,89816000
17,07077026;-62,60445000
17,11845398;-60,03435000
17,16613770;-53,63949000
17,21382141;-57,57095000
17,26150513;-62,49767000
17,30918884;-57,40254000
17,35687256;-58,22413000
17,40455627;-63,50454000
17,45223999;-63,98044000
17,49992371;-56,23671000
17,54760742;-50,62880000
17,59529114;-52,68343000
17,64297485;-56,56865000
17,69065857;-49,74289000
17,73834229;-51,73278000
17,78602600;-59,71016000
17,83370972;-62,62763000
17,88139343;-58,63589000
17,92907715;-54,19772000
17,97676086;-50,81129000
18,02444458;-51,18259000
18,07212830;-53,14734000
18,11981201;-59,86743000
18,16749573;-56,50795000
18,21517944;-57,07237000
18,26286316;-55,62222000
18,31054688;-56,46502000
18,35823059;-57,39053000
18,40591431;-53,54051000
18,45359802;-53,57491000
18,50128174;-58,99216000
18,54896545;-69,58044000
18,59664917;-54,54341000
18,64433289;-55,47784000
18,69201660;-68,56741000
18,73970032;-63,51146000
18,78738403;-55,52890000
18,83506775;-59,86035000
18,88275146;-58,53696000
18,93043518;-52,67914000
18,97811890;-55,89712000
19,02580261;-73,71644000
19,07348633;-56,95681000
19,12117004;-54,70073000
19,16885376;-59,59486000
19,21653748;-55,93722000
19,26422119;-57,34912000
19,31190491;-54,28181000
19,35958862;-51,21419000
19,40727234;-52,26380000
19,45495605;-54,83524000
19,50263977;-67,41443000
19,55032349;-61,40415000
19,59800720;-59,43109000
19,64569092;-58,76356000
19,69337463;-57,80045000
19,74105835;-60,99553000
19,78874207;-54,07702000
19,83642578;-50,49735000
19,88410950;-51,23787000
19,93179321;-55,96352000
19,97947693;-61,11251000
20,02716064;-54,87012000
20,07484436;-57,23366000
20,12252808;-58,69572000
20,17021179;-59,75050000
20,21789551;-59,17130000
20,26557922;-53,58954000
20,31326294;-61,24778000
20,36094666;-64,79028000
20,40863037;-64,58853000
20,45631409;-59,76543000
20,50399780;-56,20489000
20,55168152;-55,90107000
20,59936523;-64,62228000
20,64704895;-64,89296000
20,69473267;-58,84414000
20,74241638;-62,73026000
20,79010010;-68,74215000
20,83778381;-60,78202000
20,88546753;-55,49195000
20,93315125;-59,23302000
20,98083496;-54,69980000
21,02851868;-52,38570000
21,07620239;-55,01054000
21,12388611;-53,27381000
21,17156982;-54,52309000
21,21925354;-55,57331000
21,26693726;-55,93951000
