Frequency;Channel A
(kHz);(dBu)

11,63482666;-75,31127000
11,68251038;-62,72877000
11,73019409;-53,18893000
11,77787781;-52,17622000
11,82556152;-56,73721000
11,87324524;-74,64953000
11,92092896;-61,39351000
11,96861267;-57,05702000
12,01629639;-57,32022000
12,06398010;-82,78526000
12,11166382;-61,66469000
12,15934753;-60,04648000
12,20703125;-54,46297000
12,25471497;-64,34895000
12,30239868;-58,80337000
12,35008240;-54,96795000
12,39776611;-59,06047000
12,44544983;-57,21806000
12,49313354;-69,33294000
12,54081726;-54,54353000
12,58850098;-51,34601000
12,63618469;-60,92707000
12,68386841;-59,27691000
12,73155212;-57,54751000
12,77923584;-62,60274000
12,82691956;-56,45843000
12,87460327;-56,21807000
12,92228699;-51,89661000
12,96997070;-46,71438000
13,01765442;-47,14631000
13,06533813;-50,71901000
13,11302185;-51,57841000
13,16070557;-50,42854000
13,20838928;-49,43251000
13,25607300;-49,56238000
13,30375671;-52,37090000
13,35144043;-58,21743000
13,39912415;-76,24265000
13,44680786;-62,79820000
13,49449158;-63,97684000
13,54217529;-62,41754000
13,58985901;-60,19873000
13,63754272;-69,76243000
13,68522644;-60,94563000
13,73291016;-69,63554000
13,78059387;-54,82759000
13,82827759;-51,55239000
13,87596130;-52,18797000
13,92364502;-53,73936000
13,97132874;-53,64479000
14,01901245;-54,96645000
14,06669617;-54,05611000
14,11437988;-55,41273000
14,16206360;-55,22793000
14,20974731;-55,73708000
14,25743103;-64,02530000
14,30511475;-62,25171000
14,35279846;-63,29059000
14,40048218;-53,32873000
14,44816589;-52,14805000
14,49584961;-52,66750000
14,54353333;-51,70220000
14,59121704;-54,90901000
14,63890076;-56,30917000
14,68658447;-52,78948000
14,73426819;-59,21452000
14,78195190;-54,89869000
14,82963562;-55,29242000
14,87731934;-63,02985000
14,92500305;-56,53175000
14,97268677;-51,33381000
15,02037048;-53,51044000
15,06805420;-59,05900000
15,11573792;-59,25529000
15,16342163;-57,20143000
15,21110535;-55,04103000
15,25878906;-60,50964000
15,30647278;-62,50227000
15,35415649;-54,96846000
15,40184021;-55,03814000
15,44952393;-55,12239000
15,49720764;-52,60603000
15,54489136;-54,95777000
15,59257507;-52,82835000
15,64025879;-54,60040000
15,68794250;-57,62729000
15,73562622;-53,25670000
15,78330994;-57,68207000
15,83099365;-60,19579000
15,87867737;-58,29989000
15,92636108;-59,80168000
15,97404480;-55,68319000
16,02172852;-62,81811000
16,06941223;-60,73843000
16,11709595;-57,34579000
16,16477966;-57,44479000
16,21246338;-52,86433000
16,26014709;-59,79924000
16,30783081;-56,39096000
16,35551453;-54,10437000
16,40319824;-62,40004000
16,45088196;-54,85853000
16,49856567;-51,18439000
16,54624939;-60,18046000
16,59393311;-59,27031000
16,64161682;-60,30517000
16,68930054;-62,92892000
16,73698425;-54,90030000
16,78466797;-59,37326000
16,83235168;-62,39309000
16,88003540;-60,93184000
16,92771912;-58,37271000
16,97540283;-55,39654000
17,02308655;-59,72637000
17,07077026;-67,66069000
17,11845398;-73,28254000
17,16613770;-56,09180000
17,21382141;-54,91064000
17,26150513;-56,82039000
17,30918884;-52,97286000
17,35687256;-51,51330000
17,40455627;-53,78673000
17,45223999;-52,90112000
17,49992371;-50,77961000
17,54760742;-54,18070000
17,59529114;-57,96901000
17,64297485;-51,63136000
17,69065857;-51,99893000
17,73834229;-56,43761000
17,78602600;-66,93018000
17,83370972;-57,76451000
17,88139343;-63,30627000
17,92907715;-55,33701000
17,97676086;-56,77806000
18,02444458;-56,39553000
18,07212830;-56,29501000
18,11981201;-59,67208000
18,16749573;-54,05156000
18,21517944;-52,33704000
18,26286316;-58,38032000
18,31054688;-71,95477000
18,35823059;-76,05325000
18,40591431;-58,43378000
18,45359802;-60,55849000
18,50128174;-54,76360000
18,54896545;-53,64433000
18,59664917;-51,28535000
18,64433289;-50,45877000
18,69201660;-53,85064000
18,73970032;-57,89402000
18,78738403;-66,22807000
18,83506775;-56,19323000
18,88275146;-53,91724000
18,93043518;-56,22818000
18,97811890;-60,24358000
19,02580261;-70,03044000
19,07348633;-63,42114000
19,12117004;-58,61862000
19,16885376;-56,11662000
19,21653748;-52,39796000
19,26422119;-51,40705000
19,31190491;-55,69347000
19,35958862;-53,78440000
19,40727234;-51,34213000
19,45495605;-55,05247000
19,50263977;-53,48586000
19,55032349;-49,35110000
19,59800720;-49,76631000
19,64569092;-51,60719000
19,69337463;-56,71264000
19,74105835;-67,19105000
19,78874207;-60,81777000
19,83642578;-51,38639000
19,88410950;-47,85426000
19,93179321;-48,82706000
19,97947693;-54,69878000
20,02716064;-67,23120000
20,07484436;-60,98090000
20,12252808;-58,15606000
20,17021179;-53,80389000
20,21789551;-60,81687000
20,26557922;-54,20186000
20,31326294;-53,82013000
20,36094666;-54,34258000
