Frequency;Channel A
(kHz);(dBu)

0,00000000;-24,22647000
0,04768372;-30,96162000
0,09536743;-45,07098000
0,14305115;-60,77511000
0,19073486;-49,69671000
0,23841858;-52,87850000
0,28610229;-64,37222000
0,33378601;-59,60278000
0,38146973;-51,61389000
0,42915344;-49,90516000
0,47683716;-45,55930000
0,52452087;-44,16701000
0,57220459;-50,07597000
0,61988831;-64,17371000
0,66757202;-57,71634000
0,71525574;-64,92116000
0,76293945;-55,67543000
0,81062317;-52,60174000
0,85830688;-60,95501000
0,90599060;-58,95506000
0,95367432;-59,42879000
1,00135803;-62,35271000
1,04904175;-68,18063000
1,09672546;-63,37447000
1,14440918;-61,73689000
1,19209290;-56,05560000
1,23977661;-69,34966000
1,28746033;-55,43995000
1,33514404;-52,19284000
1,38282776;-51,73038000
1,43051147;-54,57291000
1,47819519;-52,88081000
1,52587891;-54,34179000
1,57356262;-50,37698000
1,62124634;-63,70316000
1,66893005;-36,33239000
1,71661377;-23,48975000
1,76429749;-13,53486000
1,81198120;-11,31117000
1,85966492;-20,88668000
1,90734863;-15,22247000
1,95503235;-11,46103000
2,00271606;-16,78455000
2,05039978;-29,33691000
2,09808350;-40,60962000
2,14576721;-57,65329000
2,19345093;-56,43089000
2,24113464;-69,88715000
2,28881836;-53,27309000
2,33650208;-51,40959000
2,38418579;-56,26996000
2,43186951;-65,07883000
2,47955322;-56,76376000
2,52723694;-66,66609000
2,57492065;-65,10907000
2,62260437;-56,97141000
2,67028809;-54,25415000
2,71797180;-58,29529000
2,76565552;-58,21653000
2,81333923;-54,23848000
2,86102295;-51,69352000
2,90870667;-52,54997000
2,95639038;-62,63991000
3,00407410;-55,50084000
3,05175781;-56,85148000
3,09944153;-56,17135000
3,14712524;-53,63861000
3,19480896;-47,82516000
3,24249268;-46,29156000
3,29017639;-51,28312000
3,33786011;-56,16781000
3,38554382;-51,88669000
3,43322754;-57,10062000
3,48091125;-56,59283000
3,52859497;-50,35752000
3,57627869;-51,94221000
3,62396240;-61,31193000
3,67164612;-52,60963000
3,71932983;-52,65026000
3,76701355;-52,57122000
3,81469727;-50,10316000
3,86238098;-50,73394000
3,91006470;-51,12546000
3,95774841;-60,20779000
4,00543213;-60,18213000
4,05311584;-57,15071000
4,10079956;-49,59370000
4,14848328;-49,53269000
4,19616699;-54,13945000
4,24385071;-46,05900000
4,29153442;-45,81344000
4,33921814;-48,11891000
4,38690186;-50,61084000
4,43458557;-56,93404000
4,48226929;-64,79399000
4,52995300;-55,28669000
4,57763672;-52,88482000
4,62532043;-50,03854000
4,67300415;-49,14214000
4,72068787;-54,22536000
4,76837158;-53,38695000
4,81605530;-50,15440000
4,86373901;-52,98458000
4,91142273;-64,72616000
4,95910645;-64,13871000
5,00679016;-62,88977000
5,05447388;-61,60250000
5,10215759;-52,94944000
5,14984131;-47,68562000
5,19752502;-49,90680000
5,24520874;-59,61349000
5,29289246;-55,82628000
5,34057617;-54,65121000
5,38825989;-58,22418000
5,43594360;-54,02633000
5,48362732;-47,24234000
5,53131104;-42,61368000
5,57899475;-41,37232000
5,62667847;-42,40724000
5,67436218;-43,01628000
5,72204590;-45,17255000
5,76972961;-50,57285000
5,81741333;-56,48534000
5,86509705;-60,44479000
5,91278076;-64,41422000
5,96046448;-51,33409000
6,00814819;-51,00336000
6,05583191;-56,09798000
6,10351563;-50,32890000
6,15119934;-57,49997000
6,19888306;-59,19929000
6,24656677;-53,69162000
6,29425049;-53,90034000
