Frequency;Channel A
(kHz);(dBu)

0,00000000;-27,26291000
0,04768372;-33,84745000
0,09536743;-43,66192000
0,14305115;-47,67111000
0,19073486;-49,99161000
0,23841858;-48,57895000
0,28610229;-51,74889000
0,33378601;-52,25901000
0,38146973;-49,96798000
0,42915344;-52,43582000
0,47683716;-58,73982000
0,52452087;-57,83204000
0,57220459;-52,38358000
0,61988831;-54,55849000
0,66757202;-62,10368000
0,71525574;-59,27345000
0,76293945;-55,59383000
0,81062317;-58,92285000
0,85830688;-54,00488000
0,90599060;-52,30764000
0,95367432;-57,02937000
1,00135803;-59,30251000
1,04904175;-57,31377000
1,09672546;-52,33839000
1,14440918;-51,67334000
1,19209290;-48,66592000
1,23977661;-50,11356000
1,28746033;-62,04908000
1,33514404;-51,74910000
1,38282776;-48,45167000
1,43051147;-54,84795000
1,47819519;-56,91302000
1,52587891;-66,68993000
1,57356262;-47,31841000
1,62124634;-49,09137000
1,66893005;-44,37763000
1,71661377;-31,31924000
1,76429749;-24,15588000
1,81198120;-22,01067000
1,85966492;-25,08026000
1,90734863;-32,67561000
1,95503235;-45,93223000
2,00271606;-55,15644000
2,05039978;-48,98704000
2,09808350;-53,82009000
2,14576721;-63,13218000
2,19345093;-61,15142000
2,24113464;-56,11397000
2,28881836;-54,42773000
2,33650208;-49,44559000
2,38418579;-48,92165000
2,43186951;-51,28321000
2,47955322;-52,98393000
2,52723694;-54,40434000
2,57492065;-66,43512000
2,62260437;-57,96197000
2,67028809;-54,77518000
2,71797180;-54,69418000
2,76565552;-61,18944000
2,81333923;-63,51409000
2,86102295;-64,25337000
2,90870667;-54,07206000
2,95639038;-53,42240000
3,00407410;-54,10576000
3,05175781;-67,04627000
3,09944153;-55,66466000
3,14712524;-52,94670000
3,19480896;-56,27331000
3,24249268;-54,68898000
3,29017639;-52,55921000
3,33786011;-51,37943000
3,38554382;-50,64672000
3,43322754;-52,26257000
3,48091125;-55,44921000
3,52859497;-53,08754000
3,57627869;-50,07784000
3,62396240;-50,60030000
3,67164612;-52,72288000
3,71932983;-51,71909000
3,76701355;-44,54092000
3,81469727;-44,68887000
3,86238098;-52,77353000
3,91006470;-54,59062000
3,95774841;-56,46722000
4,00543213;-68,51685000
4,05311584;-57,16759000
4,10079956;-55,66698000
4,14848328;-54,15839000
4,19616699;-50,98407000
4,24385071;-50,12554000
4,29153442;-54,88969000
4,33921814;-54,59462000
4,38690186;-55,39174000
4,43458557;-56,79305000
4,48226929;-57,49946000
4,52995300;-54,19062000
4,57763672;-53,39229000
4,62532043;-51,92924000
4,67300415;-45,17033000
4,72068787;-38,87627000
4,76837158;-35,74094000
4,81605530;-35,18098000
4,86373901;-38,23914000
4,91142273;-44,12333000
4,95910645;-52,87585000
5,00679016;-50,62179000
5,05447388;-53,31438000
5,10215759;-60,35414000
5,14984131;-62,36412000
5,19752502;-52,88353000
5,24520874;-56,73859000
5,29289246;-52,12328000
5,34057617;-48,47263000
5,38825989;-53,25458000
5,43594360;-71,27419000
5,48362732;-54,73835000
5,53131104;-52,85332000
5,57899475;-56,62547000
5,62667847;-58,02166000
5,67436218;-54,72004000
5,72204590;-57,11362000
5,76972961;-53,91273000
5,81741333;-52,95181000
5,86509705;-54,00243000
5,91278076;-54,84589000
5,96046448;-49,59758000
6,00814819;-50,54354000
6,05583191;-65,15212000
6,10351563;-51,15581000
6,15119934;-50,77487000
6,19888306;-56,78270000
6,24656677;-68,05923000
6,29425049;-56,64536000
