Frequency;Channel A
(kHz);(dBu)

11,63482666;-51,69441000
11,68251038;-51,50621000
11,73019409;-50,97962000
11,77787781;-47,86219000
11,82556152;-54,13036000
11,87324524;-49,51635000
11,92092896;-52,34661000
11,96861267;-57,51793000
12,01629639;-56,60982000
12,06398010;-52,21842000
12,11166382;-58,44569000
12,15934753;-63,03285000
12,20703125;-63,03333000
12,25471497;-59,84871000
12,30239868;-59,35992000
12,35008240;-56,90663000
12,39776611;-52,14822000
12,44544983;-46,92606000
12,49313354;-46,66232000
12,54081726;-55,10852000
12,58850098;-57,39811000
12,63618469;-62,24167000
12,68386841;-64,06065000
12,73155212;-62,79090000
12,77923584;-55,74459000
12,82691956;-55,53308000
12,87460327;-55,36298000
12,92228699;-57,54915000
12,96997070;-63,48192000
13,01765442;-58,45255000
13,06533813;-57,97195000
13,11302185;-71,78951000
13,16070557;-55,47154000
13,20838928;-52,70374000
13,25607300;-60,41726000
13,30375671;-50,04432000
13,35144043;-49,25838000
13,39912415;-53,54961000
13,44680786;-53,02354000
13,49449158;-54,25941000
13,54217529;-59,01929000
13,58985901;-58,27794000
13,63754272;-72,71342000
13,68522644;-57,93076000
13,73291016;-52,71000000
13,78059387;-50,88075000
13,82827759;-52,47295000
13,87596130;-54,96963000
13,92364502;-55,10945000
13,97132874;-62,45423000
14,01901245;-59,17794000
14,06669617;-56,44257000
14,11437988;-60,01978000
14,16206360;-60,61535000
14,20974731;-52,45679000
14,25743103;-49,39222000
14,30511475;-50,02334000
14,35279846;-53,77911000
14,40048218;-52,40907000
14,44816589;-48,92681000
14,49584961;-49,66203000
14,54353333;-56,02352000
14,59121704;-51,71881000
14,63890076;-49,42380000
14,68658447;-51,36729000
14,73426819;-54,16627000
14,78195190;-56,56519000
14,82963562;-57,01292000
14,87731934;-66,10193000
14,92500305;-61,01011000
14,97268677;-56,49905000
15,02037048;-52,96147000
15,06805420;-51,72354000
15,11573792;-53,03852000
15,16342163;-58,18430000
15,21110535;-59,70789000
15,25878906;-53,38612000
15,30647278;-53,53249000
15,35415649;-66,20306000
15,40184021;-54,78460000
15,44952393;-56,56197000
15,49720764;-57,64194000
15,54489136;-55,31882000
15,59257507;-55,48851000
15,64025879;-54,30833000
15,68794250;-57,17892000
15,73562622;-72,19015000
15,78330994;-70,84045000
15,83099365;-58,69205000
15,87867737;-56,12725000
15,92636108;-58,04340000
15,97404480;-55,89312000
16,02172852;-53,11556000
16,06941223;-55,27117000
16,11709595;-56,96927000
16,16477966;-52,45380000
16,21246338;-49,68269000
16,26014709;-51,78695000
16,30783081;-56,87172000
16,35551453;-57,98440000
16,40319824;-59,68842000
16,45088196;-59,52906000
16,49856567;-56,14361000
16,54624939;-59,10229000
16,59393311;-57,56581000
16,64161682;-48,89284000
16,68930054;-48,24593000
16,73698425;-49,74451000
16,78466797;-52,67765000
16,83235168;-54,63482000
16,88003540;-62,78820000
16,92771912;-49,08967000
16,97540283;-48,71702000
17,02308655;-52,94722000
17,07077026;-70,35971000
17,11845398;-55,94205000
17,16613770;-54,27048000
17,21382141;-65,93105000
17,26150513;-53,47391000
