Frequency;Channel A
(kHz);(dBu)

11,63482666;-43,78939000
11,68251038;-44,43571000
11,73019409;-47,74139000
11,77787781;-56,75334000
11,82556152;-63,87706000
11,87324524;-64,63013000
11,92092896;-66,76919000
11,96861267;-56,01274000
12,01629639;-62,00887000
12,06398010;-57,16900000
12,11166382;-53,27054000
12,15934753;-51,72965000
12,20703125;-53,17232000
12,25471497;-51,53793000
12,30239868;-46,58346000
12,35008240;-48,58966000
12,39776611;-47,90825000
12,44544983;-46,89685000
12,49313354;-49,05842000
12,54081726;-48,71276000
12,58850098;-47,75505000
12,63618469;-50,64226000
12,68386841;-57,92186000
12,73155212;-65,84036000
12,77923584;-57,80098000
12,82691956;-55,27752000
12,87460327;-72,75334000
12,92228699;-54,95197000
12,96997070;-51,65675000
13,01765442;-51,46599000
13,06533813;-57,78018000
13,11302185;-58,37482000
13,16070557;-51,15488000
13,20838928;-51,93226000
13,25607300;-57,20805000
13,30375671;-53,99241000
13,35144043;-61,97132000
13,39912415;-55,39063000
13,44680786;-48,32676000
13,49449158;-48,78407000
13,54217529;-57,35738000
13,58985901;-60,61615000
13,63754272;-66,45825000
13,68522644;-62,47215000
13,73291016;-54,18459000
13,78059387;-51,52439000
13,82827759;-54,73621000
13,87596130;-58,17005000
13,92364502;-58,26312000
13,97132874;-61,18867000
14,01901245;-67,61775000
14,06669617;-65,27084000
14,11437988;-66,61511000
14,16206360;-73,52122000
14,20974731;-62,81234000
14,25743103;-55,59054000
14,30511475;-52,62989000
14,35279846;-49,02948000
14,40048218;-47,91409000
14,44816589;-50,33567000
14,49584961;-52,46812000
14,54353333;-49,37206000
14,59121704;-50,42487000
14,63890076;-56,49130000
14,68658447;-64,08001000
14,73426819;-54,42108000
14,78195190;-55,85056000
14,82963562;-56,95732000
14,87731934;-49,11185000
14,92500305;-48,78857000
14,97268677;-54,52381000
15,02037048;-59,77344000
15,06805420;-51,68308000
15,11573792;-55,61998000
15,16342163;-63,41128000
15,21110535;-58,68851000
15,25878906;-64,49310000
15,30647278;-59,33472000
15,35415649;-59,74546000
15,40184021;-60,41333000
15,44952393;-53,46716000
15,49720764;-49,52983000
15,54489136;-47,74719000
15,59257507;-45,15799000
15,64025879;-45,58908000
15,68794250;-51,75853000
15,73562622;-53,10661000
15,78330994;-54,85095000
15,83099365;-62,47889000
15,87867737;-64,18473000
15,92636108;-56,94860000
15,97404480;-56,62902000
16,02172852;-60,99759000
16,06941223;-57,11476000
16,11709595;-56,26867000
16,16477966;-55,60787000
16,21246338;-52,44257000
16,26014709;-52,52552000
16,30783081;-53,32359000
16,35551453;-51,39207000
16,40319824;-51,02398000
16,45088196;-51,87076000
16,49856567;-62,45226000
16,54624939;-61,25127000
16,59393311;-53,05008000
16,64161682;-55,30486000
16,68930054;-64,23692000
16,73698425;-65,32243000
16,78466797;-76,13854000
16,83235168;-56,55470000
16,88003540;-56,21853000
16,92771912;-57,20559000
16,97540283;-65,30260000
17,02308655;-55,87224000
17,07077026;-47,88490000
17,11845398;-46,41695000
17,16613770;-48,67606000
17,21382141;-51,30793000
17,26150513;-50,01667000
17,30918884;-49,49310000
17,35687256;-49,63044000
17,40455627;-50,32726000
17,45223999;-52,39658000
17,49992371;-56,20103000
17,54760742;-54,97696000
17,59529114;-52,40656000
17,64297485;-52,73796000
17,69065857;-51,60161000
17,73834229;-50,71347000
17,78602600;-53,01631000
17,83370972;-63,44976000
17,88139343;-65,46311000
17,92907715;-62,18300000
17,97676086;-58,10608000
18,02444458;-55,06014000
18,07212830;-66,02789000
18,11981201;-68,27627000
18,16749573;-65,96870000
18,21517944;-59,15397000
18,26286316;-57,57015000
18,31054688;-55,58377000
18,35823059;-52,28494000
18,40591431;-50,58752000
18,45359802;-52,59927000
18,50128174;-61,61088000
18,54896545;-56,01522000
18,59664917;-52,33858000
18,64433289;-51,92510000
18,69201660;-56,02755000
18,73970032;-58,75481000
18,78738403;-58,36088000
18,83506775;-55,58690000
18,88275146;-55,88759000
18,93043518;-55,74766000
18,97811890;-52,45709000
19,02580261;-50,09013000
19,07348633;-49,96902000
19,12117004;-50,89088000
19,16885376;-52,82692000
19,21653748;-55,00826000
19,26422119;-53,26921000
19,31190491;-57,01252000
19,35958862;-64,09676000
19,40727234;-64,37791000
19,45495605;-63,90319000
19,50263977;-51,81544000
19,55032349;-52,06934000
19,59800720;-63,46518000
19,64569092;-52,56466000
19,69337463;-59,44313000
19,74105835;-55,71118000
19,78874207;-51,12501000
19,83642578;-55,02205000
19,88410950;-68,82726000
19,93179321;-56,51527000
19,97947693;-54,88090000
20,02716064;-52,89106000
20,07484436;-52,85385000
20,12252808;-50,02625000
20,17021179;-54,49092000
20,21789551;-54,52049000
20,26557922;-57,07058000
20,31326294;-63,06242000
20,36094666;-56,05523000
20,40863037;-53,20385000
20,45631409;-53,29878000
20,50399780;-56,37944000
20,55168152;-60,33288000
20,59936523;-53,48531000
20,64704895;-50,08970000
20,69473267;-50,57050000
20,74241638;-59,76174000
20,79010010;-66,76149000
20,83778381;-64,60699000
20,88546753;-57,30351000
20,93315125;-55,33941000
20,98083496;-64,52319000
21,02851868;-57,69743000
21,07620239;-58,31555000
21,12388611;-64,98859000
21,17156982;-56,65707000
21,21925354;-56,68923000
21,26693726;-55,72042000
21,31462097;-59,66578000
21,36230469;-69,62379000
21,40998840;-60,04015000
21,45767212;-55,32833000
21,50535583;-53,50545000
21,55303955;-51,99071000
21,60072327;-53,87610000
21,64840698;-58,58034000
21,69609070;-58,83263000
21,74377441;-55,22226000
21,79145813;-51,43996000
21,83914185;-54,88068000
21,88682556;-58,96260000
21,93450928;-57,96738000
21,98219299;-59,07520000
22,02987671;-58,76389000
22,07756042;-61,19381000
22,12524414;-52,50462000
22,17292786;-55,35971000
22,22061157;-59,84205000
