Frequency;Channel A
(kHz);(dBu)

0,00000000;-25,08611000
0,04768372;-31,64871000
0,09536743;-41,34811000
0,14305115;-44,14210000
0,19073486;-45,63596000
0,23841858;-48,61898000
0,28610229;-53,42760000
0,33378601;-66,48792000
0,38146973;-68,72826000
0,42915344;-63,61269000
0,47683716;-56,03957000
0,52452087;-51,80647000
0,57220459;-69,26902000
0,61988831;-51,20438000
0,66757202;-52,94538000
0,71525574;-60,24786000
0,76293945;-51,97271000
0,81062317;-54,04686000
0,85830688;-53,83530000
0,90599060;-54,30442000
0,95367432;-55,88358000
1,00135803;-72,03900000
1,04904175;-58,18962000
1,09672546;-56,91507000
1,14440918;-54,53798000
1,19209290;-53,39988000
1,23977661;-58,96759000
1,28746033;-54,34204000
1,33514404;-47,37541000
1,38282776;-48,80554000
1,43051147;-56,50292000
1,47819519;-61,28031000
1,52587891;-65,61729000
1,57356262;-60,07082000
1,62124634;-54,73981000
1,66893005;-58,88395000
1,71661377;-63,18919000
1,76429749;-56,86024000
1,81198120;-56,72029000
1,85966492;-58,54948000
1,90734863;-71,98500000
1,95503235;-62,71814000
2,00271606;-57,23295000
2,05039978;-51,86954000
2,09808350;-56,56861000
2,14576721;-60,32148000
2,19345093;-58,18894000
2,24113464;-60,30292000
2,28881836;-58,79755000
2,33650208;-58,15082000
2,38418579;-56,45302000
2,43186951;-57,02888000
2,47955322;-48,11034000
2,52723694;-56,67132000
2,57492065;-44,71867000
2,62260437;-39,40129000
2,67028809;-33,51651000
2,71797180;-13,64633000
2,76565552;-4,82715600
2,81333923;-4,32401900
2,86102295;-8,42216400
2,90870667;-7,00017700
2,95639038;-12,89764000
3,00407410;-27,94426000
3,05175781;-39,92162000
3,09944153;-51,73883000
3,14712524;-49,46199000
3,19480896;-52,88929000
3,24249268;-55,98504000
3,29017639;-50,94912000
3,33786011;-53,14714000
3,38554382;-49,47544000
3,43322754;-49,91398000
3,48091125;-54,14352000
3,52859497;-55,81600000
3,57627869;-71,36016000
3,62396240;-54,16156000
3,67164612;-54,98874000
3,71932983;-58,28865000
3,76701355;-55,35337000
3,81469727;-50,32520000
3,86238098;-49,44382000
3,91006470;-57,33109000
3,95774841;-80,18309000
4,00543213;-59,48767000
4,05311584;-54,36857000
4,10079956;-53,33961000
4,14848328;-66,80521000
4,19616699;-59,40839000
4,24385071;-58,11815000
4,29153442;-61,09737000
4,33921814;-61,50143000
4,38690186;-63,02391000
4,43458557;-62,46348000
4,48226929;-77,71090000
4,52995300;-61,08365000
4,57763672;-51,63107000
4,62532043;-52,78526000
4,67300415;-67,17510000
4,72068787;-55,87243000
4,76837158;-52,55338000
4,81605530;-51,43005000
4,86373901;-53,10965000
4,91142273;-52,36671000
4,95910645;-52,95256000
5,00679016;-54,51325000
5,05447388;-55,68138000
5,10215759;-52,22996000
5,14984131;-50,75344000
5,19752502;-55,29096000
5,24520874;-57,07868000
5,29289246;-55,94222000
5,34057617;-60,40160000
5,38825989;-57,15325000
5,43594360;-51,62540000
5,48362732;-53,88365000
5,53131104;-58,44505000
5,57899475;-59,32495000
5,62667847;-58,95784000
5,67436218;-54,79910000
5,72204590;-63,67484000
5,76972961;-54,98439000
5,81741333;-49,06895000
5,86509705;-48,03925000
5,91278076;-52,03453000
5,96046448;-64,73620000
6,00814819;-56,65874000
6,05583191;-58,20388000
6,10351563;-54,48963000
6,15119934;-61,53231000
6,19888306;-50,55566000
6,24656677;-47,30694000
6,29425049;-50,34104000
