0_x,0_y
2.037629,107.994770
6.345632,108.389397
10.587864,108.652481
14.698554,108.488053
18.907901,107.797457
23.215904,106.613579
27.359479,104.180051
31.601712,104.245822
35.909715,102.568660
40.151947,100.661300
44.459950,99.444536
48.767953,97.898917
53.043070,97.306978
57.285302,96.682153
61.494649,97.175436
65.703995,97.701604
70.044884,98.622398
74.188459,100.332445
78.397805,101.779408
82.738694,102.963286
86.915154,104.508906
91.091615,104.739104
95.399618,106.284724
99.608964,106.547808
103.851195,107.468602
108.159198,107.271289
112.434315,106.021639
116.610775,105.265273
120.820121,104.147165
125.029467,102.108263
129.173041,101.483438
133.349501,99.872048
137.624618,98.490856
141.768192,97.734489
146.043309,96.254641
150.153997,96.550611
154.363343,97.011008
158.539802,97.076779
162.683376,98.096230
166.859836,99.773391
171.102066,100.069361
175.212754,103.292142
179.422099,104.541791
183.631443,105.659899
187.676360,107.271289
191.819934,107.402831
195.996392,107.468602
200.041309,108.093427
204.184882,107.106861
208.394226,106.087410
212.472027,106.120296
216.615600,104.147165
220.792058,103.029057
225.001401,101.286125
229.013432,99.280109
233.091233,99.214338
237.267690,98.162001
241.378377,96.057328
245.423292,97.800260
249.566864,97.208321
253.710435,96.682153
257.755350,100.135132
261.800265,100.496873
266.042492,101.450553
270.087406,104.377364
274.099435,104.344478
278.308777,105.824326
282.518118,107.534373
286.563032,106.843777
290.706602,108.126312
294.784401,108.356511
298.763543,106.186067
302.808456,106.778006
306.919140,105.265273
310.964053,102.963286
315.107622,102.470004
319.152535,100.957270
323.296103,99.280109
327.406786,99.082796
331.451698,97.438520
335.595266,96.188870
339.738834,97.175436
343.750860,97.537176
347.927313,98.096230
352.037995,100.036476
355.984249,101.910950
360.029160,103.555226
364.172727,105.758555
368.184752,106.416266
372.229661,107.468602
376.406113,108.915565
380.451023,108.784023
384.561703,108.652481
388.738154,107.600144
392.848833,106.745121
396.893742,106.514922
401.004421,104.673333
405.115100,103.292142
409.192894,101.746522
413.204916,100.299560
417.348480,98.819711
421.426273,97.306978
425.504065,96.517725
429.483201,96.024443
433.626764,96.254641
437.704556,96.715038
441.683691,100.792842
445.893024,99.247223
449.905044,100.069361
453.982835,102.272691
458.060625,103.390798
462.105530,105.035074
466.018893,106.087410
470.096683,107.468602
474.141587,107.534373
478.022064,108.422282
482.001196,108.159198
486.013214,107.271289
489.959461,107.008205
493.905708,105.725670
497.884839,104.476020
498.509662,103.489455
493.215115,105.199502
488.052109,107.041090
483.020644,108.192083
477.956293,108.290740
472.826171,108.948450
467.860476,107.633030
463.026322,106.876663
457.994855,105.988754
453.094929,103.390798
448.326544,101.582095
443.426618,100.365331
438.526691,98.030459
433.856962,97.833146
429.022805,96.846580
424.221534,96.188870
419.518918,97.767375
414.816302,99.181452
410.047915,100.595529
405.345298,103.160600
400.609796,104.081394
395.874294,105.298158
391.171676,107.337060
386.534829,106.909548
381.897982,107.698801
377.261135,108.520939
372.558516,105.922983
368.053210,106.218953
363.416361,105.396815
358.812398,102.470004
354.274206,101.516324
349.768899,99.937819
345.033393,97.866031
340.560971,97.898917
336.088548,96.123099
331.418813,95.925786
326.781963,97.964688
322.342425,97.833146
317.771345,99.017025
313.266036,102.667317
308.826498,102.733088
304.288303,104.607562
299.881649,107.271289
295.376339,106.120296
290.969686,108.060541
286.497261,109.737703
281.959065,108.027656
277.519525,108.455168
273.112871,106.613579
268.640445,104.870646
264.102249,104.936417
259.794250,103.127714
255.256053,102.042492
250.849398,102.470004
246.541399,101.351896
242.003201,100.365331
237.629431,101.582095
233.354317,101.319011
228.947661,101.779408
224.573890,102.733088
220.200119,104.081394
215.760577,104.903532
211.353921,106.087410
207.013035,106.942434
202.672149,106.646464
198.331263,107.073976
193.957491,108.027656
189.616605,107.304175
185.308604,105.857212
180.934832,104.311593
176.561060,102.404233
172.253059,102.667317
167.977943,101.516324
163.571285,100.003590
159.296169,98.918368
155.021053,97.767375
150.614395,96.846580
146.306393,97.011008
142.031276,97.142550
137.690389,98.063345
133.283730,99.872048
129.140156,101.450553
124.733497,103.160600
120.359724,104.574677
116.216149,105.955868
111.809490,103.949852
107.501488,107.600144
103.226371,108.323625
98.984139,107.961885
94.709022,107.928999
90.401019,107.008205
86.027245,105.627013
81.719243,104.344478
77.378354,102.601546
73.103237,100.924384
68.795234,99.411651
64.553002,98.096230
60.212114,96.451954
55.936996,96.254641
51.694764,96.057328
47.353876,98.589513
43.045872,98.162001
38.737869,98.622398
34.364095,100.431102
30.121863,101.779408
25.879631,102.437118
21.440086,104.870646
17.132083,106.054525
12.856965,106.251838
8.450305,106.909548
4.142302,106.778006
-0.132815,105.988754
-4.440819,105.429700
-8.748822,104.903532
-13.056825,102.601546
-17.364828,101.812293
-21.705716,100.233789
-26.079491,98.457971
-30.420379,97.734489
-34.728382,96.846580
-39.102156,95.827129
-43.541701,97.471405
-47.685276,96.715038
-52.026165,98.622398
-56.432824,101.023041
-60.642170,101.582095
-65.015944,104.048508
-69.356832,105.824326
-73.631949,105.725670
-77.939952,107.435717
-82.182183,107.994770
-86.523071,107.468602
-90.929730,107.501488
-95.237732,106.186067
-99.578620,105.133730
-103.919508,105.100845
-108.194624,102.733088
-112.469740,101.483438
-116.810628,100.463987
-120.987088,97.635833
-125.327975,97.734489
-129.603091,96.747924
-133.878207,95.498274
-138.120437,97.241207
-142.494210,97.767375
-146.703554,98.688169
-150.978670,101.812293
-155.385327,102.765973
-159.627557,103.884081
-163.869787,105.758555
-168.177788,106.514922
-172.485788,106.416266
-176.728018,107.896114
-181.003133,106.449151
-185.212476,105.495471
-189.421820,106.416266
-193.598278,104.508906
-197.906278,103.094829
-202.181392,102.042492
-206.423620,100.858613
-210.665849,99.082796
-214.973848,98.786826
