"Frequency[kHz]","Channel[dBu]"
11.63482666,-60.73369000
11.68251038,-57.43409000
11.73019409,-57.21349000
11.77787781,-56.40437000
11.82556152,-51.65227000
11.87324524,-52.33371000
11.92092896,-56.28724000
11.96861267,-56.54740000
12.01629639,-57.30196000
12.06398010,-63.71861000
12.11166382,-56.34193000
12.15934753,-52.06606000
12.20703125,-58.52394000
12.25471497,-53.99541000
12.30239868,-49.58146000
12.35008240,-47.43108000
12.39776611,-47.56458000
12.44544983,-52.45972000
12.49313354,-52.82261000
12.54081726,-49.24135000
12.58850098,-50.29608000
12.63618469,-57.41088000
12.68386841,-61.05683000
12.73155212,-56.25256000
12.77923584,-61.49086000
12.82691956,-59.09142000
12.87460327,-53.54282000
12.92228699,-52.67416000
12.96997070,-54.20574000
13.01765442,-59.75826000
13.06533813,-58.69827000
13.11302185,-61.96901000
13.16070557,-55.95074000
13.20838928,-51.78169000
13.25607300,-52.76274000
13.30375671,-57.74039000
13.35144043,-59.34002000
13.39912415,-53.74393000
13.44680786,-50.03675000
13.49449158,-51.75150000
13.54217529,-61.24211000
13.58985901,-69.40718000
13.63754272,-65.76746000
13.68522644,-60.22924000
13.73291016,-59.88802000
13.78059387,-57.82156000
13.82827759,-57.20109000
13.87596130,-58.93249000
13.92364502,-60.29622000
13.97132874,-56.77349000
14.01901245,-63.95466000
14.06669617,-53.65778000
14.11437988,-56.03459000
14.16206360,-69.82844000
14.20974731,-60.02930000
14.25743103,-53.18277000
14.30511475,-58.40452000
14.35279846,-56.40419000
14.40048218,-51.80750000
14.44816589,-49.79606000
14.49584961,-49.58372000
14.54353333,-52.69291000
14.59121704,-57.97263000
14.63890076,-54.95930000
14.68658447,-60.74877000
14.73426819,-54.06644000
14.78195190,-50.64371000
14.82963562,-50.74413000
14.87731934,-51.51786000
14.92500305,-55.35658000
14.97268677,-56.74103000
15.02037048,-56.28125000
15.06805420,-61.47305000
15.11573792,-68.99262000
15.16342163,-59.02984000
15.21110535,-52.34141000
15.25878906,-50.13517000
15.30647278,-53.40983000
15.35415649,-71.30681000
15.40184021,-55.56059000
15.44952393,-52.47605000
15.49720764,-52.45006000
15.54489136,-54.23899000
15.59257507,-57.59703000
15.64025879,-61.39658000
15.68794250,-64.88209000
15.73562622,-61.71439000
15.78330994,-56.31025000
15.83099365,-54.10145000
15.87867737,-55.16585000
15.92636108,-51.98367000
15.97404480,-49.52927000
16.02172852,-51.06898000
16.06941223,-59.08608000
16.11709595,-61.53563000
16.16477966,-51.95809000
16.21246338,-48.13291000
16.26014709,-46.85165000
16.30783081,-47.37747000
16.35551453,-48.99986000
16.40319824,-51.21867000
16.45088196,-56.02739000
16.49856567,-59.86453000
16.54624939,-61.97998000
16.59393311,-60.26003000
16.64161682,-55.30710000
16.68930054,-56.19965000
16.73698425,-54.91003000
16.78466797,-53.66602000
16.83235168,-58.32632000
16.88003540,-63.56575000
16.92771912,-56.72000000
16.97540283,-52.11253000
17.02308655,-52.63321000
17.07077026,-57.88710000
17.11845398,-59.00806000
17.16613770,-53.98160000
17.21382141,-53.26575000
17.26150513,-59.76132000
17.30918884,-57.29530000
17.35687256,-50.64560000
17.40455627,-50.77962000
17.45223999,-62.52287000
17.49992371,-55.65380000
17.54760742,-55.53757000
17.59529114,-56.47248000
17.64297485,-55.34949000
17.69065857,-56.28744000
17.73834229,-56.71629000
17.78602600,-56.25012000
17.83370972,-62.80129000
17.88139343,-69.39278000
17.92907715,-63.41778000
17.97676086,-55.61991000
18.02444458,-54.72931000
18.07212830,-56.55441000
18.11981201,-56.56610000
18.16749573,-52.12308000
18.21517944,-51.42987000
18.26286316,-53.97277000
18.31054688,-53.11891000
18.35823059,-57.62264000
18.40591431,-70.77222000
18.45359802,-68.98233000
18.50128174,-61.99776000
18.54896545,-61.85792000
18.59664917,-57.72499000
18.64433289,-57.96249000
18.69201660,-57.51572000
18.73970032,-53.78085000
18.78738403,-53.16595000
18.83506775,-52.67926000
18.88275146,-55.52262000
18.93043518,-56.21322000
18.97811890,-51.93697000
19.02580261,-54.20173000
19.07348633,-60.45543000
19.12117004,-59.57761000
19.16885376,-57.60824000
19.21653748,-52.56792000
19.26422119,-51.74654000
19.31190491,-52.69706000
19.35958862,-59.13572000
19.40727234,-75.15069000
19.45495605,-54.57043000
19.50263977,-54.30576000
19.55032349,-59.68158000
19.59800720,-56.38838000
19.64569092,-52.15372000
19.69337463,-51.65211000
19.74105835,-53.58765000
19.78874207,-52.78259000
19.83642578,-52.13873000
19.88410950,-57.26436000
19.93179321,-68.08814000
19.97947693,-53.23187000
20.02716064,-50.32190000
20.07484436,-51.07560000
20.12252808,-53.98391000
20.17021179,-52.95281000
20.21789551,-52.57120000
20.26557922,-53.64980000
20.31326294,-51.67839000
20.36094666,-52.59983000
20.40863037,-53.93843000
20.45631409,-56.74167000
20.50399780,-60.28284000
20.55168152,-60.31113000
20.59936523,-55.65663000
20.64704895,-51.36006000
20.69473267,-52.66457000
20.74241638,-54.21143000
20.79010010,-52.80445000
20.83778381,-48.48394000
20.88546753,-49.91754000
20.93315125,-62.80651000
20.98083496,-55.91610000
21.02851868,-56.79823000
21.07620239,-59.71791000
21.12388611,-56.72269000
21.17156982,-55.43122000
21.21925354,-58.97446000
21.26693726,-59.76849000
21.31462097,-63.50080000
21.36230469,-69.15891000
21.40998840,-60.50296000
21.45767212,-65.20999000
21.50535583,-67.92651000
21.55303955,-61.59879000
21.60072327,-63.33184000
21.64840698,-64.27145000
21.69609070,-65.60820000
21.74377441,-64.52701000
21.79145813,-71.32602000
21.83914185,-58.07636000
21.88682556,-51.57058000
21.93450928,-52.87354000
21.98219299,-59.50054000
22.02987671,-65.39111000
22.07756042,-67.91569000
22.12524414,-54.44283000
22.17292786,-54.12399000
22.22061157,-60.54742000
22.26829529,-58.19022000
22.31597900,-53.96680000
22.36366272,-51.84803000
22.41134644,-57.26167000
22.45903015,-59.51672000
22.50671387,-61.45536000
22.55439758,-66.35751000
22.60208130,-61.10209000
22.64976501,-70.94747000
22.69744873,-61.56796000
22.74513245,-60.60108000
22.79281616,-60.03991000
22.84049988,-60.69469000
22.88818359,-54.15255000
22.93586731,-50.35459000
22.98355103,-53.70972000
23.03123474,-64.57763000
23.07891846,-53.23187000
23.12660217,-57.55768000
23.17428589,-57.92935000
23.22196960,-54.51828000
23.26965332,-52.60221000
23.31733704,-54.96674000
23.36502075,-69.31730000
23.41270447,-64.05693000
23.46038818,-60.66139000
23.50807190,-54.87026000
23.55575562,-49.87205000
23.60343933,-49.36183000
23.65112305,-55.00298000
23.69880676,-59.17854000
23.74649048,-57.68654000
23.79417419,-55.90060000
23.84185791,-70.82498000
23.88954163,-53.48770000
23.93722534,-54.16450000
23.98490906,-61.22915000
24.03259277,-55.41192000
24.08027649,-58.67028000
24.12796021,-63.60609000
24.17564392,-55.94573000
24.22332764,-54.88065000
24.27101135,-53.39201000
24.31869507,-50.43822000
24.36637878,-56.30086000
24.41406250,-58.73475000
24.46174622,-54.60371000
24.50942993,-52.70233000
24.55711365,-54.47614000
24.60479736,-55.43810000
24.65248108,-54.02393000
24.70016479,-57.86037000
24.74784851,-56.82225000
24.79553223,-52.22869000
24.84321594,-52.48603000
24.89089966,-56.99865000
24.93858337,-60.52002000
24.98626709,-58.87609000
25.03395081,-58.11863000
25.08163452,-59.01888000
25.12931824,-53.84151000
25.17700195,-62.26185000
25.22468567,-62.06756000
25.27236938,-56.43909000
25.32005310,-54.50729000
25.36773682,-54.95673000
25.41542053,-55.43919000
25.46310425,-56.12941000
25.51078796,-49.66313000
25.55847168,-47.27142000
25.60615540,-48.47246000
25.65383911,-48.93703000
25.70152283,-51.43232000
25.74920654,-55.70587000
25.79689026,-54.11283000
25.84457397,-54.54485000
25.89225769,-54.69358000
25.93994141,-51.62631000
25.98762512,-52.19277000
26.03530884,-54.39984000
26.08299255,-55.81133000
26.13067627,-61.08059000
26.17835999,-61.94498000
26.22604370,-60.84196000
26.27372742,-61.02975000
26.32141113,-61.05715000
26.36909485,-63.97426000
26.41677856,-53.95382000
26.46446228,-51.84082000
26.51214600,-55.23574000
26.55982971,-54.40222000
26.60751343,-53.56995000
26.65519714,-59.18797000
26.70288086,-53.93791000
26.75056458,-52.73233000
26.79824829,-57.53101000
26.84593201,-49.97237000
26.89361572,-48.20335000
26.94129944,-51.90739000
26.98898315,-54.11316000
27.03666687,-53.02881000
27.08435059,-55.67791000
27.13203430,-68.87144000
27.17971802,-62.92775000
27.22740173,-65.67059000
27.27508545,-54.22402000
27.32276917,-52.08767000
27.37045288,-52.65056000
27.41813660,-51.59278000
27.46582031,-52.40112000
27.51350403,-57.33373000
27.56118774,-60.71021000
27.60887146,-66.87630000
27.65655518,-58.41877000
27.70423889,-57.60428000
27.75192261,-57.01703000
27.79960632,-59.85615000
27.84729004,-52.11248000
27.89497375,-49.89930000
27.94265747,-53.24324000
27.99034119,-58.87245000
28.03802490,-53.47453000
28.08570862,-54.28563000
28.13339233,-55.89101000
28.18107605,-50.76527000
28.22875977,-51.50627000
28.27644348,-58.76108000
28.32412720,-64.96379000
28.37181091,-58.15256000
28.41949463,-56.17583000
28.46717834,-55.83636000
28.51486206,-57.33151000
28.56254578,-55.60674000
28.61022949,-52.73767000
28.65791321,-52.56126000
28.70559692,-52.93182000
28.75328064,-59.35594000
28.80096436,-52.84630000
28.84864807,-54.49672000
28.89633179,-62.25029000
28.94401550,-58.60334000
28.99169922,-56.55101000
29.03938293,-57.88698000
29.08706665,-55.66567000
29.13475037,-55.30829000
29.18243408,-57.28875000
29.23011780,-55.32832000
29.27780151,-54.96814000
29.32548523,-55.87831000
29.37316895,-57.22631000
29.42085266,-68.90965000
29.46853638,-66.72498000
29.51622009,-63.39651000
29.56390381,-67.24174000
29.61158752,-59.03057000
29.65927124,-55.70150000
29.70695496,-52.13058000
29.75463867,-51.59599000
29.80232239,-50.27388000
29.85000610,-49.78449000
29.89768982,-50.86348000
29.94537354,-51.51625000
29.99305725,-51.63996000
30.04074097,-53.37978000
30.08842468,-60.50719000
30.13610840,-59.57983000
30.18379211,-55.83855000
30.23147583,-57.07801000
30.27915955,-54.21938000
30.32684326,-53.61303000
30.37452698,-58.65688000
30.42221069,-67.30148000
30.46989441,-56.24260000
30.51757813,-57.22710000
30.56526184,-61.31954000
30.61294556,-53.14290000
30.66062927,-59.35661000
30.70831299,-68.24628000
30.75599670,-68.38103000
30.80368042,-76.62042000
30.85136414,-59.19740000
30.89904785,-58.79040000
30.94673157,-57.54745000
30.99441528,-56.92055000
31.04209900,-61.98047000
31.08978271,-69.10811000
31.13746643,-60.60610000
31.18515015,-53.30506000
31.23283386,-53.73176000
31.28051758,-59.51536000
31.32820129,-62.68087000
31.37588501,-65.25659000
31.42356873,-54.30899000
31.47125244,-50.24722000
31.51893616,-55.44812000
31.56661987,-59.22976000
31.61430359,-59.94711000
31.66198730,-65.34653000
31.70967102,-57.75935000
31.75735474,-53.12864000
31.80503845,-54.80174000
31.85272217,-63.97630000
31.90040588,-56.42362000
31.94808960,-53.08315000
31.99577332,-56.41231000
32.04345703,-61.25287000
32.09114075,-58.67664000
32.13882446,-58.14676000
32.18650818,-57.81364000
32.23419189,-64.78438000
32.28187561,-51.82953000
32.32955933,-51.34185000
32.37724304,-56.55464000
32.42492676,-56.45111000
32.47261047,-61.58954000
32.52029419,-54.78146000
32.56797791,-63.04158000
32.61566162,-63.34987000
32.66334534,-58.41481000
32.71102905,-52.99558000
32.75871277,-55.17204000
32.80639648,-63.86909000
32.85408020,-73.86980000
32.90176392,-63.57839000
32.94944763,-58.97959000
32.99713135,-69.05489000
33.04481506,-57.78997000
33.09249878,-56.84221000
33.14018250,-65.24059000
33.18786621,-69.39931000
33.23554993,-64.68400000
33.28323364,-61.56648000
33.33091736,-55.91524000
33.37860107,-50.69962000
33.42628479,-48.95931000
33.47396851,-51.28008000
33.52165222,-57.78057000
33.56933594,-61.60406000
33.61701965,-64.21256000
33.66470337,-59.33645000
33.71238708,-55.14416000
33.76007080,-59.37403000
33.80775452,-56.68309000
33.85543823,-55.00402000
33.90312195,-63.64691000
33.95080566,-54.29153000
33.99848938,-53.64452000
34.04617310,-54.51105000
34.09385681,-52.44340000
34.14154053,-51.53098000
34.18922424,-50.98213000
34.23690796,-52.87523000
34.28459167,-67.21815000
34.33227539,-55.57392000
34.37995911,-53.28724000
34.42764282,-57.77703000
34.47532654,-78.58896000
34.52301025,-74.03778000
34.57069397,-73.58105000
34.61837769,-67.15091000
34.66606140,-59.26055000
34.71374512,-61.41162000
34.76142883,-61.15933000
34.80911255,-58.83551000
34.85679626,-61.40332000
34.90447998,-58.94824000
34.95216370,-55.52958000
34.99984741,-54.86163000
35.04753113,-54.54463000
35.09521484,-55.24327000
35.14289856,-71.48094000
35.19058228,-56.71365000
35.23826599,-56.90278000
35.28594971,-63.96497000
35.33363342,-59.53265000
35.38131714,-53.12347000
35.42900085,-52.66558000
35.47668457,-56.26485000
35.52436829,-54.59190000
35.57205200,-52.00579000
35.61973572,-53.87501000
35.66741943,-70.91279000
35.71510315,-57.19459000
35.76278687,-58.25264000
35.81047058,-57.01425000
35.85815430,-58.67662000
35.90583801,-59.96711000
35.95352173,-58.20331000
36.00120544,-56.60564000
36.04888916,-55.48400000
36.09657288,-61.98799000
36.14425659,-59.36899000
36.19194031,-56.22141000
36.23962402,-73.42640000
36.28730774,-55.44542000
36.33499146,-53.20984000
36.38267517,-54.64412000
36.43035889,-56.98055000
36.47804260,-64.11698000
36.52572632,-56.82270000
36.57341003,-65.45988000
36.62109375,-57.49966000
36.66877747,-54.74581000
36.71646118,-55.77705000
36.76414490,-70.68292000
