"Time[ms]","Channel[V]"
-0.09077901,2.09967400
-0.08821901,1.92327600
-0.08565901,1.92327600
-0.08309901,1.92327600
-0.08053901,1.92327600
-0.07797901,1.92327600
-0.07541901,1.92327600
-0.07285901,1.74687900
-0.07029901,1.74687900
-0.06773901,1.74687900
-0.06517901,1.74687900
-0.06261901,1.74687900
-0.06005901,1.74687900
-0.05749901,1.57048200
-0.05493901,1.57048200
-0.05237901,1.57048200
-0.04981901,1.39469600
-0.04725901,1.39469600
-0.04469901,1.21829900
-0.04213901,1.21829900
-0.03957901,1.21829900
-0.03701901,1.04190200
-0.03445901,1.04190200
-0.03189901,1.04190200
-0.02933901,0.86550490
-0.02677901,0.86550490
-0.02421901,0.68971830
-0.02165901,0.68971830
-0.01909901,0.51332130
-0.01653901,0.51332130
-0.01397901,0.51332130
-0.01141901,0.33692430
-0.00885901,0.33692430
-0.00629901,0.16052740
-0.00373901,0.16052740
-0.00117901,0.16052740
0.00138099,-0.01525925
0.00394099,-0.19104590
0.00650099,-0.19104590
0.00906099,-0.36744280
0.01162099,-0.36744280
0.01418099,-0.36744280
0.01674099,-0.54383980
0.01930099,-0.54383980
0.02186099,-0.72023680
0.02442099,-0.89602350
0.02698099,-0.89602350
0.02954099,-1.07242000
0.03210099,-1.07242000
0.03466099,-1.07242000
0.03722099,-1.24881700
0.03978099,-1.24881700
0.04234099,-1.42521400
0.04490099,-1.60100100
0.04746099,-1.60100100
0.05002099,-1.60100100
0.05258099,-1.77739800
0.05514099,-1.77739800
0.05770099,-1.95379500
0.06026099,-1.95379500
0.06282099,-1.95379500
0.06538099,-1.95379500
0.06794099,-2.13019200
0.07050099,-2.13019200
0.07306099,-2.30597900
0.07562099,-2.30597900
0.07818099,-2.48237600
0.08074099,-2.48237600
0.08330099,-2.48237600
0.08586099,-2.48237600
0.08842099,-2.48237600
0.09098099,-2.65877200
0.09354099,-2.65877200
0.09610099,-2.65877200
0.09866099,-2.65877200
0.10122099,-2.65877200
0.10378099,-2.83517000
0.10634099,-2.83517000
0.10890099,-2.83517000
0.11146099,-2.83517000
0.11402099,-3.01095600
0.11658099,-3.01095600
0.11914099,-2.83517000
0.12170099,-3.01095600
0.12426099,-3.01095600
0.12682099,-3.01095600
0.12938099,-3.01095600
0.13194099,-3.01095600
0.13450099,-3.01095600
0.13706099,-3.01095600
0.13962099,-3.01095600
0.14218099,-2.83517000
0.14474099,-3.01095600
0.14730099,-3.01095600
0.14986099,-2.83517000
0.15242099,-3.01095600
0.15498099,-3.01095600
0.15754099,-2.83517000
0.16010099,-2.83517000
0.16266099,-2.65877200
0.16522099,-2.65877200
0.16778099,-2.65877200
0.17034099,-2.65877200
0.17290099,-2.65877200
0.17546099,-2.48237600
0.17802099,-2.48237600
0.18058099,-2.48237600
0.18314099,-2.30597900
0.18570099,-2.30597900
0.18826099,-2.30597900
0.19082099,-2.13019200
