X	Y
0	42.000
1	41.005
2	41.009
3	40.991
4	40.333
5	40.318
6	40.981
7	40.978
8	40.975
9	41.915
10	41.953
11	42.000
12	41.943
13	41.000
14	40.000
15	38.451
16	38.950
17	39.000
18	39.000
19	38.060
20	38.063
21	38.766
22	39.667
23	39.667
24	39.667
25	38.785
26	38.789
27	38.794
28	38.667
29	38.667
30	37.808
31	37.480
32	37.484
33	36.489
34	36.774
35	36.777
36	37.447
37	39.000
38	39.821
39	39.000
40	39.189
41	40.667
42	41.469
43	38.464
44	38.667
45	40.121
46	40.333
47	41.112
48	41.333
49	42.102
50	41.607
51	41.506
52	41.164
53	43.417
54	44.667
55	45.407
56	46.138
57	47.398
58	47.940
59	46.426
60	45.616
61	45.000
62	45.708
63	47.703
64	49.698
65	51.387
66	51.689
67	53.333
68	52.107
69	50.000
70	49.000
71	48.665
72	50.660
73	53.344
74	55.000
75	56.020
76	56.667
77	57.667
78	57.299
79	56.582
80	58.000
81	58.618
82	58.591
83	60.550
84	60.937
85	60.932
86	61.333
87	63.000
88	63.415
89	64.086
90	64.091
91	65.237
92	65.233
93	65.667
94	65.667
95	65.781
96	68.333
97	70.667
98	73.667
99	69.866
100	71.333
101	72.857
102	71.852
103	72.847
104	75.000
105	76.333
106	74.833
107	77.333
108	76.843
109	76.695
110	77.667
111	79.000
112	80.000
113	81.000
114	82.000
115	81.458
116	82.000
117	82.115
118	82.110
119	82.105
120	82.667
121	84.667
122	85.667
123	87.914
124	87.918
125	87.923
126	88.928
127	89.932
128	91.333
129	92.667
130	93.053
131	90.382
132	90.755
133	91.667
134	91.667
135	92.303
136	92.667
137	93.333
138	93.984
139	94.333
140	94.673
141	95.668
142	96.664
143	97.333
144	97.333
145	96.333
146	95.956
147	95.000
148	96.000
149	97.333
150	97.333
151	97.333
152	98.333
153	98.333
154	99.333
155	100.000
156	100.264
157	102.741
158	103.000
159	103.000
160	102.000
161	102.000
162	103.000
163	105.102
164	105.333
165	105.555
166	106.550
167	106.546
168	106.541
169	106.536
170	106.531
171	105.807
172	106.811
173	107.000
174	107.000
175	107.000
176	106.830
177	105.835
178	105.160
179	106.000
180	106.849
181	107.000
182	107.000
183	107.000
184	106.132
185	106.000
186	106.000
187	106.118
188	105.113
189	105.108
190	105.104
191	105.099
192	106.000
193	106.090
194	106.085
195	106.000
196	106.000
197	106.929
198	107.000
199	106.061
200	106.000
201	105.052
202	105.000
203	105.042
204	105.000
205	105.000
206	104.972
207	104.976
208	105.000
209	105.000
210	105.009
211	103.995
212	104.000
213	104.000
214	104.000
215	104.000
216	103.000
217	103.000
218	102.028
219	102.934
220	101.962
221	101.000
222	100.000
223	101.333
224	101.333
225	101.333
226	101.399
227	101.333
228	101.333
229	100.333
230	100.333
231	101.423
232	101.333
233	100.432
234	100.437
235	99.442
236	98.447
237	98.333
238	98.333
239	98.333
240	97.465
241	97.333
242	97.333
243	98.520
244	96.818
245	96.667
246	96.667
247	96.667
248	96.667
249	96.667
250	96.667
251	94.667
252	94.667
253	94.000
254	94.000
255	93.000
256	93.000
257	92.000
258	92.000
259	92.000
260	91.774
261	91.000
262	90.000
263	88.241
264	88.755
265	89.000
266	90.000
267	90.000
268	88.736
269	87.269
270	88.000
271	89.000
272	88.717
273	87.000
274	85.708
275	83.297
276	84.302
277	86.000
278	85.311
279	85.000
280	84.000
281	81.341
282	80.336
283	81.667
284	81.327
285	80.011
286	80.365
287	80.667
288	81.025
289	81.000
290	81.000
291	81.000
292	80.623
293	80.618
294	80.613
295	80.000
296	79.604
297	79.401
298	79.406
299	79.000
300	77.415
301	78.086
302	78.091
303	78.096
304	78.667
305	79.228
306	79.667
307	77.667
308	79.302
309	80.582
310	80.129
311	78.134
312	77.138
313	78.667
314	80.667
315	81.153
316	81.157
317	81.003
318	80.000
319	79.171
320	78.686
321	79.667
322	80.667
323	79.667
324	79.667
325	79.667
326	79.667
327	80.209
328	80.667
329	81.667
330	81.667
331	80.667
332	80.000
333	81.096
334	81.000
335	81.387
336	81.805
337	82.000
338	82.000
339	83.599
340	83.604
341	84.217
342	84.000
343	85.000
344	85.000
345	85.373
346	85.368
347	85.363
348	85.358
349	86.000
350	87.000
351	87.656
352	89.000
353	89.000
354	90.000
355	89.675
356	90.000
357	91.000
358	91.311
359	92.307
360	93.000
361	93.000
362	92.708
363	93.712
364	93.717
365	94.667
366	95.667
367	95.936
368	96.667
369	97.667
370	97.667
371	98.667
372	98.667
373	99.426
374	99.667
375	100.667
376	101.667
377	102.000
378	102.217
379	101.788
380	101.792
381	102.000
382	102.802
383	103.807
384	104.000
385	104.816
386	105.821
387	104.000
388	104.000
389	104.835
390	105.000
391	105.000
392	106.000
393	106.000
394	106.000
395	106.000
396	106.868
397	107.000
398	108.877
399	110.000
400	110.113
401	110.000
402	109.000
403	108.099
404	109.000
405	109.090
406	110.000
407	109.000
408	109.925
409	110.667
410	112.535
411	112.605
412	113.610
413	115.896
414	116.906
415	117.000
416	118.000
417	119.000
418	120.972
419	122.310
420	122.333
421	123.310
422	123.327
423	123.338
424	124.333
425	124.333
426	124.333
427	124.319
428	124.333
429	125.667
430	124.695
431	124.667
432	124.667
433	125.667
434	126.667
435	127.667
436	128.667
437	129.667
438	129.667
439	129.667
440	130.591
441	130.667
442	131.582
443	130.756
444	129.761
445	129.568
446	129.459
447	129.667
448	131.440
449	131.667
450	131.667
451	131.539
452	131.535
453	132.197
454	132.192
455	131.520
456	130.667
457	130.667
458	129.827
459	130.664
460	131.333
461	131.000
462	131.821
463	132.000
464	132.000
465	132.000
466	132.000
467	132.000
468	132.792
469	133.000
470	133.783
471	134.778
472	135.000
473	135.769
474	135.236
475	137.333
476	138.333
477	139.333
478	139.333
479	139.333
480	138.597
481	139.333
482	139.607
483	139.612
484	141.333
485	141.621
486	139.918
487	140.630
488	141.635
489	142.720
490	140.645
491	141.017
492	141.333
493	141.667
494	141.336
495	141.002
496	141.667
497	140.667
498	140.667
499	140.313
500	140.308
501	140.667
502	140.667
503	141.667
504	142.044
505	142.049
506	142.667
507	141.667
508	142.063
509	142.068
510	142.667
511	141.846
512	141.667
513	142.086
514	141.242
515	140.808
516	139.667
517	139.789
518	139.223
519	138.667
520	138.667
521	138.791
522	139.258
523	138.333
524	138.333
525	138.333
526	139.333
527	139.333
528	139.333
529	140.333
530	140.333
531	138.333
532	138.333
533	139.333
534	139.333
535	139.333
536	139.333
537	138.333
538	138.333
539	138.333
540	138.333
541	139.333
542	139.890
543	140.333
544	141.333
545	142.333
546	142.333
547	141.333
548	140.333
549	140.923
550	139.333
551	139.333
552	139.333
553	139.333
554	139.333
555	138.951
556	137.711
557	137.333
558	137.333
559	137.697
560	138.333
561	137.333
562	136.682
563	137.333
564	137.333
565	136.333
566	135.333
567	135.333
568	135.333
