X	Y
532	139.766
533	140.528
534	140.523
535	139.482
536	139.243
537	139.000
538	139.752
539	141.250
540	141.748
541	142.745
542	143.229
543	142.000
544	143.000
545	144.000
546	146.000
547	147.731
548	148.000
549	148.727
550	148.517
551	149.000
552	149.000
553	149.000
554	149.000
555	149.287
556	150.000
557	150.472
558	151.176
559	151.766
560	151.766
561	152.667
562	153.363
563	154.361
564	155.359
565	155.356
566	156.125
567	158.000
568	158.683
569	158.680
570	159.356
571	159.009
572	159.333
573	160.662
574	160.442
575	160.889
576	161.555
577	164.108
578	165.227
579	166.543
580	167.770
581	168.203
582	168.984
583	166.981
584	167.000
585	167.357
586	167.145
587	168.426
588	169.424
589	169.333
590	169.965
591	169.704
592	170.333
593	170.584
594	171.585
595	172.033
596	172.794
597	173.667
598	173.667
599	174.944
600	174.811
601	175.414
602	175.805
603	177.200
604	177.000
605	177.527
606	177.522
607	178.592
608	177.590
609	178.196
610	178.195
611	178.889
612	179.893
613	180.052
614	180.203
615	180.098
616	180.095
617	180.667
618	181.233
619	181.231
620	181.229
621	182.040
622	181.891
623	182.888
624	183.184
625	184.150
626	185.151
627	185.151
628	185.609
629	185.612
630	185.615
631	186.154
632	186.155
633	185.156
634	184.627
635	183.982
636	183.508
637	183.856
638	183.854
639	182.815
640	183.818
641	183.991
642	184.993
643	186.333
644	186.333
645	185.837
646	186.333
647	185.833
648	185.830
649	186.333
650	186.333
651	186.660
652	186.634
653	186.971
654	187.450
655	187.148
656	187.145
657	186.984
658	187.509
659	187.333
660	187.333
661	188.978
662	188.976
663	188.796
664	189.333
665	189.333
666	189.333
667	188.786
668	189.333
669	190.448
670	191.000
671	191.000
672	191.559
673	191.561
674	191.000
675	191.000
676	191.432
677	191.430
678	192.000
679	191.425
680	192.000
681	192.667
682	193.248
683	193.805
684	194.391
685	195.000
686	195.000
687	196.187
688	196.000
689	196.000
690	195.400
691	195.598
692	195.597
693	196.202
694	196.203
695	195.239
696	196.233
697	195.845
698	195.460
699	195.838
700	195.835
701	196.084
702	196.085
703	196.667
704	196.667
705	196.032
706	196.029
707	196.027
708	196.025
709	196.667
710	196.667
711	196.667
712	197.318
713	197.320
714	196.979
715	196.325
716	196.327
717	196.330
718	195.667
719	195.667
720	195.667
721	195.994
722	195.992
723	196.990
724	196.988
725	196.985
726	196.983
727	197.353
728	197.355
729	198.357
730	198.360
731	199.362
732	198.667
733	198.667
734	198.667
735	197.371
736	197.374
737	196.957
738	196.955
739	196.953
740	196.950
741	197.136
742	197.132
743	197.667
744	197.667
745	196.939
746	196.936
747	195.934
748	195.197
749	196.404
750	196.406
751	196.408
752	196.411
753	196.920
754	196.918
755	197.667
756	196.913
757	196.911
758	197.425
759	196.427
760	196.429
761	196.432
762	196.434
763	195.564
764	195.561
765	195.559
766	195.557
767	195.333
768	196.115
769	196.117
770	195.333
771	194.545
772	193.543
773	193.541
774	194.333
775	193.333
776	193.333
777	193.333
778	193.333
779	192.333
780	192.333
781	192.063
782	192.062
783	192.693
784	191.879
785	191.821
786	191.000
787	191.000
788	191.000
789	191.000
790	191.000
791	191.000
792	191.000
793	191.000
794	191.000
795	191.000
796	191.000
797	191.000
798	191.000
799	190.853
800	190.855
801	190.000
802	189.140
803	189.713
804	190.576
805	190.578
806	190.449
807	190.000
808	190.874
809	190.000
810	189.121
811	188.317
812	189.000
813	189.076
814	189.000
815	188.073
816	188.072
817	188.772
818	187.770
819	187.767
820	186.961
821	186.763
822	186.760
823	187.061
824	186.970
825	186.971
826	186.972
827	186.973
828	186.973
829	186.052
830	186.050
831	187.927
832	187.000
833	186.955
834	187.825
835	184.709
836	184.646
837	184.647
838	183.648
839	183.667
840	183.667
841	184.000
842	184.000
843	184.000
844	183.957
845	183.333
846	183.333
847	183.262
848	183.300
849	183.282
850	183.286
851	180.667
852	179.643
853	178.971
854	177.974
855	177.350
856	177.363
857	178.337
858	179.327
859	179.333
860	179.328
861	178.338
862	178.334
863	179.000
864	179.000
865	178.006
866	178.000
867	177.011
868	177.013
869	177.000
870	177.000
871	177.000
872	177.022
873	176.333
874	176.009
875	175.000
876	174.000
877	174.000
878	173.964
879	171.961
880	171.000
881	171.957
882	171.954
883	170.000
884	170.000
885	170.316
886	170.315
887	170.000
888	170.000
889	170.000
890	170.312
891	170.333
892	170.333
893	169.667
894	169.667
895	169.333
896	169.333
897	169.333
898	169.333
899	168.667
900	168.667
901	169.244
902	169.241
903	166.667
904	166.667
905	165.865
906	165.667
907	165.667
908	165.667
909	165.667
910	165.667
911	165.333
912	164.333
913	163.451
914	162.453
915	163.000
916	163.000
917	163.000
918	163.000
919	161.667
920	161.667
921	161.531
922	160.805
923	160.807
924	160.810
925	160.479
926	160.481
927	160.483
928	161.333
929	161.333
930	161.333
931	160.493
932	159.495
933	159.333
934	158.500
935	159.000
936	160.000
937	160.000
938	160.000
939	160.178
940	160.000
941	160.000
942	160.815
943	160.000
944	160.000
945	161.000
946	161.000
947	161.000
948	161.000
949	160.000
950	160.000
951	161.000
952	161.208
953	162.000
954	162.000
955	162.000
956	162.000
957	161.000
958	161.000
959	160.224
960	160.227
961	160.667
962	160.898
963	161.667
964	161.667
965	161.905
966	162.667
967	163.667
968	163.667
969	165.000
970	166.000
971	164.667
972	164.921
973	165.667
974	165.667
975	166.667
976	166.667
977	167.667
978	167.667
979	169.333
980	170.333
981	170.667
982	170.667
983	169.947
984	170.667
985	171.667
986	172.667
987	173.667
988	172.958
989	173.667
990	172.963
991	175.667
992	175.667
993	175.000
994	176.000
995	176.000
996	176.310
997	177.000
998	177.000
999	177.350
1000	178.347
1001	179.345
1002	179.667
1003	179.000
1004	179.000
1005	180.002
1006	180.333
1007	180.002
1008	180.667
1009	180.673
1010	181.333
1011	183.333
1012	183.333
1013	183.667
1014	183.667
1015	183.687
1016	184.333
1017	185.333
1018	186.333
1019	186.333
1020	186.276
1021	188.035
1022	188.667
1023	187.248
1024	188.000
1025	188.711
1026	189.333
1027	189.333
1028	189.333
1029	191.000
1030	192.000
1031	192.000
1032	192.000
1033	193.000
1034	194.000
1035	194.000
1036	194.000
1037	194.333
1038	193.333
1039	194.924
1040	195.333
1041	195.000
1042	195.000
1043	196.667
1044	196.667
1045	196.333
1046	196.907
1047	197.000
1048	197.431
1049	198.000
1050	199.000
1051	200.000
1052	200.000
1053	200.442
1054	200.445
1055	201.000
1056	202.551
1057	201.667
1058	202.667
1059	202.667
1060	202.667
1061	203.206
1062	202.537
1063	203.000
1064	204.000
1065	204.000
1066	204.000
1067	203.475
1068	203.477
1069	203.667
1070	204.148
1071	205.667
1072	205.667
1073	204.667
1074	204.667
1075	205.333
1076	205.333
1077	206.333
1078	206.333
1079	206.333
1080	206.168
1081	207.333
1082	207.000
1083	207.000
1084	208.000
1085	208.000
1086	208.000
1087	208.000
1088	208.000
1089	210.000
1090	210.000
1091	210.000
1092	210.000
1093	210.000
1094	210.000
1095	210.460
1096	211.000
1097	211.000
1098	211.000
1099	212.000
1100	211.551
1101	211.220
1102	210.667
1103	210.667
1104	210.667
1105	211.229
1106	211.667
1107	211.667
1108	211.667
1109	211.667
1110	211.667
1111	211.000
1112	211.000
1113	210.837
1114	211.584
1115	211.586
1116	212.000
1117	212.000
1118	212.000
1119	212.333
1120	212.333
1121	212.333
1122	212.936
1123	213.333
1124	214.333
1125	214.333
1126	214.333
1127	215.667
1128	215.667
1129	216.285
1130	215.667
1131	215.667
1132	216.292
1133	216.294
1134	216.297
1135	216.667
1136	216.667
1137	216.667
1138	216.667
1139	216.667
1140	216.311
1141	216.313
1142	216.315
1143	214.984
1144	215.333
1145	214.333
1146	214.333
1147	214.333
1148	214.333
1149	215.667
1150	215.667
1151	215.667
1152	215.667
1153	215.667
1154	216.667
1155	216.667
1156	216.667
1157	216.667
1158	217.667
1159	215.667
1160	216.667
1161	216.667
1162	216.667
1163	216.667
1164	215.667
1165	214.333
1166	214.333
1167	213.333
1168	213.333
1169	213.333
1170	213.333
1171	213.333
1172	213.333
1173	213.333
1174	213.333
1175	214.333
1176	213.333
1177	212.333
1178	213.333
1179	213.333
1180	213.333
1181	213.333
1182	212.333
1183	212.667
1184	212.667
1185	211.667
1186	211.667
1187	211.667
1188	211.667
1189	210.667
1190	210.667
1191	210.667
1192	210.667
1193	210.434
1194	209.667
1195	210.000
1196	210.000
1197	209.776
1198	209.779
1199	209.000
1200	209.000
1201	208.667
1202	208.667
1203	208.667
1204	208.459
1205	208.667
1206	208.667
1207	207.667
1208	207.667
1209	207.667
1210	206.860
1211	207.667
1212	207.667
1213	207.480
1214	206.851
1215	205.333
1216	204.333
1217	203.667
1218	203.842
1219	203.667
1220	202.837
1221	202.667
1222	201.667
1223	203.279
1224	202.333
1225	201.333
1226	201.333
1227	200.333
1228	200.333
1229	199.333
1230	197.481
1231	197.667
1232	197.667
1233	197.667
1234	197.667
1235	197.333
1236	196.333
1237	196.333
1238	195.376
1239	194.333
1240	194.333
1241	193.333
1242	193.214
1243	192.333
1244	191.333
1245	191.000
1246	190.000
1247	190.000
1248	190.000
1249	190.000
1250	190.000
1251	188.366
1252	188.365
1253	187.667
1254	187.667
1255	187.089
1256	187.000
1257	186.000
1258	185.000
1259	185.587
1260	184.667
1261	183.667
1262	183.667
1263	183.333
1264	183.379
1265	184.000
1266	183.000
1267	182.272
1268	181.274
1269	181.333
1270	180.333
1271	179.614
1272	179.617
1273	178.619
1274	177.667
1275	177.333
1276	177.333
1277	177.333
1278	176.405
1279	177.978
1280	177.333
1281	176.324
1282	176.000
1283	177.333
1284	176.311
1285	176.333
1286	176.333
1287	175.318
1288	174.333
1289	174.333
1290	174.325
1291	173.333
1292	173.330
1293	172.333
1294	172.333
1295	172.670
1296	172.672
1297	172.000
1298	171.010
1299	171.013
1300	171.015
1301	172.000
1302	172.000
1303	173.000
1304	173.000
1305	173.000
1306	173.971
1307	173.000
1308	172.034
1309	172.036
1310	172.038
1311	171.707
1312	171.710
1313	172.667
1314	172.667
1315	173.617
1316	172.667
1317	172.667
1318	171.723
1319	173.667
1320	173.667
1321	173.667
1322	173.667
1323	173.667
1324	173.737
1325	174.667
1326	174.667
1327	175.000
1328	175.000
1329	175.667
1330	176.667
1331	176.667
1332	176.667
1333	177.667
1334	177.667
1335	175.763
1336	176.765
1337	177.768
1338	177.770
1339	178.561
1340	178.667
1341	178.333
1342	180.221
1343	180.333
1344	180.333
1345	181.667
1346	181.667
1347	182.333
1348	183.333
1349	184.333
1350	185.202
1351	184.667
1352	184.667
1353	185.529
1354	184.807
1355	185.333
1356	186.333
1357	186.481
1358	187.333
1359	187.515
1360	188.512
1361	189.333
1362	189.333
1363	189.495
1364	190.333
1365	192.167
1366	193.165
1367	193.000
1368	194.173
1369	194.650
1370	195.000
1371	196.154
1372	196.333
1373	197.877
1374	198.813
1375	199.811
1376	199.809
1377	200.613
1378	199.804
1379	196.802
1380	193.000
1381	189.000
1382	187.000
1383	185.277
1384	186.280
1385	187.970
1386	189.977
1387	192.767
1388	194.772
1389	198.443
1390	199.338
1391	200.667
1392	201.667
1393	203.000
1394	204.000
1395	204.902
1396	205.904
1397	208.093
1398	207.758
1399	209.000
1400	208.667
1401	208.417
1402	209.667
1403	209.667
1404	211.410
1405	210.000
1406	210.000
1407	210.263
1408	210.000
1409	211.667
1410	211.937
1411	211.727
1412	212.000
1413	212.277
1414	212.279
1415	213.376
1416	213.379
1417	213.286
1418	214.000
1419	214.000
1420	214.000
1421	214.000
1422	214.000
1423	215.333
1424	215.333
1425	215.333
1426	216.333
1427	216.667
1428	216.667
1429	216.667
1430	216.667
1431	216.667
1432	216.667
1433	217.333
1434	217.333
1435	217.333
1436	217.333
1437	217.333
1438	217.333
1439	216.333
1440	216.333
1441	216.333
1442	216.333
1443	217.333
1444	217.333
1445	217.667
1446	217.667
1447	217.548
1448	217.547
1449	217.306
1450	216.667
1451	216.545
1452	217.177
1453	218.333
1454	218.333
1455	217.959
1456	217.333
1457	217.333
1458	216.333
1459	216.077
1460	215.076
1461	215.722
1462	215.333
1463	214.060
1464	214.062
1465	214.064
1466	214.067
1467	214.667
1468	214.667
1469	215.667
1470	215.667
1471	215.667
1472	215.667
1473	215.667
1474	215.667
1475	216.088
1476	216.667
1477	216.667
1478	216.667
1479	216.523
1480	216.522
1481	216.667
1482	216.667
1483	216.227
1484	215.667
1485	215.667
1486	215.667
1487	215.667
1488	215.667
1489	213.880
1490	213.333
1491	213.333
1492	212.873
1493	212.512
1494	212.512
1495	211.866
1496	211.333
1497	211.333
1498	211.333
1499	210.667
1500	210.667
1501	210.667
1502	210.183
1503	209.153
1504	208.667
1505	209.000
1506	209.333
1507	208.333
1508	208.333
1509	208.333
1510	208.333
1511	207.667
1512	207.160
1513	206.667
1514	206.667
1515	206.667
1516	206.667
1517	206.333
1518	205.813
1519	205.333
1520	205.333
1521	203.667
1522	203.667
1523	203.667
1524	203.667
1525	202.975
1526	202.667
1527	201.875
1528	201.877
1529	200.333
1530	199.333
1531	199.333
1532	198.667
1533	198.000
1534	197.705
1535	196.480
1536	196.229
1537	195.667
1538	194.811
1539	193.903
1540	193.333
1541	192.333
1542	192.333
1543	191.333
1544	191.333
1545	191.000
1546	191.000
1547	190.412
1548	190.000
1549	189.000
1550	188.000
1551	188.667
1552	188.667
1553	187.398
1554	187.000
1555	185.869
1556	186.000
1557	187.000
1558	186.387
1559	185.051
1560	184.667
1561	184.667
1562	184.667
1563	183.667
1564	183.667
1565	184.000
1566	183.000
1567	182.577
1568	182.576
1569	181.694
1570	181.333
1571	181.667
1572	180.667
1573	180.333
1574	180.333
1575	179.898
1576	178.897
1577	179.333
1578	178.333
1579	177.333
1580	177.333
1581	177.000
1582	177.000
1583	178.224
1584	178.225
1585	177.000
1586	177.000
1587	176.667
1588	175.984
1589	174.895
1590	175.208
1591	176.000
1592	176.000
1593	175.667
1594	175.667
1595	176.667
1596	176.667
1597	176.667
1598	176.667
1599	176.667
1600	176.667
1601	177.380
1602	177.667
1603	177.667
1604	177.947
1605	178.667
1606	178.667
1607	178.667
1608	178.667
1609	179.488
1610	179.489
1611	180.333
1612	180.333
1613	181.592
