Frequency;Channel A
(kHz);(dBu)

11,63482666;-59,45832000
11,68251038;-56,27266000
11,73019409;-51,13395000
11,77787781;-52,04082000
11,82556152;-51,88831000
11,87324524;-56,05400000
11,92092896;-59,90189000
11,96861267;-56,95643000
12,01629639;-57,96342000
12,06398010;-53,01895000
12,11166382;-54,38626000
12,15934753;-54,28910000
12,20703125;-54,40190000
12,25471497;-51,81420000
12,30239868;-50,18330000
12,35008240;-49,33756000
12,39776611;-48,09813000
12,44544983;-50,25285000
12,49313354;-55,59806000
12,54081726;-60,48933000
12,58850098;-60,65556000
12,63618469;-56,84472000
12,68386841;-53,20046000
12,73155212;-54,80936000
12,77923584;-53,42554000
12,82691956;-53,12164000
12,87460327;-59,61063000
12,92228699;-60,81186000
12,96997070;-58,27232000
13,01765442;-61,63239000
13,06533813;-57,06952000
13,11302185;-55,02943000
13,16070557;-62,07756000
13,20838928;-58,85022000
13,25607300;-52,94986000
13,30375671;-51,47041000
13,35144043;-54,54705000
13,39912415;-55,67646000
13,44680786;-57,15383000
13,49449158;-53,32524000
13,54217529;-50,04831000
13,58985901;-51,90845000
13,63754272;-56,19995000
13,68522644;-53,98959000
13,73291016;-52,59597000
13,78059387;-49,92818000
13,82827759;-47,74974000
13,87596130;-48,42680000
13,92364502;-53,75179000
13,97132874;-51,11615000
14,01901245;-49,71272000
14,06669617;-50,34359000
14,11437988;-63,53886000
14,16206360;-51,95471000
14,20974731;-51,37670000
14,25743103;-57,27010000
14,30511475;-51,83629000
14,35279846;-53,08978000
14,40048218;-59,78247000
14,44816589;-70,06876000
14,49584961;-57,30835000
14,54353333;-53,73489000
14,59121704;-57,65490000
14,63890076;-62,55325000
14,68658447;-57,65199000
14,73426819;-48,58009000
14,78195190;-47,90035000
14,82963562;-52,79862000
14,87731934;-70,00275000
14,92500305;-54,95245000
14,97268677;-53,11372000
15,02037048;-53,83776000
15,06805420;-53,61473000
15,11573792;-51,73000000
15,16342163;-51,20716000
15,21110535;-56,50085000
15,25878906;-59,52209000
15,30647278;-55,06971000
15,35415649;-51,20177000
15,40184021;-52,36906000
15,44952393;-55,34470000
15,49720764;-51,97388000
15,54489136;-53,39859000
15,59257507;-60,08640000
15,64025879;-62,85316000
15,68794250;-64,69608000
15,73562622;-56,98654000
15,78330994;-54,85006000
15,83099365;-51,68394000
15,87867737;-49,93616000
15,92636108;-52,57008000
15,97404480;-52,09188000
16,02172852;-47,78648000
16,06941223;-49,30509000
16,11709595;-55,96006000
16,16477966;-55,16748000
16,21246338;-53,68430000
16,26014709;-59,99168000
16,30783081;-57,46291000
16,35551453;-60,16892000
16,40319824;-57,54134000
16,45088196;-57,59491000
16,49856567;-70,19080000
16,54624939;-64,68700000
16,59393311;-57,41219000
16,64161682;-56,13329000
16,68930054;-69,44909000
16,73698425;-53,37778000
16,78466797;-52,81644000
16,83235168;-55,11155000
16,88003540;-58,92161000
16,92771912;-62,19986000
16,97540283;-51,84042000
17,02308655;-52,44140000
17,07077026;-50,20681000
17,11845398;-49,42046000
17,16613770;-49,50580000
17,21382141;-49,74718000
17,26150513;-56,48901000
17,30918884;-65,72627000
17,35687256;-52,05771000
17,40455627;-47,66039000
17,45223999;-47,95678000
17,49992371;-52,50842000
17,54760742;-64,08125000
17,59529114;-64,56451000
17,64297485;-55,29551000
17,69065857;-52,90687000
17,73834229;-55,78032000
17,78602600;-57,72408000
17,83370972;-53,41437000
17,88139343;-51,22274000
17,92907715;-53,17080000
17,97676086;-52,61774000
18,02444458;-51,01038000
18,07212830;-50,57093000
18,11981201;-51,04285000
18,16749573;-51,46187000
18,21517944;-52,75773000
18,26286316;-53,12045000
18,31054688;-53,03975000
18,35823059;-57,45372000
18,40591431;-62,44132000
18,45359802;-52,54836000
18,50128174;-49,75687000
18,54896545;-47,74005000
18,59664917;-49,17090000
18,64433289;-53,46142000
18,69201660;-52,78217000
18,73970032;-50,57156000
18,78738403;-49,55238000
18,83506775;-50,05752000
18,88275146;-51,36198000
18,93043518;-51,81581000
18,97811890;-54,81285000
19,02580261;-62,22562000
19,07348633;-69,00021000
19,12117004;-65,40676000
19,16885376;-57,18552000
19,21653748;-52,13985000
19,26422119;-47,38203000
19,31190491;-45,67403000
19,35958862;-47,09440000
19,40727234;-49,36030000
19,45495605;-49,53140000
19,50263977;-49,37939000
19,55032349;-52,98304000
19,59800720;-68,13673000
19,64569092;-58,65374000
19,69337463;-53,14033000
19,74105835;-52,24101000
19,78874207;-54,43980000
19,83642578;-55,71941000
19,88410950;-56,98509000
19,93179321;-53,77085000
19,97947693;-59,88827000
20,02716064;-76,88391000
20,07484436;-57,06091000
20,12252808;-51,59732000
20,17021179;-52,89795000
20,21789551;-65,47732000
20,26557922;-58,36295000
20,31326294;-53,36985000
20,36094666;-50,90812000
20,40863037;-51,98912000
20,45631409;-57,98672000
20,50399780;-61,86979000
20,55168152;-63,31297000
20,59936523;-56,99767000
20,64704895;-54,70556000
20,69473267;-61,57134000
20,74241638;-60,89398000
20,79010010;-53,40125000
20,83778381;-52,69022000
20,88546753;-58,73135000
20,93315125;-55,09027000
20,98083496;-62,10204000
21,02851868;-57,63988000
21,07620239;-55,37294000
21,12388611;-56,64043000
21,17156982;-56,82850000
21,21925354;-63,06310000
21,26693726;-67,87663000
21,31462097;-63,14049000
21,36230469;-55,79576000
21,40998840;-54,70512000
21,45767212;-56,72874000
21,50535583;-55,78039000
21,55303955;-62,16600000
21,60072327;-49,99050000
21,64840698;-49,94892000
21,69609070;-50,31596000
21,74377441;-53,18892000
21,79145813;-53,79833000
21,83914185;-50,03390000
21,88682556;-54,17303000
21,93450928;-64,67038000
21,98219299;-54,52877000
22,02987671;-52,76569000
22,07756042;-54,73310000
22,12524414;-53,08567000
22,17292786;-57,53597000
22,22061157;-61,52464000
22,26829529;-55,24717000
22,31597900;-53,35117000
22,36366272;-59,68721000
22,41134644;-62,94175000
22,45903015;-58,19447000
22,50671387;-54,96592000
22,55439758;-55,89667000
22,60208130;-57,21065000
22,64976501;-54,31068000
22,69744873;-58,61392000
22,74513245;-59,14450000
22,79281616;-52,25152000
22,84049988;-52,39687000
22,88818359;-58,58953000
22,93586731;-64,76396000
22,98355103;-58,32611000
23,03123474;-56,28751000
23,07891846;-59,63733000
23,12660217;-58,35801000
23,17428589;-54,70535000
23,22196960;-56,64070000
23,26965332;-66,06238000
23,31733704;-63,58224000
23,36502075;-58,30235000
23,41270447;-55,68731000
23,46038818;-55,18943000
23,50807190;-55,94373000
23,55575562;-53,25153000
23,60343933;-54,09404000
23,65112305;-62,07832000
23,69880676;-60,98431000
23,74649048;-59,84172000
23,79417419;-66,35743000
23,84185791;-63,01018000
23,88954163;-59,17942000
23,93722534;-52,76871000
23,98490906;-54,76010000
24,03259277;-69,23084000
24,08027649;-52,71590000
24,12796021;-49,80246000
24,17564392;-51,64052000
24,22332764;-57,27793000
24,27101135;-54,53010000
24,31869507;-56,02162000
24,36637878;-64,31229000
24,41406250;-64,20377000
24,46174622;-61,72995000
24,50942993;-65,50180000
24,55711365;-66,78218000
24,60479736;-58,15534000
24,65248108;-57,61982000
24,70016479;-61,74526000
24,74784851;-61,32928000
24,79553223;-63,79488000
24,84321594;-69,03962000
24,89089966;-78,59225000
24,93858337;-67,61805000
24,98626709;-64,78644000
25,03395081;-54,67480000
25,08163452;-57,49904000
25,12931824;-54,22842000
25,17700195;-52,72618000
25,22468567;-55,19693000
25,27236938;-54,16491000
25,32005310;-54,86832000
25,36773682;-64,01068000
25,41542053;-65,77988000
25,46310425;-68,99545000
25,51078796;-67,52235000
25,55847168;-74,77862000
25,60615540;-68,46783000
25,65383911;-87,00782000
25,70152283;-57,96325000
25,74920654;-52,88160000
25,79689026;-52,44540000
25,84457397;-54,89005000
25,89225769;-56,82577000
25,93994141;-53,42751000
25,98762512;-49,16563000
26,03530884;-46,73821000
26,08299255;-49,37319000
26,13067627;-56,10760000
26,17835999;-63,70811000
26,22604370;-59,52837000
26,27372742;-56,60349000
26,32141113;-54,25133000
26,36909485;-59,50829000
26,41677856;-58,34647000
26,46446228;-64,57887000
26,51214600;-52,12845000
26,55982971;-51,07712000
26,60751343;-55,62086000
26,65519714;-61,94664000
26,70288086;-63,75922000
26,75056458;-55,88082000
26,79824829;-57,11971000
26,84593201;-58,44744000
26,89361572;-55,60786000
26,94129944;-51,34639000
26,98898315;-51,33191000
27,03666687;-61,62725000
27,08435059;-52,70926000
27,13203430;-54,33054000
27,17971802;-49,82074000
27,22740173;-47,53584000
27,27508545;-50,02797000
27,32276917;-53,63683000
27,37045288;-58,10065000
27,41813660;-56,17464000
27,46582031;-51,27274000
27,51350403;-54,34409000
27,56118774;-71,03408000
27,60887146;-55,10824000
27,65655518;-55,55530000
27,70423889;-52,84850000
27,75192261;-50,05899000
27,79960632;-50,54292000
27,84729004;-57,50428000
27,89497375;-57,48850000
27,94265747;-58,55843000
27,99034119;-58,37771000
28,03802490;-53,85922000
28,08570862;-61,62024000
28,13339233;-58,15947000
28,18107605;-57,07609000
28,22875977;-64,23308000
28,27644348;-57,47793000
28,32412720;-56,67991000
28,37181091;-57,76089000
28,41949463;-61,88820000
28,46717834;-57,55206000
28,51486206;-56,29906000
28,56254578;-57,87541000
28,61022949;-60,39535000
28,65791321;-68,39456000
28,70559692;-69,44455000
28,75328064;-66,03541000
28,80096436;-69,65025000
28,84864807;-59,35390000
28,89633179;-60,22864000
28,94401550;-75,44331000
28,99169922;-58,79468000
29,03938293;-62,60513000
29,08706665;-58,97963000
29,13475037;-54,05706000
29,18243408;-51,60618000
29,23011780;-53,84276000
29,27780151;-63,88781000
29,32548523;-63,99395000
29,37316895;-55,03648000
29,42085266;-54,98595000
29,46853638;-60,74216000
29,51622009;-62,07605000
29,56390381;-58,60518000
29,61158752;-65,86028000
29,65927124;-58,42652000
29,70695496;-64,75200000
29,75463867;-56,04887000
29,80232239;-61,60397000
29,85000610;-90,26991000
29,89768982;-65,34489000
29,94537354;-55,65902000
29,99305725;-53,75809000
30,04074097;-61,60289000
30,08842468;-66,66366000
30,13610840;-64,92697000
30,18379211;-58,01123000
30,23147583;-56,91043000
30,27915955;-66,52116000
30,32684326;-62,42520000
30,37452698;-51,71017000
30,42221069;-49,48616000
30,46989441;-51,14649000
30,51757813;-53,25044000
30,56526184;-53,11115000
30,61294556;-56,11984000
30,66062927;-77,33497000
30,70831299;-53,82386000
30,75599670;-57,82158000
30,80368042;-56,30327000
