Frequency;Channel A
(kHz);(dBu)

0,00000000;-25,29428000
0,04768372;-31,84528000
0,09536743;-43,63254000
0,14305115;-59,18502000
0,19073486;-50,42778000
0,23841858;-50,07798000
0,28610229;-48,69891000
0,33378601;-46,52166000
0,38146973;-52,06148000
0,42915344;-57,98007000
0,47683716;-56,58365000
0,52452087;-61,73899000
0,57220459;-56,37399000
0,61988831;-57,09653000
0,66757202;-59,29578000
0,71525574;-54,45812000
0,76293945;-52,47466000
0,81062317;-52,72496000
0,85830688;-47,99673000
0,90599060;-45,41809000
0,95367432;-46,77782000
1,00135803;-52,20354000
1,04904175;-66,79425000
1,09672546;-51,48186000
1,14440918;-52,19796000
1,19209290;-55,29984000
1,23977661;-58,06940000
1,28746033;-54,17799000
1,33514404;-53,64431000
1,38282776;-52,49608000
1,43051147;-57,92163000
1,47819519;-64,59005000
1,52587891;-58,99435000
1,57356262;-54,33193000
1,62124634;-51,89827000
1,66893005;-49,56794000
1,71661377;-48,57975000
1,76429749;-49,60379000
1,81198120;-56,65165000
1,85966492;-57,53594000
1,90734863;-54,91079000
1,95503235;-48,82789000
2,00271606;-50,29869000
2,05039978;-51,96123000
2,09808350;-56,06861000
2,14576721;-58,83012000
2,19345093;-63,45566000
2,24113464;-47,82336000
2,28881836;-46,69823000
2,33650208;-44,74589000
2,38418579;-49,17728000
2,43186951;-43,32637000
2,47955322;-47,54522000
2,52723694;-41,11547000
2,57492065;-64,99522000
2,62260437;-38,84412000
2,67028809;-20,36164000
2,71797180;-7,28402000
2,76565552;-2,39451900
2,81333923;-3,81578100
2,86102295;-6,14674600
2,90870667;-4,75455000
2,95639038;-7,35277600
3,00407410;-16,86419000
3,05175781;-34,72359000
3,09944153;-43,55764000
3,14712524;-47,76681000
3,19480896;-57,05145000
3,24249268;-49,14287000
3,29017639;-54,47836000
3,33786011;-47,34851000
3,38554382;-58,83139000
3,43322754;-53,06363000
3,48091125;-56,14193000
3,52859497;-50,71596000
3,57627869;-50,98417000
3,62396240;-51,93125000
3,67164612;-76,08350000
3,71932983;-55,91563000
3,76701355;-55,10168000
3,81469727;-64,19505000
3,86238098;-57,04736000
3,91006470;-54,98729000
3,95774841;-54,61893000
4,00543213;-54,19645000
4,05311584;-51,00769000
4,10079956;-52,44328000
4,14848328;-52,53430000
4,19616699;-54,13664000
4,24385071;-52,16214000
4,29153442;-54,71788000
4,33921814;-54,60241000
4,38690186;-58,97847000
4,43458557;-60,39629000
4,48226929;-54,57683000
4,52995300;-53,77594000
4,57763672;-56,86913000
4,62532043;-53,25023000
4,67300415;-54,15994000
4,72068787;-60,89842000
4,76837158;-62,31470000
4,81605530;-60,21767000
4,86373901;-59,63032000
4,91142273;-53,40386000
4,95910645;-51,05999000
5,00679016;-60,58001000
5,05447388;-54,76888000
5,10215759;-58,58966000
5,14984131;-65,45454000
5,19752502;-49,90910000
5,24520874;-47,49463000
5,29289246;-50,51014000
5,34057617;-61,59036000
5,38825989;-56,31032000
5,43594360;-53,35049000
5,48362732;-53,05416000
5,53131104;-55,97366000
5,57899475;-59,49020000
5,62667847;-51,39719000
5,67436218;-52,92021000
5,72204590;-60,34335000
5,76972961;-49,66671000
5,81741333;-52,46269000
5,86509705;-65,84149000
5,91278076;-59,21062000
5,96046448;-55,73227000
6,00814819;-53,65303000
6,05583191;-55,52008000
6,10351563;-56,84784000
6,15119934;-50,81461000
6,19888306;-54,16431000
6,24656677;-56,09944000
6,29425049;-57,00219000
