"Frequency[kHz]","Channel A[dBu]"
11.63482666,-56.84248000
11.68251038,-55.65993000
11.73019409,-60.71821000
11.77787781,-52.80373000
11.82556152,-51.98223000
11.87324524,-70.05389000
11.92092896,-66.30772000
11.96861267,-56.37385000
12.01629639,-53.18882000
12.06398010,-63.18377000
12.11166382,-58.64140000
12.15934753,-61.53591000
12.20703125,-54.56353000
12.25471497,-56.27035000
12.30239868,-58.64655000
12.35008240,-69.96589000
12.39776611,-54.94833000
12.44544983,-64.66512000
12.49313354,-55.35487000
12.54081726,-56.37326000
12.58850098,-62.92276000
12.63618469,-62.04777000
12.68386841,-59.39865000
12.73155212,-57.49146000
12.77923584,-61.43736000
12.82691956,-56.28091000
12.87460327,-54.60278000
12.92228699,-71.67924000
12.96997070,-54.31926000
13.01765442,-58.10014000
13.06533813,-57.98368000
13.11302185,-63.76528000
13.16070557,-60.07768000
13.20838928,-55.50697000
13.25607300,-63.43533000
13.30375671,-53.46515000
13.35144043,-55.75687000
13.39912415,-68.70493000
13.44680786,-61.41483000
13.49449158,-62.46500000
13.54217529,-57.99605000
13.58985901,-59.03514000
13.63754272,-55.30639000
13.68522644,-54.17466000
13.73291016,-66.20045000
13.78059387,-63.48213000
13.82827759,-61.48546000
13.87596130,-56.55859000
13.92364502,-67.91680000
13.97132874,-69.36393000
14.01901245,-54.47042000
14.06669617,-64.22118000
14.11437988,-57.09636000
14.16206360,-53.29188000
14.20974731,-61.48177000
14.25743103,-53.88924000
14.30511475,-71.94989000
14.35279846,-60.48022000
14.40048218,-59.30106000
14.44816589,-56.93639000
14.49584961,-62.81102000
14.54353333,-58.71370000
14.59121704,-64.86692000
14.63890076,-60.74592000
14.68658447,-60.66211000
14.73426819,-57.70565000
14.78195190,-56.38988000
14.82963562,-55.21656000
14.87731934,-63.68141000
14.92500305,-56.47207000
14.97268677,-59.61353000
15.02037048,-60.57882000
15.06805420,-78.10174000
15.11573792,-56.37578000
15.16342163,-60.29999000
15.21110535,-60.74677000
15.25878906,-58.50662000
15.30647278,-57.50574000
15.35415649,-72.51994000
15.40184021,-57.75631000
15.44952393,-54.26398000
15.49720764,-62.64690000
15.54489136,-61.48294000
15.59257507,-63.60811000
15.64025879,-64.74254000
15.68794250,-60.37815000
15.73562622,-60.98508000
15.78330994,-52.90344000
15.83099365,-69.28204000
15.87867737,-63.49220000
15.92636108,-54.73403000
15.97404480,-57.36069000
16.02172852,-59.64566000
16.06941223,-63.80438000
16.11709595,-54.47296000
16.16477966,-66.46651000
16.21246338,-56.89785000
16.26014709,-82.11655000
16.30783081,-57.25249000
16.35551453,-59.43060000
16.40319824,-72.80970000
16.45088196,-58.39973000
16.49856567,-53.24545000
16.54624939,-59.42713000
16.59393311,-65.55269000
16.64161682,-64.00259000
16.68930054,-55.39307000
16.73698425,-67.31528000
16.78466797,-62.45732000
16.83235168,-61.48265000
16.88003540,-55.17147000
16.92771912,-78.42952000
16.97540283,-65.51440000
17.02308655,-60.00705000
17.07077026,-59.50988000
17.11845398,-63.07976000
17.16613770,-56.23402000
17.21382141,-68.17746000
17.26150513,-56.03745000
17.30918884,-59.23895000
17.35687256,-55.86809000
17.40455627,-61.86089000
17.45223999,-63.50195000
17.49992371,-56.29125000
17.54760742,-62.71489000
17.59529114,-63.44781000
17.64297485,-58.14880000
17.69065857,-56.07719000
17.73834229,-62.74470000
17.78602600,-62.68046000
17.83370972,-57.45331000
17.88139343,-62.10973000
17.92907715,-55.32913000
17.97676086,-65.88812000
18.02444458,-65.03194000
18.07212830,-55.48219000
18.11981201,-59.80076000
18.16749573,-67.39807000
18.21517944,-63.26969000
18.26286316,-66.58137000
18.31054688,-57.24148000
18.35823059,-67.52336000
18.40591431,-55.34680000
18.45359802,-63.57757000
18.50128174,-60.96696000
18.54896545,-55.13079000
18.59664917,-58.70286000
18.64433289,-67.36600000
18.69201660,-58.44321000
18.73970032,-63.38739000
18.78738403,-63.09767000
18.83506775,-60.58544000
18.88275146,-55.76144000
18.93043518,-60.95987000
18.97811890,-56.86870000
19.02580261,-68.42705000
19.07348633,-64.29471000
19.12117004,-65.03824000
19.16885376,-60.21787000
19.21653748,-65.65646000
19.26422119,-59.86600000
19.31190491,-68.02528000
19.35958862,-56.17804000
19.40727234,-69.08402000
19.45495605,-58.32887000
19.50263977,-62.20903000
19.55032349,-66.25441000
19.59800720,-61.53582000
19.64569092,-58.77486000
19.69337463,-64.00088000
19.74105835,-57.85460000
19.78874207,-57.69080000
19.83642578,-73.34302000
19.88410950,-55.30228000
19.93179321,-55.69927000
19.97947693,-57.74940000
20.02716064,-77.48995000
20.07484436,-61.48891000
20.12252808,-67.85255000
20.17021179,-57.89815000
20.21789551,-54.69678000
20.26557922,-54.34091000
20.31326294,-53.19857000
20.36094666,-72.68057000
20.40863037,-56.03190000
20.45631409,-60.91430000
20.50399780,-54.51582000
20.55168152,-60.15380000
20.59936523,-59.59542000
20.64704895,-57.26215000
