"Frequency[kHz]","Channel A[dBu]"

0.00000000,-32.35290000
0.04768372,-39.07103000
0.09536743,-50.29005000
0.14305115,-53.34477000
0.19073486,-55.95251000
0.23841858,-62.53967000
0.28610229,-58.10666000
0.33378601,-53.28598000
0.38146973,-60.08735000
0.42915344,-62.30925000
0.47683716,-55.11342000
0.52452087,-55.08096000
0.57220459,-61.17852000
0.61988831,-65.60977000
0.66757202,-56.96518000
0.71525574,-52.83954000
0.76293945,-53.46511000
0.81062317,-64.96281000
0.85830688,-51.51886000
0.90599060,-57.40505000
0.95367432,-57.74621000
1.00135803,-54.22881000
1.04904175,-57.17013000
1.09672546,-55.11577000
1.14440918,-58.48171000
1.19209290,-50.79998000
1.23977661,-50.86689000
1.28746033,-57.35130000
1.33514404,-51.29536000
1.38282776,-52.44213000
1.43051147,-52.04209000
1.47819519,-50.28039000
1.52587891,-49.78693000
1.57356262,-50.17490000
1.62124634,-50.12566000
1.66893005,-49.55755000
1.71661377,-48.24017000
1.76429749,-48.78314000
1.81198120,-48.23956000
1.85966492,-45.07963000
1.90734863,-46.00226000
1.95503235,-47.40520000
2.00271606,-45.27848000
2.05039978,-45.41254000
2.09808350,-42.70312000
2.14576721,-43.95375000
2.19345093,-44.06381000
2.24113464,-40.67295000
2.28881836,-40.83221000
2.33650208,-41.11319000
2.38418579,-39.13612000
2.43186951,-36.85861000
2.47955322,-37.61470000
2.52723694,-34.94207000
2.57492065,-33.51840000
2.62260437,-31.81987000
2.67028809,-27.46588000
2.71797180,-12.28328000
2.76565552,-2.63742100
2.81333923,-2.46596400
2.86102295,-10.55089000
2.90870667,-5.02597500
2.95639038,-11.32617000
3.00407410,-26.00033000
3.05175781,-30.53891000
3.09944153,-33.76406000
3.14712524,-33.89979000
3.19480896,-35.70716000
3.24249268,-36.85420000
3.29017639,-37.84240000
3.33786011,-38.48153000
3.38554382,-39.84174000
3.43322754,-39.46342000
3.48091125,-41.43460000
3.52859497,-41.34479000
3.57627869,-41.05776000
3.62396240,-42.40510000
3.67164612,-43.41772000
3.71932983,-43.30406000
3.76701355,-42.40428000
3.81469727,-44.88988000
3.86238098,-44.97590000
3.91006470,-44.66878000
3.95774841,-44.86703000
4.00543213,-45.06407000
4.05311584,-47.56593000
4.10079956,-44.23811000
4.14848328,-48.02320000
4.19616699,-44.76202000
4.24385071,-47.53909000
4.29153442,-46.75560000
4.33921814,-48.44176000
4.38690186,-47.24160000
