"Frequency[kHz]","Channel A[dBu]"

0.00000000,-23.33441000
0.04768372,-30.10180000
0.09536743,-43.72900000
0.14305115,-50.32501000
0.19073486,-52.59163000
0.23841858,-53.72198000
0.28610229,-58.74561000
0.33378601,-55.90973000
0.38146973,-66.27772000
0.42915344,-78.24858000
0.47683716,-54.91722000
0.52452087,-59.93073000
0.57220459,-54.78744000
0.61988831,-54.06355000
0.66757202,-54.98838000
0.71525574,-56.78955000
0.76293945,-59.42490000
0.81062317,-54.50473000
0.85830688,-49.85825000
0.90599060,-49.32228000
0.95367432,-53.66402000
1.00135803,-60.30167000
1.04904175,-52.63812000
1.09672546,-55.63288000
1.14440918,-55.99969000
1.19209290,-52.38757000
1.23977661,-60.80811000
1.28746033,-55.24397000
1.33514404,-52.49806000
1.38282776,-57.75577000
1.43051147,-47.29098000
1.47819519,-43.25896000
1.52587891,-42.88298000
1.57356262,-46.23752000
1.62124634,-46.71709000
1.66893005,-45.99821000
1.71661377,-47.93565000
1.76429749,-60.03600000
1.81198120,-56.90751000
1.85966492,-47.82876000
1.90734863,-49.33404000
1.95503235,-63.51566000
2.00271606,-50.52473000
2.05039978,-54.65458000
2.09808350,-61.28061000
2.14576721,-54.79988000
2.19345093,-64.31845000
2.24113464,-50.08856000
2.28881836,-46.64108000
2.33650208,-51.34583000
2.38418579,-19.27384000
2.43186951,-5.29409900
2.47955322,-0.04158528
2.52723694,-2.42401500
2.57492065,-12.98190000
2.62260437,-35.16544000
2.67028809,-41.55732000
2.71797180,-55.46770000
2.76565552,-61.71548000
2.81333923,-47.31640000
2.86102295,-49.60441000
2.90870667,-48.83672000
2.95639038,-51.13374000
3.00407410,-51.16321000
3.05175781,-55.17455000
3.09944153,-54.02319000
3.14712524,-49.82933000
3.19480896,-44.84273000
3.24249268,-42.20665000
3.29017639,-30.88268000
3.33786011,-17.44614000
3.38554382,-10.90269000
3.43322754,-10.88746000
3.48091125,-17.46935000
3.52859497,-30.61695000
3.57627869,-46.38143000
3.62396240,-42.48917000
3.67164612,-57.85075000
3.71932983,-51.80487000
3.76701355,-53.51320000
3.81469727,-58.01544000
3.86238098,-54.92577000
3.91006470,-62.08539000
3.95774841,-55.05978000
4.00543213,-51.45381000
4.05311584,-56.82362000
4.10079956,-58.15324000
4.14848328,-61.18597000
4.19616699,-57.13390000
4.24385071,-62.63214000
4.29153442,-58.31043000
4.33921814,-55.33030000
4.38690186,-59.26112000
4.43458557,-66.24380000
4.48226929,-51.62397000
4.52995300,-44.53185000
4.57763672,-44.84755000
4.62532043,-48.94382000
4.67300415,-50.86145000
4.72068787,-50.56950000
4.76837158,-51.94184000
4.81605530,-61.33629000
4.86373901,-67.07384000
4.91142273,-52.17363000
4.95910645,-51.83248000
5.00679016,-53.42704000
5.05447388,-57.77089000
5.10215759,-62.18237000
5.14984131,-52.00734000
5.19752502,-48.98946000
5.24520874,-53.53770000
5.29289246,-52.67065000
5.34057617,-51.14533000
5.38825989,-61.47165000
5.43594360,-55.37913000
5.48362732,-57.39182000
5.53131104,-64.84592000
5.57899475,-73.86151000
5.62667847,-58.86563000
5.67436218,-59.89834000
5.72204590,-56.88208000
5.76972961,-53.71013000
5.81741333,-57.15697000
5.86509705,-61.70734000
5.91278076,-55.08169000
5.96046448,-57.60795000
6.00814819,-60.38116000
6.05583191,-59.67003000
6.10351563,-59.73064000
6.15119934,-60.08178000
6.19888306,-67.20958000
6.24656677,-54.19404000
6.29425049,-55.53021000
6.34193420,-53.73501000
6.38961792,-48.54274000
6.43730164,-45.86920000
6.48498535,-46.71488000
6.53266907,-55.76276000
6.58035278,-56.54491000
6.62803650,-49.53527000
6.67572021,-50.42363000
6.72340393,-55.39289000
6.77108765,-53.58750000
6.81877136,-51.68270000
6.86645508,-53.91949000
6.91413879,-52.29287000
6.96182251,-51.36282000
7.00950623,-54.17797000
7.05718994,-59.65862000
7.10487366,-67.34307000
7.15255737,-59.97892000
7.20024109,-50.30382000
7.24792480,-48.17208000
7.29560852,-46.02978000
7.34329224,-44.74894000
7.39097595,-48.42455000
7.43865967,-58.71458000
7.48634338,-53.87505000
7.53402710,-46.73893000
7.58171082,-43.71687000
7.62939453,-46.58868000
7.67707825,-50.80217000
7.72476196,-52.03862000
7.77244568,-53.23236000
7.82012939,-57.43523000
7.86781311,-60.04665000
7.91549683,-60.90637000
7.96318054,-58.67944000
8.01086426,-62.01603000
8.05854797,-54.81111000
8.10623169,-52.52804000
8.15391541,-54.85828000
8.20159912,-55.34909000
8.24928284,-49.66750000
8.29696655,-46.97645000
8.34465027,-47.09061000
8.39233398,-50.38068000
8.44001770,-53.76478000
8.48770142,-53.72605000
8.53538513,-61.25628000
8.58306885,-54.60111000
8.63075256,-49.47050000
8.67843628,-49.49088000
8.72612000,-55.82062000
8.77380371,-59.95118000
8.82148743,-52.71535000
8.86917114,-56.50936000
8.91685486,-63.01136000
8.96453857,-55.32158000
9.01222229,-62.67825000
9.05990601,-57.48125000
9.10758972,-55.11150000
9.15527344,-52.89147000
9.20295715,-48.89470000
9.25064087,-47.78699000
9.29832458,-48.89841000
9.34600830,-63.49986000
9.39369202,-54.35273000
9.44137573,-57.33395000
9.48905945,-67.21139000
9.53674316,-64.93393000
9.58442688,-67.01379000
9.63211060,-66.79589000
9.67979431,-53.37406000
9.72747803,-51.19099000
9.77516174,-61.55725000
9.82284546,-55.70393000
9.87052917,-55.59110000
9.91821289,-68.79456000
9.96589661,-52.55087000
10.01358032,-51.40364000
10.06126404,-51.38269000
10.10894775,-58.30322000
10.15663147,-66.55389000
10.20431519,-61.80770000
10.25199890,-56.13224000
10.29968262,-52.22337000
10.34736633,-53.96554000
10.39505005,-55.08193000
10.44273376,-56.48917000
10.49041748,-58.94265000
10.53810120,-57.54726000
10.58578491,-56.08180000
10.63346863,-67.56828000
10.68115234,-54.72942000
10.72883606,-53.59275000
10.77651978,-56.99498000
10.82420349,-56.08716000
10.87188721,-55.48080000
10.91957092,-57.72822000
10.96725464,-59.57224000
11.01493835,-64.60736000
11.06262207,-59.63691000
11.11030579,-65.77403000
11.15798950,-61.10960000
11.20567322,-55.15361000
11.25335693,-54.72369000
11.30104065,-57.73884000
11.34872437,-53.09925000
11.39640808,-51.23049000
11.44409180,-50.14063000
11.49177551,-52.15909000
11.53945923,-57.83680000
11.58714294,-53.08295000
11.63482666,-55.32086000
11.68251038,-56.24951000
11.73019409,-58.19318000
11.77787781,-54.28512000
11.82556152,-50.54840000
11.87324524,-51.05618000
11.92092896,-64.31364000
11.96861267,-53.36320000
12.01629639,-54.76697000
12.06398010,-58.64628000
12.11166382,-51.95129000
12.15934753,-58.24567000
12.20703125,-63.59026000
12.25471497,-54.88611000
12.30239868,-49.38238000
12.35008240,-45.93410000
12.39776611,-45.11225000
12.44544983,-46.94724000
12.49313354,-50.41270000
12.54081726,-47.60832000
12.58850098,-48.24991000
12.63618469,-57.72716000
12.68386841,-57.55748000
12.73155212,-54.16742000
12.77923584,-55.79913000
12.82691956,-58.13913000
12.87460327,-62.75183000
12.92228699,-61.71437000
12.96997070,-54.73639000
13.01765442,-53.30239000
13.06533813,-54.43476000
13.11302185,-62.38293000
13.16070557,-63.88776000
13.20838928,-56.40068000
13.25607300,-54.47248000
13.30375671,-51.49031000
13.35144043,-59.81205000
13.39912415,-52.66253000
13.44680786,-48.95975000
13.49449158,-50.99865000
13.54217529,-57.79829000
13.58985901,-59.04463000
13.63754272,-54.07467000
13.68522644,-54.52589000
13.73291016,-52.86947000
13.78059387,-53.61283000
13.82827759,-57.50681000
13.87596130,-57.70310000
13.92364502,-75.07537000
13.97132874,-60.18645000
14.01901245,-56.60162000
14.06669617,-60.23122000
14.11437988,-51.11267000
14.16206360,-51.13803000
14.20974731,-97.49680000
14.25743103,-57.52309000
14.30511475,-57.10267000
14.35279846,-55.89176000
14.40048218,-63.60664000
14.44816589,-58.70064000
14.49584961,-53.59111000
14.54353333,-50.49754000
14.59121704,-51.27195000
14.63890076,-56.82278000
14.68658447,-52.44003000
14.73426819,-54.56656000
14.78195190,-64.79172000
14.82963562,-64.25491000
14.87731934,-54.87655000
14.92500305,-66.30352000
14.97268677,-51.41472000
15.02037048,-49.65340000
15.06805420,-53.25069000
15.11573792,-57.40661000
15.16342163,-51.62835000
15.21110535,-51.45803000
15.25878906,-54.47771000
15.30647278,-56.92387000
15.35415649,-53.77131000
15.40184021,-50.21508000
15.44952393,-51.75716000
15.49720764,-57.09712000
15.54489136,-50.35640000
15.59257507,-52.76230000
15.64025879,-55.97652000
15.68794250,-67.84435000
15.73562622,-56.50931000
15.78330994,-52.88097000
15.83099365,-50.68918000
15.87867737,-50.23407000
15.92636108,-53.82439000
15.97404480,-56.42340000
16.02172852,-54.22352000
16.06941223,-52.17712000
16.11709595,-49.92925000
16.16477966,-53.20916000
16.21246338,-60.18874000
16.26014709,-67.17897000
16.30783081,-73.20972000
16.35551453,-56.33918000
16.40319824,-51.85030000
16.45088196,-50.45287000
16.49856567,-50.35985000
16.54624939,-52.83615000
16.59393311,-53.52859000
16.64161682,-54.75874000
16.68930054,-61.88225000
16.73698425,-60.56536000
16.78466797,-60.87471000
16.83235168,-66.38686000
16.88003540,-60.75327000
16.92771912,-57.27209000
16.97540283,-57.08054000
17.02308655,-59.13292000
17.07077026,-58.03165000
17.11845398,-60.92201000
17.16613770,-66.08651000
17.21382141,-56.84055000
17.26150513,-54.05411000
17.30918884,-54.36731000
17.35687256,-55.77463000
17.40455627,-52.47413000
17.45223999,-54.80991000
17.49992371,-54.11150000
17.54760742,-54.40621000
17.59529114,-60.19252000
17.64297485,-58.91774000
17.69065857,-60.22676000
17.73834229,-56.94132000
17.78602600,-61.25403000
17.83370972,-61.67452000
17.88139343,-56.54716000
17.92907715,-53.60180000
17.97676086,-54.11060000
18.02444458,-53.80676000
18.07212830,-53.75757000
18.11981201,-55.04547000
18.16749573,-53.48835000
18.21517944,-50.41916000
18.26286316,-50.85345000
18.31054688,-51.28635000
18.35823059,-49.59096000
18.40591431,-50.08629000
18.45359802,-56.17224000
18.50128174,-58.57466000
18.54896545,-52.07502000
18.59664917,-56.36413000
18.64433289,-61.85167000
18.69201660,-60.51115000
18.73970032,-51.67791000
18.78738403,-52.15340000
18.83506775,-53.32927000
18.88275146,-53.31325000
18.93043518,-54.15579000
18.97811890,-50.50581000
19.02580261,-49.10322000
19.07348633,-51.52091000
19.12117004,-54.28056000
19.16885376,-55.62978000
19.21653748,-55.83794000
19.26422119,-54.70319000
19.31190491,-50.35391000
19.35958862,-49.50041000
19.40727234,-52.68286000
19.45495605,-57.58114000
19.50263977,-57.81746000
19.55032349,-54.94865000
19.59800720,-52.97580000
19.64569092,-56.11433000
19.69337463,-58.76584000
19.74105835,-50.44262000
19.78874207,-51.01931000
19.83642578,-58.85393000
19.88410950,-70.09818000
19.93179321,-64.44754000
19.97947693,-58.34161000
20.02716064,-55.58192000
20.07484436,-50.33714000
20.12252808,-49.36044000
20.17021179,-52.50016000
20.21789551,-59.53922000
20.26557922,-59.36200000
20.31326294,-64.91447000
20.36094666,-73.55638000
20.40863037,-63.44988000
20.45631409,-60.66387000
20.50399780,-50.61539000
20.55168152,-54.04974000
20.59936523,-55.92839000
20.64704895,-49.82941000
20.69473267,-51.83813000
20.74241638,-55.56781000
20.79010010,-54.62253000
20.83778381,-53.43188000
20.88546753,-50.62144000
20.93315125,-49.38992000
20.98083496,-55.07821000
21.02851868,-63.19818000
21.07620239,-57.74600000
21.12388611,-75.14593000
21.17156982,-58.39756000
21.21925354,-68.29071000
21.26693726,-56.16613000
21.31462097,-52.24483000
21.36230469,-52.48026000
21.40998840,-55.34567000
21.45767212,-62.32100000
21.50535583,-63.19221000
21.55303955,-70.45233000
21.60072327,-59.82639000
21.64840698,-58.82828000
21.69609070,-65.79491000
21.74377441,-53.14787000
21.79145813,-49.56720000
21.83914185,-50.10273000
21.88682556,-56.79973000
21.93450928,-60.50788000
21.98219299,-58.22290000
22.02987671,-60.15630000
22.07756042,-65.28307000
22.12524414,-58.72338000
22.17292786,-54.78455000
22.22061157,-55.36803000
22.26829529,-60.03026000
22.31597900,-62.92425000
22.36366272,-62.28539000
22.41134644,-60.04057000
22.45903015,-55.69070000
22.50671387,-54.37723000
22.55439758,-55.00425000
22.60208130,-60.29243000
22.64976501,-59.95547000
22.69744873,-57.91499000
22.74513245,-58.34560000
22.79281616,-55.17550000
22.84049988,-56.67595000
22.88818359,-55.94493000
22.93586731,-60.38214000
22.98355103,-51.37770000
23.03123474,-52.52176000
23.07891846,-59.26667000
23.12660217,-58.15034000
23.17428589,-52.12096000
23.22196960,-48.88218000
23.26965332,-51.07626000
23.31733704,-54.39227000
23.36502075,-54.29893000
23.41270447,-51.40308000
23.46038818,-50.38925000
23.50807190,-50.40043000
23.55575562,-51.09433000
23.60343933,-53.94913000
23.65112305,-52.20852000
23.69880676,-53.53569000
23.74649048,-60.43781000
23.79417419,-54.81633000
23.84185791,-67.66033000
23.88954163,-57.86082000
23.93722534,-59.88692000
23.98490906,-62.60250000
24.03259277,-67.82365000
24.08027649,-68.83607000
24.12796021,-61.24012000
24.17564392,-59.79754000
24.22332764,-54.73648000
24.27101135,-52.16106000
24.31869507,-54.95950000
24.36637878,-51.12658000
24.41406250,-50.46366000
24.46174622,-55.50419000
24.50942993,-69.51954000
24.55711365,-59.24304000
24.60479736,-55.56647000
24.65248108,-55.92151000
24.70016479,-62.75069000
24.74784851,-63.10354000
24.79553223,-68.99059000
24.84321594,-65.24252000
24.89089966,-59.78722000
24.93858337,-55.62254000
24.98626709,-59.31744000
25.03395081,-57.00929000
25.08163452,-57.01204000
25.12931824,-55.57560000
25.17700195,-54.86503000
25.22468567,-59.81461000
25.27236938,-60.35073000
25.32005310,-54.01039000
25.36773682,-56.61858000
25.41542053,-57.43950000
25.46310425,-59.96550000
25.51078796,-68.71678000
25.55847168,-63.53439000
25.60615540,-62.51281000
25.65383911,-63.37039000
25.70152283,-62.18608000
25.74920654,-56.14422000
25.79689026,-51.66910000
25.84457397,-51.16115000
25.89225769,-51.17375000
25.93994141,-54.24534000
25.98762512,-72.98363000
26.03530884,-68.30397000
26.08299255,-53.76334000
26.13067627,-56.24031000
26.17835999,-58.65252000
26.22604370,-49.99469000
26.27372742,-48.07939000
26.32141113,-51.24542000
26.36909485,-64.32809000
26.41677856,-53.85812000
26.46446228,-50.44649000
26.51214600,-53.09121000
26.55982971,-59.09689000
26.60751343,-54.32635000
26.65519714,-52.56769000
26.70288086,-52.68351000
26.75056458,-57.26180000
26.79824829,-65.55296000
26.84593201,-64.14224000
26.89361572,-59.74078000
26.94129944,-62.37372000
26.98898315,-51.09258000
27.03666687,-49.84214000
27.08435059,-55.05336000
27.13203430,-57.97105000
27.17971802,-61.33662000
27.22740173,-61.14103000
27.27508545,-60.06108000
27.32276917,-74.81705000
27.37045288,-60.47997000
27.41813660,-51.09690000
27.46582031,-50.86132000
27.51350403,-55.98084000
27.56118774,-56.99770000
27.60887146,-54.75337000
27.65655518,-52.17794000
27.70423889,-49.91767000
27.75192261,-52.37378000
27.79960632,-54.40799000
27.84729004,-52.36729000
27.89497375,-55.12217000
27.94265747,-60.40351000
27.99034119,-58.18651000
28.03802490,-62.59909000
28.08570862,-60.26126000
28.13339233,-54.31874000
28.18107605,-54.21175000
28.22875977,-56.50949000
28.27644348,-51.45713000
28.32412720,-51.29994000
28.37181091,-61.97226000
28.41949463,-64.16835000
28.46717834,-60.07345000
28.51486206,-61.44142000
28.56254578,-56.59338000
28.61022949,-61.03616000
28.65791321,-55.47112000
28.70559692,-52.50151000
28.75328064,-54.45257000
28.80096436,-57.26379000
28.84864807,-57.98210000
28.89633179,-60.60358000
28.94401550,-53.63510000
28.99169922,-48.53331000
29.03938293,-49.02827000
29.08706665,-64.61485000
29.13475037,-50.97920000
29.18243408,-49.05213000
29.23011780,-52.24165000
29.27780151,-53.23692000
29.32548523,-53.83245000
29.37316895,-58.10030000
29.42085266,-67.61573000
29.46853638,-58.69531000
29.51622009,-53.28419000
29.56390381,-56.32333000
29.61158752,-78.52186000
29.65927124,-62.74432000
29.70695496,-66.68641000
29.75463867,-56.33908000
29.80232239,-59.12291000
29.85000610,-65.30801000
29.89768982,-60.15265000
29.94537354,-57.02189000
29.99305725,-53.31205000
30.04074097,-57.33721000
30.08842468,-59.43092000
30.13610840,-53.72029000
30.18379211,-53.40902000
30.23147583,-54.54933000
30.27915955,-51.67688000
30.32684326,-55.55645000
30.37452698,-60.48403000
