"Frequency[kHz]","Channel A[dBu]"

0.00000000,-37.19827000
0.04768372,-44.51600000
0.09536743,-58.41072000
0.14305115,-57.74759000
0.19073486,-63.62032000
0.23841858,-64.85365000
0.28610229,-65.44751000
0.33378601,-56.66319000
0.38146973,-54.87348000
0.42915344,-57.63715000
0.47683716,-52.08680000
0.52452087,-55.12167000
0.57220459,-65.06944000
0.61988831,-61.69717000
0.66757202,-60.42157000
0.71525574,-58.72231000
0.76293945,-57.41233000
0.81062317,-56.68184000
0.85830688,-61.67102000
0.90599060,-50.15917000
0.95367432,-70.54263000
1.00135803,-53.73439000
1.04904175,-53.00886000
1.09672546,-61.06754000
1.14440918,-56.04887000
1.19209290,-50.20855000
1.23977661,-56.78007000
1.28746033,-51.82152000
1.33514404,-53.68336000
1.38282776,-51.68976000
1.43051147,-52.27785000
1.47819519,-51.53551000
1.52587891,-50.87817000
1.57356262,-49.32507000
1.62124634,-50.91732000
1.66893005,-48.38696000
1.71661377,-51.21487000
1.76429749,-45.55471000
1.81198120,-51.22535000
1.85966492,-45.16951000
1.90734863,-46.73772000
1.95503235,-47.11575000
2.00271606,-44.40349000
2.05039978,-44.50145000
2.09808350,-44.18728000
2.14576721,-44.47624000
2.19345093,-41.90031000
2.24113464,-42.14958000
2.28881836,-41.02969000
2.33650208,-39.21401000
2.38418579,-39.52721000
2.43186951,-37.55017000
2.47955322,-37.12059000
2.52723694,-34.18629000
2.57492065,-33.51395000
2.62260437,-29.32211000
2.67028809,-13.11596000
2.71797180,-2.51052500
2.76565552,0.17132820
2.81333923,-3.37025400
2.86102295,-6.49794300
2.90870667,-2.94230700
2.95639038,-2.91969600
3.00407410,-9.90741800
3.05175781,-24.75015000
3.09944153,-31.70122000
3.14712524,-34.16834000
3.19480896,-35.11408000
3.24249268,-36.51829000
3.29017639,-38.16694000
3.33786011,-37.40549000
3.38554382,-40.07728000
3.43322754,-39.59090000
3.48091125,-40.65536000
3.52859497,-41.40551000
3.57627869,-41.29223000
3.62396240,-42.56630000
3.67164612,-42.01540000
3.71932983,-44.42662000
3.76701355,-42.48247000
3.81469727,-43.39019000
3.86238098,-46.86302000
3.91006470,-42.17110000
3.95774841,-47.26394000
4.00543213,-45.29979000
4.05311584,-45.38036000
4.10079956,-44.96210000
4.14848328,-47.24956000
4.19616699,-45.63329000
4.24385071,-46.62716000
4.29153442,-48.01973000
4.33921814,-47.00108000
4.38690186,-47.00067000
4.43458557,-49.63441000
4.48226929,-46.56086000
4.52995300,-49.08054000
