"Frequency[kHz]","Channel A[dBu]"
11.63482666,-54.21098000
11.68251038,-53.95487000
11.73019409,-63.09286000
11.77787781,-59.99104000
11.82556152,-54.42549000
11.87324524,-52.34584000
11.92092896,-50.81635000
11.96861267,-54.42075000
12.01629639,-56.66000000
12.06398010,-49.30645000
12.11166382,-51.38351000
12.15934753,-57.84098000
12.20703125,-53.30070000
12.25471497,-54.79393000
12.30239868,-61.84682000
12.35008240,-72.65932000
12.39776611,-58.05559000
12.44544983,-54.39918000
12.49313354,-53.96587000
12.54081726,-52.92131000
12.58850098,-55.12199000
12.63618469,-67.11734000
12.68386841,-54.57301000
12.73155212,-52.26549000
12.77923584,-55.05817000
12.82691956,-55.34642000
12.87460327,-62.57011000
12.92228699,-61.35902000
12.96997070,-54.33403000
13.01765442,-51.27283000
13.06533813,-52.08155000
13.11302185,-53.87704000
13.16070557,-56.83500000
13.20838928,-73.34918000
13.25607300,-57.90281000
13.30375671,-51.66444000
13.35144043,-53.38989000
13.39912415,-49.77394000
13.44680786,-49.56124000
13.49449158,-51.63142000
13.54217529,-51.76982000
13.58985901,-72.11662000
13.63754272,-51.72318000
13.68522644,-48.79932000
13.73291016,-50.83982000
13.78059387,-57.34587000
13.82827759,-60.85801000
13.87596130,-60.30634000
13.92364502,-48.61572000
13.97132874,-46.68868000
14.01901245,-47.53401000
14.06669617,-47.26866000
14.11437988,-47.03314000
14.16206360,-47.85311000
14.20974731,-45.83662000
14.25743103,-43.52930000
14.30511475,-44.95958000
14.35279846,-53.37569000
14.40048218,-55.65443000
14.44816589,-50.91343000
14.49584961,-57.64590000
14.54353333,-59.75935000
14.59121704,-60.09331000
14.63890076,-60.05405000
14.68658447,-65.15996000
14.73426819,-70.37633000
14.78195190,-73.01130000
14.82963562,-58.74222000
14.87731934,-53.72851000
14.92500305,-53.54337000
14.97268677,-55.38196000
15.02037048,-56.67505000
15.06805420,-57.96152000
15.11573792,-63.70529000
15.16342163,-61.31165000
15.21110535,-60.87525000
15.25878906,-56.45422000
15.30647278,-53.60986000
15.35415649,-57.19734000
15.40184021,-57.36116000
15.44952393,-51.60223000
15.49720764,-51.08067000
15.54489136,-51.59268000
15.59257507,-50.97545000
15.64025879,-53.26674000
15.68794250,-59.47161000
15.73562622,-52.62008000
15.78330994,-50.35739000
15.83099365,-51.33842000
15.87867737,-54.80828000
15.92636108,-57.31957000
15.97404480,-58.00503000
16.02172852,-55.01722000
16.06941223,-50.21976000
16.11709595,-49.02840000
16.16477966,-48.31773000
16.21246338,-48.35567000
16.26014709,-49.41514000
16.30783081,-51.53948000
16.35551453,-51.02495000
16.40319824,-49.11421000
16.45088196,-49.46778000
16.49856567,-49.64051000
16.54624939,-50.08274000
16.59393311,-52.36544000
16.64161682,-60.16884000
16.68930054,-54.57451000
16.73698425,-51.52311000
16.78466797,-58.27675000
16.83235168,-61.26725000
16.88003540,-50.39066000
16.92771912,-50.40304000
16.97540283,-54.00932000
17.02308655,-50.76710000
17.07077026,-49.58416000
17.11845398,-52.91660000
17.16613770,-57.16633000
17.21382141,-49.03305000
17.26150513,-50.16416000
17.30918884,-61.77456000
17.35687256,-73.10920000
17.40455627,-69.72961000
17.45223999,-60.50509000
17.49992371,-58.26588000
17.54760742,-64.48801000
17.59529114,-66.76472000
17.64297485,-57.01431000
17.69065857,-56.16631000
17.73834229,-59.59601000
17.78602600,-64.80882000
17.83370972,-77.87679000
17.88139343,-60.86179000
17.92907715,-56.85464000
17.97676086,-61.63037000
18.02444458,-60.45231000
18.07212830,-57.48110000
18.11981201,-66.30548000
18.16749573,-61.77267000
18.21517944,-62.88350000
18.26286316,-66.60869000
18.31054688,-56.59010000
18.35823059,-59.04624000
18.40591431,-70.46864000
18.45359802,-62.63546000
18.50128174,-56.77347000
18.54896545,-52.02684000
18.59664917,-54.32561000
18.64433289,-58.99252000
18.69201660,-52.06495000
18.73970032,-48.98332000
18.78738403,-56.91496000
18.83506775,-79.76514000
18.88275146,-81.07719000
18.93043518,-59.74744000
18.97811890,-56.67945000
19.02580261,-56.07781000
19.07348633,-59.19024000
19.12117004,-63.92474000
19.16885376,-55.05791000
19.21653748,-53.97374000
19.26422119,-57.79829000
19.31190491,-62.22216000
19.35958862,-59.36852000
19.40727234,-56.33030000
19.45495605,-61.45267000
19.50263977,-50.87576000
19.55032349,-49.09116000
19.59800720,-59.11976000
19.64569092,-52.36321000
19.69337463,-54.10542000
19.74105835,-57.43836000
19.78874207,-50.10876000
19.83642578,-50.34011000
19.88410950,-55.83656000
19.93179321,-58.04785000
19.97947693,-58.83940000
20.02716064,-57.46976000
20.07484436,-54.74311000
20.12252808,-58.35976000
20.17021179,-69.99183000
20.21789551,-59.40707000
20.26557922,-54.78012000
20.31326294,-54.85398000
20.36094666,-53.96978000
20.40863037,-53.09196000
20.45631409,-52.93182000
20.50399780,-57.48865000
20.55168152,-70.47554000
20.59936523,-57.39042000
20.64704895,-53.74308000
20.69473267,-55.03576000
20.74241638,-64.24536000
20.79010010,-58.56279000
20.83778381,-55.60421000
20.88546753,-59.07763000
20.93315125,-61.56685000
20.98083496,-56.12514000
21.02851868,-53.35250000
21.07620239,-56.14780000
21.12388611,-57.01382000
21.17156982,-55.55919000
21.21925354,-54.30022000
21.26693726,-57.58945000
21.31462097,-65.72347000
21.36230469,-63.20198000
21.40998840,-62.15968000
21.45767212,-59.07016000
21.50535583,-60.17867000
21.55303955,-66.37922000
21.60072327,-64.18769000
21.64840698,-57.84487000
21.69609070,-60.91948000
21.74377441,-69.13844000
21.79145813,-61.68587000
21.83914185,-59.46458000
21.88682556,-57.07602000
21.93450928,-56.55988000
21.98219299,-60.60061000
22.02987671,-54.60354000
22.07756042,-52.43375000
22.12524414,-51.62374000
22.17292786,-49.12119000
22.22061157,-48.76020000
22.26829529,-49.56093000
22.31597900,-49.11411000
22.36366272,-48.61576000
22.41134644,-49.46704000
22.45903015,-58.32569000
22.50671387,-52.93080000
22.55439758,-49.15757000
22.60208130,-50.22735000
22.64976501,-52.54693000
22.69744873,-51.73226000
22.74513245,-50.35960000
22.79281616,-49.98270000
22.84049988,-50.60578000
22.88818359,-53.96721000
22.93586731,-60.74789000
22.98355103,-51.64223000
23.03123474,-59.68493000
23.07891846,-57.93117000
23.12660217,-55.72644000
23.17428589,-56.19828000
23.22196960,-55.88455000
23.26965332,-53.67100000
23.31733704,-50.53175000
23.36502075,-48.41325000
23.41270447,-49.36789000
23.46038818,-56.26770000
23.50807190,-53.92857000
23.55575562,-51.89341000
23.60343933,-51.85337000
23.65112305,-53.81077000
23.69880676,-59.61036000
23.74649048,-58.79076000
23.79417419,-56.90984000
23.84185791,-57.66879000
23.88954163,-52.97921000
23.93722534,-51.03671000
23.98490906,-56.29240000
24.03259277,-66.64232000
24.08027649,-59.69875000
24.12796021,-57.78471000
24.17564392,-60.53036000
24.22332764,-70.10644000
24.27101135,-58.68848000
24.31869507,-54.67094000
24.36637878,-55.96283000
24.41406250,-54.45470000
24.46174622,-56.07257000
24.50942993,-62.74288000
24.55711365,-69.24510000
24.60479736,-61.29820000
24.65248108,-56.02124000
24.70016479,-53.58727000
24.74784851,-58.17222000
24.79553223,-60.82220000
24.84321594,-59.72161000
24.89089966,-64.14168000
24.93858337,-59.51506000
24.98626709,-61.09833000
25.03395081,-65.89778000
25.08163452,-64.64481000
25.12931824,-57.94151000
25.17700195,-65.07893000
25.22468567,-54.94832000
25.27236938,-52.34623000
25.32005310,-62.92038000
25.36773682,-55.02291000
25.41542053,-50.29536000
25.46310425,-49.99218000
25.51078796,-55.35296000
25.55847168,-64.49910000
25.60615540,-56.25080000
25.65383911,-53.87058000
25.70152283,-52.47329000
25.74920654,-53.51543000
25.79689026,-61.09624000
25.84457397,-63.64960000
25.89225769,-62.33902000
25.93994141,-62.51257000
25.98762512,-61.08427000
26.03530884,-59.86271000
26.08299255,-57.40797000
26.13067627,-57.29050000
26.17835999,-64.55412000
26.22604370,-54.65765000
26.27372742,-56.20358000
26.32141113,-72.53566000
26.36909485,-59.52238000
26.41677856,-55.37707000
26.46446228,-56.93050000
26.51214600,-60.45765000
26.55982971,-67.04416000
26.60751343,-64.45688000
26.65519714,-57.45918000
26.70288086,-57.70082000
26.75056458,-54.07626000
26.79824829,-51.56256000
26.84593201,-55.05338000
26.89361572,-62.46825000
26.94129944,-64.41309000
26.98898315,-57.35962000
27.03666687,-70.53877000
27.08435059,-57.83419000
27.13203430,-54.29075000
27.17971802,-54.99313000
27.22740173,-58.42771000
27.27508545,-63.60627000
27.32276917,-58.31707000
27.37045288,-63.23375000
27.41813660,-58.89896000
27.46582031,-67.72520000
27.51350403,-54.85101000
27.56118774,-53.86187000
27.60887146,-58.71233000
27.65655518,-53.78875000
27.70423889,-52.86795000
27.75192261,-57.19639000
27.79960632,-54.04453000
27.84729004,-52.00882000
27.89497375,-54.25261000
27.94265747,-56.86492000
27.99034119,-53.62552000
28.03802490,-54.36860000
28.08570862,-53.09513000
28.13339233,-49.62000000
28.18107605,-46.30222000
28.22875977,-44.00566000
28.27644348,-45.21293000
28.32412720,-49.67655000
