"Frequency[kHz]","Channel A[dBu]"

0.00000000,-24.38950000
0.04768372,-31.01935000
0.09536743,-43.73748000
0.14305115,-55.02142000
0.19073486,-67.16819000
0.23841858,-58.23579000
0.28610229,-57.17348000
0.33378601,-60.05728000
0.38146973,-62.68822000
0.42915344,-57.54244000
0.47683716,-51.00299000
0.52452087,-47.13754000
0.57220459,-48.54784000
0.61988831,-54.09987000
0.66757202,-58.45619000
0.71525574,-60.25494000
0.76293945,-59.23601000
0.81062317,-63.09857000
0.85830688,-64.03514000
0.90599060,-63.37297000
0.95367432,-63.77274000
1.00135803,-53.90522000
1.04904175,-48.79692000
1.09672546,-48.87626000
1.14440918,-56.22686000
1.19209290,-52.10426000
1.23977661,-51.38095000
1.28746033,-50.99232000
1.33514404,-52.18372000
1.38282776,-58.37010000
1.43051147,-59.56348000
1.47819519,-53.11752000
1.52587891,-48.39184000
1.57356262,-49.37111000
1.62124634,-59.26731000
1.66893005,-56.55968000
1.71661377,-53.87351000
1.76429749,-53.65788000
1.81198120,-49.52271000
1.85966492,-50.10376000
1.90734863,-55.65029000
1.95503235,-55.53177000
2.00271606,-47.07030000
2.05039978,-46.47154000
2.09808350,-48.35206000
2.14576721,-61.25628000
2.19345093,-49.99287000
2.24113464,-47.19077000
2.28881836,-63.22975000
2.33650208,-56.28941000
2.38418579,-44.17501000
2.43186951,-52.21087000
2.47955322,-43.30099000
2.52723694,-45.91545000
2.57492065,-21.44251000
2.62260437,-7.41292100
2.67028809,-1.87761200
2.71797180,-3.89404500
2.76565552,-13.90784000
2.81333923,-33.98127000
2.86102295,-42.40041000
2.90870667,-33.46845000
2.95639038,-15.97659000
3.00407410,-7.47217200
3.05175781,-6.15131200
3.09944153,-11.81122000
3.14712524,-25.20695000
3.19480896,-43.89643000
3.24249268,-45.63559000
3.29017639,-55.86330000
3.33786011,-46.76016000
3.38554382,-62.54492000
3.43322754,-54.17181000
3.48091125,-53.79217000
3.52859497,-51.34222000
3.57627869,-57.57916000
3.62396240,-47.90398000
3.67164612,-49.59334000
3.71932983,-50.19104000
3.76701355,-52.30222000
3.81469727,-49.67987000
3.86238098,-55.69053000
3.91006470,-76.32819000
3.95774841,-59.02409000
4.00543213,-61.40103000
4.05311584,-60.38958000
4.10079956,-59.19787000
4.14848328,-62.52624000
4.19616699,-56.48972000
4.24385071,-54.79837000
4.29153442,-53.01251000
4.33921814,-56.57591000
4.38690186,-56.08792000
4.43458557,-53.21834000
4.48226929,-52.76655000
4.52995300,-56.23399000
4.57763672,-53.72875000
4.62532043,-51.06474000
4.67300415,-57.50944000
4.72068787,-62.43360000
4.76837158,-50.01579000
4.81605530,-48.70762000
4.86373901,-52.24737000
4.91142273,-59.14327000
4.95910645,-54.58905000
5.00679016,-50.39441000
5.05447388,-54.21025000
5.10215759,-55.77618000
5.14984131,-55.41596000
5.19752502,-50.74573000
5.24520874,-52.70199000
5.29289246,-75.46630000
5.34057617,-67.15583000
5.38825989,-70.33998000
5.43594360,-55.16956000
5.48362732,-54.04478000
5.53131104,-60.90936000
5.57899475,-52.98788000
5.62667847,-46.73159000
5.67436218,-46.75607000
5.72204590,-50.03487000
5.76972961,-50.57061000
5.81741333,-55.54980000
5.86509705,-52.73034000
5.91278076,-50.04765000
5.96046448,-54.50081000
6.00814819,-53.83802000
6.05583191,-55.65311000
6.10351563,-64.41217000
6.15119934,-54.45691000
6.19888306,-51.49964000
6.24656677,-50.59499000
6.29425049,-56.09051000
6.34193420,-51.26346000
6.38961792,-50.85746000
6.43730164,-50.74129000
6.48498535,-54.70490000
6.53266907,-50.52954000
6.58035278,-49.73877000
6.62803650,-49.87169000
6.67572021,-50.53305000
6.72340393,-54.01101000
6.77108765,-59.02330000
6.81877136,-61.01805000
6.86645508,-59.50308000
6.91413879,-56.31909000
6.96182251,-53.53518000
7.00950623,-51.39515000
7.05718994,-48.75489000
7.10487366,-48.55038000
7.15255737,-54.14013000
7.20024109,-54.96344000
7.24792480,-55.36921000
7.29560852,-54.81995000
7.34329224,-52.65262000
7.39097595,-53.82401000
7.43865967,-58.97833000
7.48634338,-78.38177000
7.53402710,-64.29935000
7.58171082,-69.05747000
7.62939453,-53.31685000
7.67707825,-45.72408000
7.72476196,-44.14671000
7.77244568,-46.38366000
7.82012939,-51.76409000
7.86781311,-70.96149000
7.91549683,-54.66810000
7.96318054,-50.69001000
8.01086426,-55.29776000
8.05854797,-57.43111000
8.10623169,-48.99051000
8.15391541,-47.72689000
8.20159912,-54.96696000
8.24928284,-52.93867000
8.29696655,-46.52076000
8.34465027,-45.30754000
8.39233398,-51.03582000
8.44001770,-53.05167000
8.48770142,-50.02655000
8.53538513,-49.54485000
8.58306885,-47.23188000
8.63075256,-45.60040000
8.67843628,-47.75184000
8.72612000,-55.52295000
8.77380371,-59.43447000
8.82148743,-52.46299000
8.86917114,-50.20030000
8.91685486,-52.75320000
8.96453857,-52.54547000
9.01222229,-56.29080000
9.05990601,-59.26867000
9.10758972,-63.59392000
9.15527344,-55.88505000
9.20295715,-52.59669000
9.25064087,-60.84233000
9.29832458,-54.52151000
9.34600830,-54.52340000
9.39369202,-58.53087000
9.44137573,-54.09100000
9.48905945,-50.73995000
9.53674316,-57.02142000
9.58442688,-57.81290000
9.63211060,-56.17232000
9.67979431,-59.92500000
9.72747803,-54.58938000
9.77516174,-53.61256000
9.82284546,-51.12498000
9.87052917,-49.92070000
9.91821289,-54.26240000
9.96589661,-62.84057000
10.01358032,-50.24256000
10.06126404,-48.06112000
10.10894775,-50.03905000
10.15663147,-54.22800000
10.20431519,-62.01615000
10.25199890,-61.21519000
10.29968262,-54.34811000
10.34736633,-57.96574000
10.39505005,-69.92099000
10.44273376,-54.88172000
10.49041748,-55.48904000
10.53810120,-66.44698000
10.58578491,-55.91345000
10.63346863,-58.88950000
10.68115234,-56.45970000
10.72883606,-52.58529000
10.77651978,-53.80643000
10.82420349,-53.43330000
10.87188721,-52.72664000
10.91957092,-52.71889000
10.96725464,-58.92803000
11.01493835,-77.41174000
11.06262207,-68.92998000
11.11030579,-64.80611000
11.15798950,-65.54328000
11.20567322,-60.69597000
11.25335693,-56.33987000
11.30104065,-53.97505000
11.34872437,-54.53355000
11.39640808,-74.37315000
11.44409180,-55.62259000
11.49177551,-53.05368000
11.53945923,-55.94427000
11.58714294,-53.07485000
11.63482666,-50.87960000
11.68251038,-58.60106000
11.73019409,-54.91055000
11.77787781,-54.39156000
11.82556152,-53.39593000
11.87324524,-54.27678000
11.92092896,-69.94366000
11.96861267,-82.05862000
12.01629639,-60.56125000
12.06398010,-69.57524000
12.11166382,-50.82528000
12.15934753,-48.82976000
12.20703125,-55.32236000
12.25471497,-71.74247000
12.30239868,-59.14417000
12.35008240,-56.45761000
12.39776611,-51.97113000
12.44544983,-48.96639000
12.49313354,-48.53685000
12.54081726,-48.29718000
12.58850098,-48.10401000
12.63618469,-49.77050000
12.68386841,-54.01455000
12.73155212,-70.06566000
12.77923584,-56.94909000
12.82691956,-57.13030000
12.87460327,-60.62036000
12.92228699,-56.62951000
12.96997070,-52.46771000
13.01765442,-51.65573000
13.06533813,-52.66737000
13.11302185,-57.50800000
13.16070557,-65.38636000
13.20838928,-56.11259000
13.25607300,-69.00560000
13.30375671,-54.62906000
13.35144043,-55.26648000
13.39912415,-57.92540000
13.44680786,-54.31054000
13.49449158,-54.21103000
13.54217529,-58.57936000
13.58985901,-54.80898000
13.63754272,-58.00779000
13.68522644,-55.19001000
13.73291016,-47.24369000
13.78059387,-46.07581000
13.82827759,-48.44600000
13.87596130,-51.85293000
13.92364502,-51.33163000
13.97132874,-48.67357000
14.01901245,-47.58926000
14.06669617,-50.36394000
14.11437988,-58.75576000
14.16206360,-57.37475000
14.20974731,-54.95880000
14.25743103,-55.49927000
14.30511475,-60.83868000
14.35279846,-66.58400000
14.40048218,-62.51579000
14.44816589,-61.75484000
14.49584961,-60.77229000
14.54353333,-57.68711000
14.59121704,-61.05505000
14.63890076,-67.52336000
14.68658447,-64.00838000
14.73426819,-53.87294000
14.78195190,-50.25834000
14.82963562,-50.43757000
14.87731934,-52.86937000
14.92500305,-54.10078000
14.97268677,-51.31633000
15.02037048,-49.38881000
15.06805420,-49.69872000
15.11573792,-55.91550000
15.16342163,-61.34087000
15.21110535,-63.13390000
15.25878906,-58.84507000
15.30647278,-54.19617000
15.35415649,-55.84591000
15.40184021,-56.57201000
15.44952393,-57.62930000
15.49720764,-77.37501000
15.54489136,-59.87520000
15.59257507,-55.22226000
15.64025879,-54.59829000
15.68794250,-53.79752000
15.73562622,-56.78768000
15.78330994,-63.18471000
15.83099365,-65.98461000
15.87867737,-56.55983000
15.92636108,-52.47666000
15.97404480,-48.51265000
16.02172852,-51.04957000
16.06941223,-62.00983000
16.11709595,-52.05927000
16.16477966,-55.98682000
16.21246338,-67.78115000
16.26014709,-60.22175000
16.30783081,-63.86753000
16.35551453,-78.85609000
16.40319824,-67.70894000
