Apr 28, 2026  11:12:56 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   5.66E-009, 
 20.10,   5.62E-009, 
 20.20,   4.52E-009, 
 20.30,   2.38E-009, 
 20.40,   1.21E-009, 
 20.50,   6.49E-010, 
 20.60,   4.16E-010, 
 20.70,   2.37E-010, 
 20.80,   1.79E-010, 
 20.90,   1.82E-010, 
 21.00,   1.59E-010, 
 21.10,   1.41E-010, 
 21.20,   6.04E-011, 
 21.30,  -1.03E-011, 
 21.40,  -7.90E-011, 
 21.50,  -7.90E-011, 
 21.60,   1.68E-010, 
 21.70,   5.60E-010, 
 21.80,   7.62E-010, 
 21.90,   8.53E-010, 
 22.00,   1.04E-009, 
 22.10,   1.10E-009, 
 22.20,   8.17E-010, 
 22.30,   3.22E-010, 
 22.40,   5.40E-011, 
 22.50,  -1.65E-010, 
 22.60,  -1.34E-010, 
 22.70,  -4.31E-011, 
 22.80,  -5.14E-012, 
 22.90,   2.06E-011, 
 23.00,   1.56E-010, 
 23.10,   4.50E-010, 
 23.20,   7.00E-010, 
 23.30,   9.34E-010, 
 23.40,   1.22E-009, 
 23.50,   1.71E-009, 
 23.60,   3.88E-009, 
 23.70,   6.93E-009, 
 23.80,   9.10E-009, 
 23.90,   1.05E-008, 
 24.00,   1.10E-008, 
 24.10,   1.09E-008, 
 24.20,   7.66E-009, 
 24.30,   4.09E-009, 
 24.40,   2.58E-009, 
 24.50,   2.22E-009, 
 24.60,   3.72E-009, 
 24.70,   6.48E-009, 
 24.80,   8.90E-009, 
 24.90,   1.02E-008, 
 25.00,   1.06E-008, 
 25.10,   1.05E-008, 
 25.20,   7.74E-009, 
 25.30,   3.92E-009, 
 25.40,   2.61E-009, 
 25.50,   3.33E-009, 
 25.60,   1.12E-008, 
 25.70,   2.84E-008, 
 25.80,   3.92E-008, 
 25.90,   4.39E-008, 
 26.00,   4.35E-008, 
 26.10,   4.13E-008, 
 26.20,   2.77E-008, 
 26.30,   1.12E-008, 
 26.40,   6.74E-009, 
 26.50,   8.09E-009, 
 26.60,   2.82E-008, 
 26.70,   8.05E-008, 
 26.80,   1.04E-007, 
 26.90,   1.14E-007, 
 27.00,   1.12E-007, 
 27.10,   1.14E-007, 
 27.20,   7.80E-008, 
 27.30,   5.55E-008, 
 27.40,   1.45E-007, 
 27.50,   5.76E-007, 
 27.60,   2.21E-006, 
 27.70,   3.29E-006, 
 27.80,   3.43E-006, 
 27.90,   3.68E-006, 
 28.00,   3.30E-006, 
 28.10,   2.86E-006, 
 28.20,   5.97E-007, 
 28.30,   3.40E-008, 
 28.40,   1.48E-008, 
 28.50,   1.53E-008, 
 28.60,   5.13E-008, 
 28.70,   1.16E-007, 
 28.80,   1.39E-007, 
 28.90,   1.51E-007, 
 29.00,   1.42E-007, 
 29.10,   1.29E-007, 
 29.20,   5.85E-008, 
 29.30,   1.58E-008, 
 29.40,   8.36E-009, 
 29.50,   9.33E-009, 
 29.60,   2.98E-008, 
 29.70,   6.74E-008, 
 29.80,   8.11E-008, 
 29.90,   8.96E-008, 
 30.00,   8.29E-008, 
 30.10,   7.46E-008, 
 30.20,   3.29E-008, 
 30.30,   1.10E-008, 
 30.40,   5.78E-009, 
 30.50,   4.89E-009, 
 30.60,   1.07E-008, 
 30.70,   2.43E-008, 
 30.80,   3.37E-008, 
 30.90,   3.87E-008, 
 31.00,   3.86E-008, 
 31.10,   3.71E-008, 
 31.20,   2.35E-008, 
 31.30,   1.18E-008, 
 31.40,   1.23E-008, 
 31.50,   3.14E-008, 
 31.60,   1.67E-007, 
 31.70,   2.64E-007, 
 31.80,   2.82E-007, 
 31.90,   3.05E-007, 
 32.00,   2.78E-007, 
 32.10,   2.27E-007, 
 32.20,   6.36E-008, 
 32.30,   1.36E-008, 
 32.40,   6.05E-009, 
 32.50,   3.19E-009, 
 32.60,   1.92E-009, 
 32.70,   1.43E-009, 
 32.80,   1.21E-009, 
 32.90,   1.17E-009, 
 33.00,   1.03E-009, 
 33.10,   8.99E-010, 
 33.20,   6.80E-010, 
 33.30,   3.21E-010, 
 33.40,   2.07E-010, 
 33.50,   4.01E-010, 
 33.60,   9.79E-010, 
 33.70,   2.08E-009, 
 33.80,   4.05E-009, 
 33.90,   7.82E-009, 
 34.00,   1.52E-008, 
 34.10,   2.83E-008, 
 34.20,   5.40E-008, 
 34.30,   1.13E-007, 
 34.40,   2.67E-007, 
 34.50,   1.00E-006, 
 34.60,   2.67E-006, 
 34.70,   3.41E-006, 
 34.80,   3.88E-006, 
 34.90,   3.89E-006, 
 35.00,   3.70E-006, 
 35.10,   2.00E-006, 
 35.20,   1.78E-007, 
 35.30,   7.03E-008, 
 35.40,   1.57E-007, 
 35.50,   6.47E-007, 
 35.60,   1.99E-006, 
 35.70,   2.62E-006, 
 35.80,   2.88E-006, 
 35.90,   3.01E-006, 
 36.00,   2.85E-006, 
 36.10,   1.63E-006, 
 36.20,   1.65E-007, 
 36.30,   4.41E-008, 
 36.40,   7.54E-008, 
 36.50,   3.01E-007, 
 36.60,   8.16E-007, 
 36.70,   1.05E-006, 
 36.80,   1.23E-006, 
 36.90,   1.22E-006, 
 37.00,   1.15E-006, 
 37.10,   6.18E-007, 
 37.20,   8.20E-008, 
 37.30,   2.76E-008, 
 37.40,   4.20E-008, 
 37.50,   1.76E-007, 
 37.60,   5.99E-007, 
 37.70,   7.99E-007, 
 37.80,   8.82E-007, 
 37.90,   9.29E-007, 
 38.00,   8.97E-007, 
 38.10,   5.25E-007, 
 38.20,   7.89E-008, 
 38.30,   1.53E-008, 
 38.40,   8.08E-009, 
 38.50,   6.92E-009, 
 38.60,   1.45E-008, 
 38.70,   3.62E-008, 
 38.80,   5.21E-008, 
 38.90,   6.22E-008, 
 39.00,   6.28E-008, 
 39.10,   5.78E-008, 
 39.20,   2.95E-008, 
 39.30,   1.15E-008, 
 39.40,   6.57E-009, 
 39.50,   7.34E-009, 
 39.60,   1.96E-008, 
 39.70,   4.06E-008, 
 39.80,   5.36E-008, 
 39.90,   6.11E-008, 
 40.00,   6.17E-008, 
 40.10,   4.99E-008, 
 40.20,   2.43E-008, 
 40.30,   1.17E-008, 
 40.40,   9.74E-009, 
 40.50,   1.83E-008, 
 40.60,   7.70E-008, 
 40.70,   1.56E-007, 
 40.80,   1.87E-007, 
 40.90,   2.09E-007, 
 41.00,   2.27E-007, 
 41.10,   2.33E-007, 
 41.20,   1.59E-007, 
 41.30,   1.42E-007, 
 41.40,   1.55E-007, 
 41.50,   1.70E-007, 
 41.60,   1.58E-007, 
 41.70,   1.29E-007, 
 41.80,   1.46E-007, 
 41.90,   1.65E-007, 
 42.00,   1.79E-007, 
 42.10,   1.74E-007, 
 42.20,   1.09E-007, 
 42.30,   9.37E-008, 
 42.40,   1.08E-007, 
 42.50,   1.38E-007, 
 42.60,   2.43E-007, 
 42.70,   3.44E-007, 
 42.80,   3.99E-007, 
 42.90,   4.66E-007, 
 43.00,   4.66E-007, 
 43.10,   3.94E-007, 
 43.20,   1.34E-007, 
 43.30,   3.17E-008, 
 43.40,   2.67E-008, 
 43.50,   4.10E-008, 
 43.60,   1.42E-007, 
 43.70,   2.26E-007, 
 43.80,   2.60E-007, 
 43.90,   2.83E-007, 
 44.00,   2.85E-007, 
 44.10,   2.02E-007, 
 44.20,   5.41E-008, 
 44.30,   1.36E-008, 
 44.40,   7.28E-009, 
 44.50,   6.11E-009, 
 44.60,   1.15E-008, 
 44.70,   2.94E-008, 
 44.80,   4.42E-008, 
 44.90,   5.47E-008, 
 45.00,   5.76E-008, 
